1696670412# #电工牺牲在电杆上泪
1696670142# #时代表情
1696578444# #恐怖了
1696663007# #涨知识了
1696062957# #摆拍
1696579269# #老头蔫坏
1696148007# #所以还是年轻人玩得好笑cry允悲哈哈
1696670109# #孩子的房间可以这样设计
1696129532# #堵成这样？
1696669869# #好奇心
1696404675# #六十年代挺好
1696577930# #我一直不明白为什么要断尾？
1696059673# #爆满
1696410602# #微观世界到何处为止？……诺贝尔物理学奖：他们让人类看到疾病是如何产生的|新京报快评。。
1696834104# #巧妙了
1696233075# #我怕怕
1696584984# #为母则刚
1696661839# #好枸杞，泡水喝，自己的身体自己顾惜。
1696311698# #老教授：什么是陀斯妥耶夫斯基所说的＂地下室人＂？陀氏在地下室手记中呈现了地下室人的自供状：“我需要安静。为了使我能够得到安宁，我会立时用一戈比把整个世界卖掉。是让世界崩溃，还是让我喝不上茶？我要说，世界可以崩溃，但要让我随时有茶喝。”中国这样的人还真不少，刚刚就被抓了一个。
1696488767# #回乡
1696579305# #发明韧带的人是上帝哈哈笑cry允悲good
1696488425# #疯马秀
1696496886# #老教授：那讲什么呢？千万别讲方法论的东西，那东西是最无聊且无用的。只讲原理，不讲规则。按规则创作的作品是僵死无趣的，只要明白原理，他怎么写都行，最终，优质的内容会按其生命性流成它自己的＂形状＂，又具有广泛的大众接受度，强大的内容将引导读者和观众接受形式。。
1696401489# #日本人杀鲸
1696233061# #讲究人
1696488532# #罕见影像
1696404781# #毛衣的大衣
1696565503# #客观看待诺贝尔文学奖，目前看来，诺贝尔文学奖确实存在三个局限性：。。一，是有欧洲中心主义。。二，中间偏左的立场。。三，对欧美以外的语言的隔膜性。。。所以，它不可能准确而权威地代表世界文学的最高成就。它是目前影响最大的世界性文学奖项，这是没有争议的。。。既然这样，就以平常心看待了。。。
1696488665# #收养到现在应该长大了
1696638609# #看来这个人不简单：。。“正如有人所说，写得好，可以比作祈祷，这对我来说是显而易见的。但同时，这感觉就像是一种近乎犯罪的祈祷。”。。“我知道的太少了。随着岁月流逝，我知道的越来越少。这是真的。但相反也是真的，随着岁月流逝，我知道的越来越多。是的，这也是真的，随着岁月流逝，我知道了很多
1696487285# #像黑人的
1696577945# #会选了goodgood
1696487692# #真的假的啊
1696663639# #果真？
1696584963# #鸡冠油做小吃，创意啊馋嘴馋嘴馋嘴
1695887286# #正在试镜《高跟纽扣鞋》的奥黛丽赫本，当时的她也仅仅只有19岁而已。
1696488701# #很瘦
1696404859# #送礼极合适，又极便宜
1696487337# #他女儿啊
1696487221# #这是在干嘛
1696663661# #怎么计算出来的？
1696577590# #老教授：逼迫一个人高尚，跟逼迫一个人犯罪没什么两样。
1696568490# #非常丝滑
1696401742# #这傻大个还挺可爱哈哈二哈
1696577976# #家长收藏了
1696233294# #涨知识了
1696421619# #老教授做了一个“干蒸大肠头”，实在美味异常！馋嘴馋嘴馋嘴色色色就是太麻烦了，光清洗就要花一个小时笑cry笑cry笑cry
1696669945# #鸭鸭
1696736991# #老教授：当国际间有两场热战同时发生的时候，世界大战的可能性显著增加。
1696493909# #太罕见了
1696248248# #中国米酒，包装设计，高雅至此，舍我其谁？goodgoodgood。。满满的文艺感！鲜花鲜花鲜花。。来自北村自然生活馆～。。一洗中国米酒低质粗装的旧印象！酷酷酷。。最值得拿来送礼的米酒，必是“北村自然生活馆”出品的精装平价米酒！比送白酒便宜多了！却平添独特、不可复制！礼物礼物
1696405268# #他是喜欢小孩，对戈培尔的孩子很好
1696578561# #时代影像
