1691288062# #【陈原抄山海经】之十。。
1699155618# #此时，坐在海滩上，心灵和肉身皆如遗体般冰凉，与海水，与宇宙同温。以深渊般的眸子，看阴沉的天空，和天性抑郁的大海，看在它们之间垂直的深蓝，以及浅色的浑浊之黄。看由它们组合的渺远的天地性格和灵魂。而海浪，在我的倾听里，发出远古的洞响。以巨大的有象之身和巨大的无形之身，撞击着虚无的无限
1697789573# #穿行在莽林中，在肉体生命之外，重新结构高蹈的灵魂和精神。
1703173743# #应该让长春市的市长、副市长穿这样的衣服到街上走走。
1689897527# #后来不还是把他们消灭了吗。
1689085270# #在孙大石美术馆。。这是我第二次来到这个藏在一个小城里的美术馆。。我承认我是一个很极端的人。所以，作为一个真诚的文化虚无者，我一直觉得中国画几乎毫无价值，它充其量是塑造了一种价值平面之下的枯萎的价值，即:几千年不再更迭的文人的精神内景。而这样的内景一经画出，便达臻满，
1691548597# #【陈原抄山海经】之二十五。。
1687057918# #【骚事记录:陈原抄屈原】之十四。只有我自己知道，我在稠密的文字中浮沉、窒息。我是神，却被迫在世间奉送着我的人力。
1688962214# #握手
1688256039# #陈原抄屈原之三十六之继续写九辩篇
1692921612# #因为平板车比人跪。
1697242325# #转发微博
1687145056# #字写的不好。但仍然是能够表达我的一种方式。握手
1698100041# #已经不可救药。
1701212328# #以色列在舆论上的劣势是，哈马斯屠杀平民的视频以色列并没完整对外公开，因为过于血腥。但哈马斯却不停公布挨打的视频，这能引起外界的同情，哪怕有些是他们自己演的。以色列政府曾单独给西方记者播放了平民被哈马斯屠杀的视频，现在不少记者受不了刺激，观后嚎啕大哭
1694769487# #【陈原抄黄帝内经】之八十二之素问篇之第二十七章:风论。。
1699694587# #又何止小红不信。大红也不信。
1700636848# #谢两位转。
1693961201# #【陈原抄黄帝内经】之五十五之素问篇之第十九章:离合真邪论。。
1693930120# #多次看过他的视频。如今已成故人。致敬勇士。致敬高贵的灵魂。蜡烛
1688083554# #陈原抄屈原之三十三之大招篇之九辩篇
1688520211# #【墨里洁身】陈原抄老子之二之道德经
1703495413# #已经十天不下楼，今日阳光甚好，像我很久之前精选并预定过的，我便强迫自己来到山野。。江山留胜迹，我辈复登临。。冬日阳光如金箔，镀满世界金身；泥土的犁痕和山岳的起伏，凝固成大地的波浪和微澜。风与云，把世界的所有往事，都托举的高远而神圣。让整个世界成为一个殿堂。而一切生命如
1694491572# #【陈原抄黄帝内经】之七十三之素问篇之第二十五章:腹中论。。
1703021851# #感谢以色列，中东文明的灯塔，早日净化加沙城，让中东半岛走向光明心
1701256122# #从来都怀疑这个职能（公证）存在的必要性。
1693539225# #【陈原抄黄帝内经】之三十八之素问篇之第十四章:汤液醪醴论。我真的不在乎我的毛笔字写的多烂，但是毕竟写的多了，连我自己都觉得比以前好多了。——总之，没有那么那么的烂了。——这违背我的初衷否？。据说，抄黄帝内经者，可得
1694820390# #“领导”“权力者”是人类中最低档最劣质最肮脏的，也是作恶最多的一个物种，却强行被当做最大的牌位来让草民供奉。
1701556113# #不记得是不是曾经转过此贴。再转一次。
1691374855# #【陈原抄山海经】之十六。昨天晚上六点就睡下了。更具体点说是昨天下午五点五十多就睡下了。中间除了有几次起来撒尿和喝水，一直睡到今天早上六点二十。毛着算，昨夜睡了十二个小时还多。可今天早上起来，却一点没有睡到自然醒的感觉。甚至还想睡。我个人认为这与疫情放开阳了有关系。之
1701553881# #”别动上层人的利益，也别动下层人的观念，动上层人的利益犹如要他性命，动下层人的观念犹如刨他祖坟，而下层观念正是上层利益的来源。”
1697086871# #这是去年隔离生活的记录。我承认，那是我几乎从来没有过的生活极其有规律的十天。从纯粹的经历的角度，我有些追忆那段时光。。好了，不说别的了，否则直接审核不通过。
1699807538# #恶
1691581580# #【陈原抄山海经】之二十九。。
1694312200# #【陈原抄黄帝内经】之六十八之素问篇之第二十三章:热论。。
1687765489# #转发微博
1702163537# #转发微博
1688361430# #俄罗斯要美元酷酷酷酷酷
1701558010# #人类得体了没几天。
1687757494# #转发微博
1694742003# #【陈原抄黄帝内经】之八十一之素问篇之第二十七章:风论。。
1698719758# #战争误伤平民和有计划地屠戮平民完全是两码事。某些人无视哈马斯对平民的肆意虐杀，反对以色列对加沙恐怖分子的清剿，纯属道德装逼。不排除以色列的愤怒会殃及平民，但这是哈马斯的逼迫或授权，并未逾越人道主义的边界；反之，如果接受了愚蠢的停火建议，那才是对死去的无辜者的不人道。
1688347410# #陈原抄屈原之三十九之贾谊吊屈原之贾谊惜誓。昨晚有一梦。不可说。
1693119682# #【陈原抄黄帝内经】之十七之素问篇之第四章:阴阳应象大论。。
1702635243# #从来没有遇到过，四个车门，全部拉不开。有高人快来支招啊。
1700049708# #转发微博
1703430437# #也许更应该敬畏、怀疑和否定。
1691565738# #【陈原抄山海经】之二十七。。
1690541855# #【陈原抄易经】之十三之系辞传。
1690109068# #【墨里洁身:陈原抄庄周】之三十二之庄子内篇之德充符。今日大暑，因为从中午开始感冒发烧，所以，上午大热，下午大冷。现在浑身有些发抖，不思进食。。之所以会感冒，应该是因为儿子昨天下午开始感冒发烧，竟然达39°。如果我感冒来自儿子，也是另一种父子情深吧。。感
1692158935# #他是如何长成这样的。
1688008493# #这种人，真的就没人管吗？或者，真的有人需要他这样胡说八道祸害国家和民众?
1692759258# #【陈原抄山海经】之七十一至七十六。。
1694149723# #【陈原抄黄帝内经】之六十之素问篇之第二十章:通评虚实论。黄帝内经抄到现在，天天心肝脾胃肾，仿佛老中医抄药方。。抄写，是虚无的一部分。有目的者，永不达成也。而一切可达成，则亦皆无意义。。我所做的一切选择都不过是一种被选择。现在，我总是觉得这个
1692920534# #内炸弹+外导弹，厨必死。
1688261871# #陈原抄屈原之三十七之继续写九辩篇。很多年了，我带着肉身的巨大伤口，满世界奔跑。伤口的破碎处，鲜血淋漓，仍然漫天飞舞。。我恐惧死亡，却又祈盼着死亡的降临。
1699961606# #在丁肇中先生故居之二
1698409348# #今天在服务区，我对着一辆辆疾驰而过的车辆，望了很长一段时间，以阻止我无法停止想象那些永不相识的人，在这个世界上奔波什么，一代代人此起彼伏，意义何在。并同时以他者的眼光审视自己存在的虚幻和荒诞。从而达到以此解除因过度对世界的关注，而产生的大脑的痛苦和精神的疼痛。
1697363430# #在山里驱车几百里，寻百年柿林而不见，那个明明在的百年柿林，却在我的寻觅里而不遇，仿佛是因为我的寻觅而失去。只在秋日瀚海般的莽林里，觅见零星散落的几株柿子树，像是从哪里败退而来，于此孑然而立。失魄的我，却在穿过崮乡的时候，想起那年的崮乡桃花节，想起那年春天桃花般灿烂的心情和明亮的大
1690960057# #历史也一定会记得他。
1703772844# #为了接“大活”才成立的吧？——
1690330287# #心如冰窟。
1696831892# #丑态。
1701475987# #转发微博
1695000643# #【陈原抄诗经】（12）之国风之鹊巢。诗经。诗歌永远的经血。永远的诗歌的痛经。
1687129933# #【陈原抄屈原】之十六。抄屈原九章之抽思。早课完成。。昨晚几乎整夜小雨，像诉不尽。远山空濛凝滞，像万物不开始。
