1697470459# #林耘丨特别提醒：这三个因素对A股现状影响比较大
1698726191# #微博电台计划
1697506527# #a股大视野林耘的投资日记20231017星期二，集合竞价：指数小幅高开，个股涨趺比约11：9略为领先，但跌幅榜有20家个股下跌幅度超过5%。事件方面，昨晚10家中字头公司官宣股东增持或公司回购股票，传递出类似于汇金增持四大行的信号，高盛报告则透露国家队自8月份以来一直买宽基ETF托市的消息。。。看
1698420046# #银行盈利并高分红不是天经地义，永续的。浦发银行：第三季度归母净利润同比下降52.88%。
1701922837# #a股大视野林耘的投资日记午间收盘：1、指数下探创出调整新低，沪盘盘中低点见2949.14点，午间收报2960.33点；2、两市合计成交4883亿元，个股涨跌比约3：7，北向资金净卖出46.85亿元，主力资金净卖出137.08亿元；3、文化传媒、软件开发、地产服务、游戏等领涨……。。港股明显下跌。
1700184745# #A股低开，沪综指开在3043.62点，下跌0.24%，个股涨跌比约2：5，普跌，贵金属板块表现最好。港股低开约1.4%，阿里巴巴大跌7.81%，开在75港币／股，马云家族信托套现，阿里云、盒马分拆上市冻结，投资人很郁闷。。。今天A股港股均是下跌抵抗格局。
1696937327# #不妙。
1702861287# #美联储官员“吹风”：预计2024年将进行两次25个基点的降息，第一次将在第三季度“某个时候”进行。
1698391071# #重庆统计局抓了个腐败分子，还是女的。
1697188148# #消费电子没什么增量空间了，新能源汽车渗透率达到35%以上之后，也将进入存量博弈了。兴冲冲炒到怼天怼地的其实经不起推敲。但是，但是，但是，有的是高兴就好，有的是牢牢盯着其财富中转站的作用。
1698809585# #贵州茅台都叫好，都在跑，基民请客哈哈
1699178852# #郑重提醒：公众号《林耘说财经》是假货！公众号《林耘财经》，骗子！谨防上当。。。所有打着“林耘”旗号的公众号都是骗子，都是假货。
1700491838# #林耘丨旋转舞台，停不下来！
1698673729# #琢磨着这事儿村委会不知道知道不知道酷
1698889301# #看中概股就好，大多数股票都是上市即巅峰，高开上冲走低，高开低走，平开低走，低开低走，很少有例外。验证了老人说：买的没有卖的精！说明风投虽疯，但都是人来疯，装疯卖傻，割韭菜是专业的。
1701090703# #今天有24家个股跌停，93家个股跌幅超过5%，另辟蹊径炒作北交所反而让A股陷入恐慌之中。为什么？路子不正，问题反而严峻了。
1701654470# #白酒股中控盘度最高的古井贡创下阶段新低，最先倒下去的酒鬼酒，股价仅剩零头，从274.29元／股跌到现时的71.42元／股，一醉解千愁。
1697420888# #有错不改彻底，等着付出更大代价？
1700790382# #再创新低！比亚迪不幸成为今年整车板块中表现最差的那个，意外吗？其实早在意料之中。新能源汽车公认是政策扶持下的弯道超车，但不是一旦超车永葆领先，实际上是参加了一场看不到终点的超级马拉松比赛。前10公里领跑固然耀眼风光，但并不是已经赢定了。。。领跑意味要破风，被追赶。
1697460148# #今晚登场的是一批“中”字头公司公告回购或大股东增持股票，包括中国石化、中国移动、三峡能源、宝钢股份、中远海控、中煤能源、中国电建、中国铁建等，其作用类似于汇金增持四大行，大致是缓冲一下A股市场下行速度。
1700115163# #就没有不能变现的权力，医院院长居然卖出生证都不少挣钱！还不是个案。
1698380566# #微博电台计划
1702610914# #这阵容，俞老师组了个东方甄选快男天团，老谋深算，临危不乱，关键之处拿挰得死死的。
1702534465# #看见了没有？白酒股比着跳水了，比贵州茅台都硬朗的古井贡刚刚创下年内新低，大型复合头部基本形成。泸州老窖、五粮液、山西汾酒都是年内新低。
1700621434# #赛力斯，天梯之路，腿不抖吗？
1702806128# #央视正在报道网络虚假刷单案子，行行色色，渗透在销售过程的每个诱人环节中，有没有自己对号入座的？有没有出污泥而不染的？。。这类事情，往轻了说是不当竞争，正经讲是欺诈，可抓可刑；天天干：数额大就是情节严重、性质恶劣；知名公司、标杆人物牵扯其中，人设尽毁吧。
1701822639# #恒润股份：董事长承立新因涉嫌内幕交易罪被刑事拘留。。。1、又是“割韭菜”，断非独立事件，类似的不少；2、妖股如此之多，或多或少与“内幕交易”有关联，有的是市值管理，配合大小非套现，有的是配合再融资，有的是事件驱动的高抛低吸；3、可怕的是，习以为常之后，“水至清则无鱼”或“裸奔”。
1697504052# #问界新M7从订单转化为“上险量”且需要过五关斩六将，不可大意成了“纸上富贵”。
1702206937# #无意中扫了一眼最近上网发行的ipo企业，8家中5家来自浙江，占比遥遥领先。其中，明天上网申购的安邦护卫，拥有武装安全服务资质，填补A股空白，Ⅴ5！
1698385021# #a股大视野林耘的投资日记午间收盘：高开高走，争夺3000点关，午间收在2998点，一线之隔；成交5725亿元，个股涨跌比约9：4领先；热点突出，新能源、医药、贵金属、大消费轮番表演，与此同时结构上的分化也很明显，华为概念、人工智能、大数据、云计算、保险、证券、银行拖后腿；尤其是跌幅榜。杀伤
1701844132# #懂车帝做的测试：。。问界M7，问界M5在40公里每小时ACC扬雪逆光测试中失败，仰望U8、腾势N7，成功。
1701048921# #长安汽车与华为智能车BU合组公司，刺激巨单封涨停板成新贵，赛力斯、比亚迪伤心落泪，包揽整车板块跌幅第一、第二。。。趋炎附势，翻脸无情，A股一向如此。
1698067790# #360这大滑梯，套住了的怕是要永生了。
1702625050# #1、高开低走，收盘阶段性新低，打击市场人气，但不碍事儿，就得降服其心，知道怕；2、地量，成交7332亿元；3、北向资金先买后卖，控制节奏。
1701260548# #林耘丨比亚迪宁德时代招商银行今天为什么不约而同创下年内新低？
1701321597# #易方达基金张坤10大重仓股之中，又踩中美团的雷，学无止境。
1699247815# #知道昨天之前北京今年的晚秋有多暖和吗？这是今年无花果的秋果，往年是根本没有机会成熟，所以就只留了几个挂树上，未曾想能赶在大降温之前彻底树熟，果子的甜蜜度甚至超过了夏果哈哈
1702253843# #各取所需，一方稳赚，一方听天由命哈哈。。其实，这一套由来已久，最成功当属某银行的“太太”俱乐部。
1698658325# #林耘丨银行股大跌，该抄底还是该回避？
