1701504511# #初一女孩欲轻生，警察撕心裂肺大吼规劝，听得人想哭…向这位警察致敬赞
1690689315# #网友在公交车上看到一幕…心酸可怜
1687312153# #人教版新改版的教材，看看里面所绘的人物对比，新版的是不是正常多了？
1688718657# #华为开发者大会2023（Cloud）传来好消息！盘古大模型再次进化升级！。。今年以来，以GPT为代表的预训练大模型在全球引发了一股技术浪潮，也为未来科技发展指明了方向。展望国内大模型领域，华为作为领军企业，在该领域进行了深厚的技术积累，尤其是在芯片算力、模型算法、应用场景等多个环节具有完整布局
1700788984# #啥都“进校园”恐怕也是一种形式主义！
1691050977# #眉山洪雅老字号，江志忠川式五香麻辣藤椒牛肉干…这款传承了四代的非遗技艺的手工牛肉干，究竟有何魅力让人一口接一口地享受呢？。。一打开包装，诱人的香味扑鼻而来，对于喜欢重口味的人来说，真是太让人心动了！牛肉块状，口感丰富，一旦开始品尝，停不下来！可选择麻辣味和五香味两种口味，每一种都有
1693809240# #看了这双手，莫名的心疼！。网友说父亲就是凭着这双手，给儿子盖楼，买房买车、给彩礼、还房贷，这双手承载着一家人的希望，再怎么苦也不说苦…
1689856617# #这简直是惊天炸雷，莱荣高铁被实名举报偷工减料！在6月25日，莱荣高铁全线刚完成了静态验收。7月7号，全线接触网送电。7月10号，联调联试正式启动。这下好了，列车调试是不可能再进行了。。。最严重的是，如果举报属实查出了确实存在偷工减料的问题，该怎么解决？被举报的是路基段螺纹钢桩施工存在问题，
1693194191# #828B2B企业节这场“及时雨”，解了中小企业数字化道路上的“燃眉之急”。。。为了加快中小企业数字化转型系列决策部署，就在最近，财政部、工信部发布了《关于开展中小企业数字化转型城市试点工作的通知》，全面聚焦中小企业数字化转型中面临的痛点难点，切实解决中小企业“不愿转、不敢转、不会转”的
1699542823# #央媒追问：谁在为叶有芝充当保护伞！。这件事如果没有人充当保护伞绝对是不可能做成的，一个小小的医院院长还没有这么大的能量，所以必须揪出她被后势力，当然除了铲除这些毒瘤之外，最重要的还是解救那些被拐卖的儿童，那5000出生证明里面，到底有多少是拐卖的儿童，必须全部一一落实，相信那些被
1702874331# #这歹毒的女人终于要上刑场了！终于，这时间也是很久了…大快人心，告慰亡魂！罪犯劳荣枝被执行死刑
1702643464# #河南郑州，漫天大雪女子打不着车外卖小哥暖心护送，遇见善良的人，超感动！女子：给他转辛苦费，都被退回来了！
1693918946# #两个老人因地铁占座问题发生争执，围观小伙突然掌掴大爷…。小伙听了半天不解，到底谁对谁错，突然听到一个人占10个座，终于判断要打老头…地铁判官已赔礼道歉
1695962299# #许家印被抓了，之前这么久都没事，甚至有起死回生的迹象，为何现在抓他？只因他最近做了三件蠢事，导致天怒人愤，不得不抓。。第一件：贪得无厌。与老婆离婚，保全其名下的财产，不仅不拿钱出来，还想金蝉脱壳再赚一笔。。第二件：一毛不拔。不仅不拿钱出来，而且高管领着高薪，恒大汽车汽车引入纽顿集团
1689159613# #7月9日，河南，小孩溺水一分钟无人施救，逐渐精疲力尽时，属于他的一道光出现了…
1692145398# #孩子落水，母亲下水施救时力竭，六旬城管大爷果断下水救人，手机都没掏出来，上岸时甚至烟都没熄灭，为见义勇为的城管点赞，这才是人民的好城管！赞
1689494412# #放手只需一瞬间，忘记却要一辈子。爸爸心疼地陪着儿子，“爸爸做不到啊，宝贝！”来源KS：一叶知秋
1695960379# #哈尔滨秋林食品买下了华为专卖店上面的广告牌，写了一句话：“广告位是我们买的，但它才是↓我们真正的国货之光。——秋林格瓦斯”
1697328712# #以为是夫妻，没想到是陌生人，危机时刻救人一命，为这位女士点赞赞
1687747632# #许昌魏都城管为外地瓜农提供住宿场地，城管服务岗亭夜晚对瓜农敞开大门，有饮用水、能充电，停车场配备帐篷。瓜农：晚上能睡个好觉了，为许昌城管点赞good
1688731766# #妻子修手机花费70元，丈夫不想付妻子修手机费用，抬手扇妻子耳光…妈呀70？我以为70万呢！为了70就动手？这种人怎么会有媳妇？衰丈夫不愿付70元手机维修费扇妻子耳光
1687318451# #男孩身后被贴标签，暖心阿姨“特殊方式”悄悄撕下，温暖又善良good
1702981014# #别怕，人民子弟兵来了！甘肃地震甘肃加油青海加油
1689644357# #感谢热心大哥，虽然我们不知道你的名字，但是我们都想对你说一声谢谢心
1692852157# #最后再看一次美丽而又干净的大海吧…韩国多个海鲜市场几乎空无一人
1689834678# #俩孩子父亲离世，母亲重组家庭，大伯带着两个不能自理的侄子送外卖！大伯：生如野草，不屈不挠，再苦再难也要照顾好两个侄子！
1688973531# #儿子的女同学放学来家里玩，饭后儿子不会刷碗女同学现场教学…妈妈：这女同学是越看越顺眼允悲
1702872950# #12月13日长沙，36岁退伍军人去世捐献全部可用器官，生前保家卫国，卸甲服务人民，身死后捐躯救人！英雄一路走好！致敬🙏
1693453725# #公交司机好心抱残疾老人上车，反被投诉拒载被罚半个月工资，再次遇到后，司机痛哭下跪请老人撤销控诉…网友：她的行为配得上她的苦难怒
1691628344# #男子在某小区看到“私家电梯”，直呼牛B！原来，这电梯直达6楼一家，楼下的住户都不能坐！男子百思不得解，这豪横住户到底是用了什么手段，让楼下的住户同意让他装电梯？如果他有这实力，为什么不直接买个电梯房呢？。。原来，这个小区年代比较久远，当初建设的时候，没有规划电梯，所以住户每天都要爬楼
1699056948# #你觉得哪个年代最好看？
1703901654# #韩红二十年的曲折慈善之路，着实不容易…
1699936990# #“这就是格局！”山东，儿媳带公婆去吃自助餐，可公婆怕贵连忙说自己不喜欢吃！于是儿媳骗他们只要10元一个人就可以随便吃，公婆这才答应！儿媳：“去了才发现他们不是不爱吃，只是想把钱省下来给我们！”餐厅：冲你这份孝心，这个谎我们帮你圆了！。。女子嫁到农村，但公婆是非常善良的农村人，对女子就
1689633766# #男子勇救落水老人后默默离开，群众再三要求他留下姓名时，他这样回答……
1687598507# #农村孩子考这个分数己是人中龙凤，姑娘未来可期good河南高考成绩
1697765661# #这张照片终将被载入史册！。。因为，这只高高举起的黑手，不仅是联合国安理会的耻辱，更践踏了无数无辜的生命。。。巴西驻联合国大使更是撂下一句可悲的话，“安理会的无所作为非常可悲，占上风的是沉默和无所作为。”。。无辜的民众倒在血泊中，惨剧不断上演，这是一场规模巨大的人道主义灾难。然而，即便是
1687650831# #全部换成了保卫我们的卫国戍边英雄。🙏
1690117941# #著名中医黄煌呼吁：只有出口中成药，不出口中药材！中国不能沦为国际中草药的廉价原料提供国。
1696933749# #北极鲶鱼，全剧终！二级科员是什么级别
1697704559# #宝马一分钟把三个车道都跑遍了微笑这是要干啥？看了出租车行车记录仪才知道，私家车是突然变道过来的，来不及躲闪！除非能证明双方是开斗气车，否则出租车没责任，自己道上正常行驶，有什么错？与宝马相撞出租车所属公司称司机已尽力刹车
1702721518# #为什么南京大屠杀不能被原谅？讲得太好了，中国人需要世世代代铭记！为这样的老师点赞！
1702031832# #大哥完全不顾自己安危，毫不犹豫跳下水，只为能救小女孩，善良的人往往都是最平凡的人！好人一生平安🙏
1690957968# #台上唱着戏，台下发了大水，台上的戏曲演员并没有停止，网友：一旦开了腔就没有停的道理！
1698042603# #在重阳节这个特殊的日子里，京东用心关注老年人的生活，联合各大品牌在北京和成都的社区为老年人进行了一系列的适老化改造，让他们感受到温暖和关爱。这些改造虽然看似微不足道，但却解决了老年人在日常生活中可能遇到的问题，让他们更加安全、便捷、舒适地生活。。这一行动不仅让老年人受益，也唤醒了
1687272417# #这是红军长征到达陕北后，伟人和战士们在一起的照片，伟人虽然穿的破破烂烂，但眼神刚毅，神情自若，对革命充满了必胜的信心。远处的窑洞也破旧简陋，其艰苦程度和电视剧大相径庭啊？！
