1688185266# #天功夫唯快不破，😄笑死我了
1688214517# #转发微博
1688567435# #2000年那时只感觉阳光健康，真没有想到今天，人生在世太短暂。我看了百度李玟介绍，说2016年李玟就因支气管炎失声，在加上天生左腿裸关节有问题这些慢性疾病折磨，我觉得可能也跟这些关系比较大，这些疾病或许是压死骆驼的最后一根稻草。李玟去世
1695610987# #总算有个待的地方了，虽然简陋，比之前好太多了。搞了木地板，舒服多了，仓库与办公室分离，以前是办公室与仓库在一起，乱的一塌糊涂。
1692543339# #开了8年半的明锐自动挡车准备换了，16.8万公里了。但是这个车的节油性还是非常好，高速5个，高架5.5，可以说相当不错，这次定的新车还是斯科达，从明锐换到柯迪亚克，这车还是不错的。柯迪亚克
1698107229# #转发微博
1700570917# #嗯😐
1691210615# #自己创立制造性公司，前2年亏本，今年才有些起色，2个哥哥要弄个出口的公司，因为二哥要去国外，大哥上午打电话公司股份问题，我考虑了再三，拒绝了，我的意思是另外成立一个新的公司来做，这样股权清晰，毕竟自己的公司客户与其他资源积累都是自己一手搞出来的，我不太喜欢各33%的股份分法。不知道这
1700717795# #静等下月初的答案。只能等着
1697273431# #我的英文学习估计要终身了，因为小时候农村读小学就没有接触过英语，工作后发现用英语越来频繁，现在不得不学习，还好我对英语不是很厌烦，弥补了小时候的缺陷。现在互联网学习渠道还是挺多的。
1699066505# #一大早我要定合肥科技馆&amp;安徽科技馆的票，几个月来一次都没有订到，本想着今天一到时间就抢票，就晚了几分钟就没有了，不知道现在的新馆每天放多少票截止，就不能多放些票吗
1699059407# #这不是年轻人的专长吗，怎么大叔也耍酷了起来。允悲
1699081867# #昨晚去买衣服，波司登羽绒服好贵啊，基本都在1800左右或2000多，没舍得买，几年前我买的波司登打折品800多真的算便宜货了。最后花了1400多到海澜之家买了一件外套、裤子、羊毛衫。就这样吧，还是我太穷了。波司登羽绒服波司登羽绒服穿搭双十一
1699415846# #这个不错，放谁小时候不喜欢呢
1701209468# #英语语法，挺好
1700105577# #上午有个女性到我们厂来找工作，厂里现在岗位满了，不然我是会招的。我发现一个规律主动来找工作的，还有主动来找我的客户，先不论他们的能力多强，但是在我实际接触当中，这些人工作更积极、主动性，责任心很好。不乏很多积极的供应商也是如此服务更为细心周到，有的事情不用你想已为安排好了。所以大
1699963044# #太吓人了，不过手术太牛了
1689808544# #必须取消监护人资格，真他娘的太坏了。某音刷到的时候，看了一眼滑走了，实在看不下去。
1694872364# #我在小区经常看到一些父母东东训斥很小的小孩，我真的看不过去。中国很多的父母都这样，他认为小孩该怎样就应该按他预想的一样，一旦与自己与预想差错就会把气撒到小孩身上，认为小孩太不懂事，身为成人的父母，自从有了孩子，不就是义无反顾的支持他们，做他们的后盾吗，以身作则，不厌其烦的教导他们
1700138181# #都接好了，好歹去看看怎么转的
1687148780# #小城市还是人少好多啊。觉得挺好，安静
1701422900# #这么厉害啊哈哈哈
1702255620# #华为发布明年有颠覆性产品，期待
1693426173# #好旅游攻略
1702801368# #今天到龙溪地百鸟园，之前去过很多次，今天带孩子去，我以为我走错了，现在已经成了一片农地。可惜了，少了一个带孩子看野生动物的去处。
1697420515# #之前租的场地还有5000押金与旧房子折旧费用1000，总共6000来块，二房东一直说他们现在回款慢。一直没有给我，都拖了一个多月了。
1698723558# #整个都变形了，我以为只是塑料保护板坏了。郁闷啊
1687908195# #这车还挺可爱
1703203786# #转发微博
1692136172# #圈里转这种视频的朋友，其实不懂历史，也不爱国。
1689375132# #这尼玛是人吗。
1699415748# #我爱的午休时光。
1695816100# #越是过节耽误事情，货堆在家没法发走，发到上海都没人拉，货代公司也休假。下个月应该好好点了。
1703062105# #今年的冬天要比往年冷啊。瑟瑟发抖
1691013604# #可爱可爱可爱今天心情大好。我终于做了一个大单。对我们公司来说。
1694788714# #看不得这样的，难过
1691192094# #高兴，终于收到了美金💲预付款，这个月大干一场。
1697109939# #2件套，手机与车钥匙就够了。
1695047267# #大学毕业还不工作，等着上博士吗。劳动力浪费
1687220422# #戴尔G15整体没有后悔，试用了一晚还是不错啊，显示屏还是蛮舒服的，说实话，音质没有预想的好，可能之前是用2015年的苹果本，那音质绝对吊打现在的音质，可惜苹果不支持一些工业软件，不过这个电脑除了便宜，画质不错，速度够快，还是比较知足的。我买的低配3050Ti,4700大洋，1T硬盘。不算亏吧。
1700553660# #这次绵阳出差不知道是不是被骗了，虽然签了合同，给他们上一级负责人花了2000块买了2条烟。等待10天后是否派人到厂考察。出差绵阳合同
1697117512# #感觉特别喜欢在野外小便，特别舒爽啊。
1693655621# #购买了手机端，电视端与手机会员是分开的。
1689204458# #太悬了
1693090028# #今天要去提新车了，心里蛮高兴的。早早的我睡不着了，昨天又感觉时间过的太慢，等了一周终于到了这天。新车资讯新车购买请注意
1691152779# #雨季赶紧过去，看到发洪水的地方，太惨了。
1688563921# #想不到，也看不出来，也许表面开朗阳光的背后是给人看的，记得2000年的时候波导手机封面就是李玟。李玟
1693570270# #刚提的2023款哈哈
1690068613# #这是什么思想😵‍💫,无法接受
1698580823# #今天够倒霉，下面的塑料底板都蹭掉，这尼玛的停车厂台阶搞那么高。
1697110078# #额，不涉及的是否就可以呢？
1695175079# #搬桌子倒了一下就成这样了。额，当时800多买的，用了3年。没想到屏幕这么脆弱。冠捷显示器
1687868203# #厉害，同时施工，这速度太快了。
1695460715# #世界制造业大会，这名字太大了，简单看了下展会，叫华东或者安徽开头比较合适一点。
1701785965# #今天到了肥东县医院看望了大伯，傍晚母亲打来电，说大伯可能要不行了，几天没有吃饭了，晚上开车带着父母亲来到肥东县医院，大伯已经瘦的只剩下骨头了，老衣都已经穿上了，带着呼吸机，大伯父已经100岁了。虽然很长寿，想到多年前身影还是很感慨。
1692888596# #真的很快，从电话到成交2个小时，陪伴自己8年多的车今晚卖掉了。有将近17万里程。
1700559599# #列车上买了一瓶水，没问多少钱，扫完后发现15元1瓶。
1697803887# #这次出口了8吨货，走海运，本来是一次走的，货代公司告诉先走一箱，其余隔一周再走，理由是拼不到货。
1699681439# #一旦开征，永远停不下来，谁想自己的收入变少呢，在没有监督的情况下。
1702615072# #一个人把报关员的所有活都干了，就差直接去报关了。报关不难，刚开始不知道流程与每个表单的要求，那样毫无头绪，浪费掉太多的时间，也算是摸索阶段的付出。
