1700699145# #这是单方面行为
1700738169# #西方的民主竞选时说的话自己都不信，哗众取宠而已。
1700747966# #中药验方不需临床数据即可注册。中华民族勃勃生机，子孙延绵不绝，就是中药中成药治病的最好证据！
1700350759# #男男，想看你《白石桥的夏天》哪里还能看到
1700498985# #是这么个理。包括新闻圈也如此。舆论上贬低这些地方的时候，恰恰是要开始反转了。大好时代的脚本是需要优秀作品来展示的。
1701651335# #冬日夕阳。文/郝悦盛。。冬日残阳照小河，。晚霞映照碧水波。。日落西山云朵陪，。枯枝树木多寂寞。。。作于癸卯年十月廿一（西元2023年12月03日）
1703030237# #冬日夜雨。文/郝悦盛。。冬日暮色雨不停，。北风吹送寒气生。。道路泥泞车行缓，。风雨交加夜归程。。。作于癸卯年冬月初六（西元2023年12月18日）
1700749872# #他们的房子压根没有烂尾，坐等他们卖房的消息挖鼻
1702600800# #绝了下班路过西二旗听到一堆消防车和救护车的声音允悲但是新浪热搜上的慢了点，我们组都知道消息半小时了才发出来。
1701389434# #瞎扯
1701283425# #
1702732326# #英雄所见略同
1701042456# #goodgoodgood
1700749279# #其他的我不懂，但是影视圈确实感觉，以前香港的多骄傲啊，看不起说普通话的，现在内地市场更大更广阔，想要有好的收益的基本都开始讲普通话宣传了。他们内心再憋屈也得忍着，毕竟，💰香啊笑而不语
1703548787# #因为自古经济就是掌握在男性手中，等经济平等掌握在男女性手中就不会这样说了吃瓜。其实有钱考验的是掌握经济的人，更确切说是钱背后附加的“身份、地位、三六九等、权势”开学季
1702520329# #2023年12月13日农历癸卯年冬月初一（乙巳🐍日）今日为黑道日。今日冲猪，财神在西南方。今日宜穿红色，紫色，粉色，玫红色，桔红色上衣为最佳，次吉为穿绿色，蓝色。宜祭祀祈福悟道成人礼求子赴任契约订盟恩赦解除治病除草纳财选购衣服搬迁兴工动土维修保养装修修围墙上梁
1700749514# #筹码软肋代价笑cry
1700440266# #她这个根本就不叫彩礼，是买卖人口的价钱。
1704154461# #这个女人真是勇敢和聪明！
1700738062# #这张科技脸有什么气质晕
1701738285# #谷神星一号遥九运载火箭发射成功打call为中国航天点赞
1701908290# #事实是所有男人都喜欢年轻小菇凉，情愿被年轻菇凉折磨，也不会选择同龄的中年女性，所以中年女性的需求，就是伪需求，很难遇到愿意满足你的男性！既然中年单身了，那就安心自己过吧，不要去期待！人生很多活法，接受就是心安
