1688072037# #《日军暴行！我们有什么资格为先辈原谅侵略者！》
1688072857# #《17吨苹果过绿通被拦，只因车上的篷布，收费员：混装需缴纳3570元》
1687872553# #分享视频
1688041283# #《养狗贵妇嫌弃环卫工人，当街辱骂还叫人动手，却遭环卫工反杀！》
1687894451# #《日军暴行，勿忘国耻，铭记这一段屈辱的历史》
1687874033# #《老赖开路虎将人撞残，38万赔偿想一分不出：这种穷鬼不会躲车！》
1687932078# #《美国特种兵让中国拳王叫他爸爸！不料被一拳爆头，当场打趴在地》
1687874094# #《日军暴行，勿忘国耻，铭记这一段屈辱的历史》
1688072006# #《上海警方通报：贺某，已被拘！》
1688100876# #《去哪留学，待遇最好！》
1687893310# #《美女歌手被黑老大包养，发现不可告人秘密后，被挑断手脚筋丢下楼》
1687873582# #《1999年，一位28岁的女大学生租下别墅成为老鸨》
1688079679# #《南京最穷的地方在哪里？》
1687902752# #《浙江惨烈车祸8人死伤：多名司机被困车内烧死，知情者透露原因》
1687871446# #父母亲是孩子的榜样与第一任老师，什么样的父母就会有什么样的孩子，溺爱孩子害人害己，把孩子培养成为自食其力对社会用的人是每位做家长的责任！
1687894487# #《日本选手太嚣张，竖中指挑衅中国观众，结果被中国硬汉暴揍ko》
1687905579# #《日军暴行，勿忘国耻，铭记这一段屈辱的历史》
1687902495# #《富人正在排队退场，他们嗅到了什么》
1687902689# #《吃酸菜鱼标价78，结账时却变成一斤78，商家是否构成消费欺诈？》
1688072431# #《五名学生将一名女孩带到天台，拳打脚踢，并威胁被打学生不要报警。目前公安，教育局，学校均对此事展开调查》
1688072839# #《不想在中国待了，出国队伍人满为患，到底发生了什么》
1688046576# #《妻子出轨黑人小伙，感染艾滋病传染一家人》
1688047283# #《日军暴行，勿忘国耻，铭记这一段屈辱的历史》
1688101836# #《大爷掏出证件非得让我打折，看到之后肃然起敬，这钱我帮他付了》
1687905713# #《活着就是王道该吃就吃该喝就喝呗》
1688015250# #《男子杀害妻子后欲藏尸冰柜一审被判死刑》
1688079326# #《突发！警方骑虎难下！强制尸检结果很意外，如何自圆其说成难题》
1687993285# #分享视频
1687905632# #《日军暴行，勿忘国耻，铭记这一段屈辱的历史》
1688046796# #《富二代烧烤店打人》
1687893690# #《什么是收割？》
1687891944# #《伟人的论断缅怀伟人致敬一代伟人》
1687894403# #《勿忘国耻！日军暴行！铭记历史！》
1687894363# #《深圳罗湖区，有凉菜实体店缺斤少两！》
1687932963# #《骑虎难下！尸检真相出来后，慈利派出所再也洗不白了》
1688043150# #《突发！山西重大恶性案件：33岁男子行凶，知情者透露事发原因》
1688072193# #《安徽1熊孩子给小伙吐口水，妈妈不劝阻还鼓励：就吐你这种傻子》
1688009125# #《堕落成性的女大贪官》
1688040999# #《清华校长白崇恩与日本共享我国技术白崇恩清华大学和日本合作》播放量：1.7万。点赞量：1280
1687901183# #《富人正在排队退场，他们嗅到了什么》
1687891892# #《真希望这组数据不是真的》
1687873684# #《大连突发灭门惨案，男子杀害亲哥哥全家6口人，最小死者的才7岁》
1687906263# #《六十年代红歌《大海航行靠舵手》，高亢激情的歌声，百听不厌》
1687958163# #《勿忘国耻！日军暴行！铭记历史！》
1687894020# #《新时代女性为什么越穿越性感？》
1688016106# #《山西一男子疑因家庭纠纷杀害妻儿后潜逃，警方：嫌疑人已跳河身亡》
1688049120# #《医院后门，鬼秤实探缺斤少两鬼秤》
1688040968# #《山西代县矿工死亡瞒报事件调查》
1688047463# #《宁波警方通报“女司机驾车冲撞男子”：男子经抢救无效死亡，犯罪嫌疑人已被抓获》
1688101618# #《监控下一幕，为何两名男子在大马路上，大打出手》
1688015372# #《日军暴行，勿忘国耻，铭记这一段屈辱的历史》
