1692757533# #张晚意为什么会用这样的眼神看杨紫，难道是戏拍完了，心还没走出来吗？这眼神……
1696659341# #有一说一，吴艳妮这个成绩真的很厉害了，为啥有这么多人不喜欢她呢？
1698196087# #感觉汪峰每一任前任都有点神似，看起来都是一个风格的……
1690268359# #其实吐槽白子画是渣男的人，实在太狭隘！如果放在30年前，白子画不但不会被吐槽，反而会被当成绝世好男人！30年前对一个好男人的要求更多的是要有大爱，对社会有责任感，而现在的人更注重自我！。白子画虽然对小骨非常好，为了救小骨，他宁愿自己承受大部分的销h钉，可是他也因为对天下人的大爱，不能对
1700789293# #这是时装秀？这是设计师闲的慌吧！！doge这是什么艺术设计……
1697095704# #年轻时的荧幕情侣，最喜欢哪一对？
1689429194# #曝95后小花曾与某塌房男演员恋爱恕我直言，猜来猜去干什么？没事吧！有本事就放实锤，在这里内涵，阴阳怪气谁一会怎么样怎么样一会又这个瓜，有实锤直接放吧！放了好几个破瓜二哈二哈
1689671410# #韩国网友让宋雨琦回国这位队友一直对这个话题避而不谈。。这真是搞不懂，这群hgr到底在急什么？。台湾是中国的一部分是写进国际法的共识，宋雨琦只是陈述了事实而已。。在自己国家领土问题上要看啥眼色？
1695631651# #天呀！周冬雨简直是电影收割机！还是妥妥的大女主！。。官宣！由忻钰坤执导，王红卫监制，周冬雨、宋洋、袁弘领衔主演的电影《热搜》定档12月1日。。。《燃冬》、《鹦鹉杀》、《坚如磐石》、《热搜》……。。短短的几个月，这是直接开大啊！暴走模式势不可挡！很具现实题材的电影，一起期待吧！
1698112030# #陈情令、山河令、琉璃、莲花楼、长相思，都开过演唱会，看现场照片这光看人数不是一般的多！你看过哪一场？
1697271324# #梅婷老师和冯远征老师的“爱恨情仇”允悲哈哈
1694241231# #李小璐跟朋友吃饭生图，她皮肤真好，又白又通透，完全看不出来已经42岁了！
1699573647# #惊讶了！我说现在的“蒙面”节目都这么直接了嘛，这不一眼就看出来是谁了……
1702807545# #在香港，明星都是这样子的？！日常生活，没有明星把自己当做明星……
1698197355# #周董的20年，仍然是那抹黄，仍然是那些身边人，唯一的变化就是岁月在脸上留下了幸福的痕心心
1695001020# #汪小菲，彻底把短视频玩明白了！。。汪小菲自从经历人生的大起大落之后，越发显得成熟，除了配合母亲张兰进行直播带货，涉及面越来越广泛了！。。17日凌晨，汪小菲发文公布自己最近的动态，和麻六记安总一起在定西助农卖马铃薯，洋洋则负责郑州的新店开业。。。真的是线上线下两不误，麻六记越来越火了
1691044498# #说实话，成毅真的很不适合现代装，都被比下去了
1690182166# #戚薇：“拍《夏家三千金》我都纳闷了，为什么每天晚上两点半收工的是我，早上六点开工的还是我”。。她说：“因为演反派话都超多的，你要去跟人家说这个说那个，就你要背台词，就一点也不夸张，每一天都有很厚一本，好不夸张，我每天看一个小时就直接过去了，当时还在想演员都怎么睡觉啊”。。晚上两点收工
1689325579# #李玟告别式日期知情人士透露，李玟告别式传出将于7月31日在香港殡仪馆举行，并于隔天（8月1日）火化。来自全球各地的歌迷都在抢购机票飞香港，要送女神最后一程。有关知情人士爆料内容，二姊李思林则已读未回。
1687942121# #沈腾和范丞丞这动作这眼神，出奇的一致！好像是复制粘贴一样这是被腾化了吗？允悲
1695266304# #《异人之下》老天师下山为什么只杀龚庆不杀吕良？。。在剧版一人之下中，老天师下山就是为了杀人灭口去的，目前知道他师弟田晋中记忆的，理论上有两个人，一个是全性代掌门龚庆，另一个是吕良，也是十佬之一吕慈的孙子，吕良复制了田老的记忆，那么他真的只和龚庆分享了而没有告诉别人吗？我们一无所知，
1691715729# #《长相思》300万粉丝的邓为真是承受了3000万粉的伤害啊！梅林的🔥真不是涂山璟放的！没有带小夭离开梅林不是涂山璟不想，而是不能！
1689754123# #Melody被前夫起诉::假豪门是这样的二哈学不会什么叫好聚好散？嘘嘘
1691722046# #金晨最后一幕低头看了看自己的脚……就上半身这造型，绝对一堆人以为下面是高跟鞋~没想到哈哈哈反差好大
1701834699# #一切等结果，相比之下，阿信更让我喜欢的是他的创作才华，歌词给人很大的鼓舞，反正不管结果怎样，我只相信我耳朵听到的。
1693986510# #内娱四朵花同框，个个摇曳生姿，美得不像话！
1696820263# #陈牧驰陈冰疑似恋爱有八卦媒体拍到陈牧驰、陈冰疑似恋情曝光，两人相约挑戒指，甜蜜牵手逛商场。。。陈牧驰、陈冰共进晚餐。陈冰帮陈牧驰整理口罩。陈牧驰、陈冰商场挑选戒指二人大手牵小手甜蜜爆表！二人逛商场自在悠哉……
1700814723# #《以爱为营》难道都没人发现吗？。。虽然这个剧情被说一言难尽...但是白鹿在这个剧的皮肤好好这么近的镜头没有一点瑕疵，好白啊郑书意还是有点东西的，难怪时宴“能这么上头”
1694074318# #为什么你们这么讨厌郭敬明，偏偏他的作品还有人看呢？我个人觉得云之羽拍得很有美感。虞书欣也并没有拉胯。当红的30岁以下电视剧女演员里，虞书欣也不错了，耐看！
1688973863# #蒋欣还原拉皇上腰带撒娇，可把孙俪和蔡少芬笑坏了！来看一下蒋欣撒娇集合！
1690599460# #杨洋确实很帅，但是不要总是刻意看镜头吧！。在舞台要追着镜头，在演戏，要完全忽视镜头。把自己整个沉浸进去。。给你的时间不多了！。娱乐圈的帅哥真的很多，演技是第一要务！。檀健次追上来了！
1701486243# #金莎和她的小男友还是挺配的，郎才女貌，都是娃娃脸。
1700121290# #没想到周杰居然还饰演过杨康，看来导演对周杰的颜值还是认可的。
1694675217# #娱乐圈里面曾经恩爱，最后却分道扬镳的夫妻！
1697609701# #婚纱照，我就服泰国的！吃惊允悲
