1696511607# #世界贸易组织：将2023年商品贸易增长预测下调至0.8%（之前为1.7%），将2024年商品贸易增长预测上调至3.3%（之前为3.2%）。
1695388773# #我正在与连麦，快来围观~
1688288413# #三字经上说，字不敬，心先病。这人是“病”了，你们看这字病了没？PS：康生可是个贪权贪色又爱物质享受的家伙！！！
1696165584# #陪伴皮带歌神唱歌的是他的后宫歌舞团团长，白珊珊…美不美，你们说了算哈哈
1697002382# #买书的同志们一定要针对这种观点好好去对照书里是如何处理你认为的好股票的，我特么基金很快就要冲历史新高了，还需要听你这种老韭菜指指点点，无知！
1693969066# #这几天医疗股和证券股确实表现不佳，像华东，糖尿病板块的药之前在某东上能卖断货，新产品开发突围，一改了往日靠仿制药盈利占大头的作风。还好之前我氢能板块和证券都有减仓。现在是含泪默默加仓，祝福自己，也祝福你们！允悲委屈思考微笑。。ps：蓦然回首，那人却在灯火阑珊处
1698665325# #最近启动对华为汽车方面的研究，我是个见车就晕的人，包括见字。这回是难为我了。为后面的布局做准备。我觉得现在未必是好机会，因为有些已经起飞了，但是如果指数出现上涨，权重股出现虹吸效应，那么以华为概念为首的题材股就很可能跌出第二波机会。问界M912月份上市，希望能在低位拿到筹码，乘上东
1688359959# #蔡顶流否认了！
1695995418# #练习签字，因为很老的粉丝就知道我有句名言——我的字很丑，但我很温柔！
1688741974# #今日收评——股市围城，买者想逃，未入场者人心惶惶又心有不甘。这是最坏的时刻，也是最好的时刻！一切从心！考验你的投资品性，是否有耐心，是否有毅力，是否有策略，是否头脑灵活，又坚持原则，这些决定了你的投资未来，而不是指数行情！
1700148656# #今日收评：缩量杀跌，看似对60日线缴枪，实则杀气不足。在外围释放缓和情绪的氛围下，我们大A股的一贯传统是先跌为敬。但我觉得我看懂了，在最近一个月，各大均线的空头排列已经在被逐渐打乱，20日均线随时准备翘头，“勾引”30日工作线。也就是反转形态在继续，如盘中所说，市场还缺乏吸引场外资金扩
1691755231# #有个电视剧，温柔的诱惑，其中有个故事讲医疗腐败的，权钱交易的，感兴趣的可以看下，里面有个主角是王鸥演的。
1694066891# #有一个国家可以扭转芯片供应链半导体行业需要中国。央视新闻。。前不久，刚刚结束访华行程的美商务部长雷蒙多宣称将继续向中国出售芯片，但美国“永远不会向中国出售最强大的芯片”。美国是否能凭一己之力改变半导体行业生态？美国半导体行业协会总裁称，没有一个国家可以扭转芯片供应链，半导体行业需要
1690947069# #我卖券商特别简单，一盈利了，二看要回调了，三，我想等跌了换一个券商。三个条件缺一个我都不会卖。每个人的情况是具体的，操作也是针对具体情况具体设定的。至于你想不通，或觉得跟你口味不符，然后就否定我。对不起那是你的问题，不是我的问题。我的思路很清晰，也能产生好的长期结果。所以，别好为
1699543724# #收评：30日线是工作线，缠着工作线走，我觉得问题不大！没啥可多说的！真想说我的口头禅，吊，揍他个小舅子！
1697165952# #开签！！！
1697155183# #你是不是想太多了，为了维持一个作者的体面，我就不多说了
1690706689# #太多人对周期的理解太肤浅，思维很平面，我推荐霍华德马克斯的《周期》给你们看看。比如说，马克斯把投资思维分为了不同的思维层次，大部分人只在第一层，就是眼中只有自己所想的涨和跌；到了第二层，你才能预判别人的预判，你才能去琢磨别人是如何看待市场的。总之，想在这个市场发财，你用同样的思维
1697729986# #废话不多说，未来一定是从黑暗走向美好的光明！
1703469983# #中国芯片传来重大利好！
1702804199# #现在股市的调调已经到这份儿上了，如果有公司不仅回购股份，而且选择注销，就会非常受股民追捧。相信后面会有一批公司会做如此选择滴～
1692373973# #好难想象，鹿晗的头条人气低这么狠，哪里像个微博评论数量打破过吉尼斯纪录的顶流！
1695108521# #分享图片
1702263575# #看这个周线图，很感慨！似乎想说的很多，但不知从何说起——
1702387928# #长这么大，我居然没考虑过这个问题！
1696950244# #欧美股市大涨了，叠加我们A股筑底成功，那么大涨将不期而至！偶也
1695257815# #我认为，炒股需要同理心，没有同理心的人很难炒得好。同理心需要站在别人的立场上思考问题。炒股相对来说更难，因为你的对手在哪里，你看不见，你却要在站在对方的立场上思考。如是说来，脑子一根线，只图自己说得快活，这样的很难炒股炒出个好未来——至真至情至理
1694780214# #哎呀，你说的太对了，我争取在十年内挣到比但斌更多的钱，最好登上福布斯，然后赶快离开这个鬼地方！一年就发两三道博，立马就高深起来了馋嘴
1702480977# #刚收到的留言，对我新书《投资之韧》评价蛮不错。谢谢啦，大家一定要看看投资之韧让规律绽放价值超话
1691636123# #有话提前说，以免后续马后炮着说没意义。国字开头的券商如果选一个，我会选哪个，看了一遍，技术上“海”字决似乎最佳。爆发力最强！纳入考虑范围，看回调到什么程度，介入一哈！
1693276810# #今天大金融全面下挫，压住了指数，所以盘面上看，指数微涨，个股情况反而不错。证券可以慢慢加仓！一切静待恢复，我还是坚持观点，周一的平淡是好事，更有利于后市涨跌久一点，飞得高一点～（bgm：我要飞得更高）
1697806695# #允悲允悲允悲
1698396136# #一，看光线两张图不一样，差别长达一小时；二、被拍了很多张，图一是发现正在被拍，其他照片根本不知道；三一看就是摆拍笑cry
1700577048# #收评：跟朋友聊天聊到目前行情特征，朋友一语惊醒梦中人。他说今年凡是好好研究股票基本面，想好好搞价值投资那一套的都很难赚钱，反倒是那些啥都不管，有热点蹭有题材炒就敢于上的人赚了不少。我想想，也对，我错过的机会就很多。比如新能源汽车和减肥药，我们拿最纯正的品种，反而没有那些基本面没保
1697688203# #嘻嘻嘻嘻嘻嘻作揖作揖作揖
1703565581# #如果你赚了钱过于兴奋是不对的，说明你并不清楚自己赚钱的核心逻辑。反之亦然。亏钱过于难过也是有问题的，说明你对自己的操作逻辑也是有不清楚的成分。加油⛽️搞清楚你的逻辑，做最强确定性操作！
1694742806# #减肥药还不错二哈
1698996594# #十一月私募排排网直播活动，十一月六号即下周一下午三点开始，由我进行主题演讲，最后留有十五分钟互动时间。下周一下午三点我们不见不散哈～可爱可爱可爱
1703486197# #你们俩的衣服都好好看，这车嘛，更适合我这种大懒子主义的新手赞啊赞啊赞啊嘻嘻嘻嘻嘻嘻
1689205533# #…
1699611941# #中国银河证券原党委书记、董事长陈共炎接受审查调查。。据中央纪委国家监委驻中国投资有限责任公司纪检监察组、山东省纪委监委消息：中国银河证券股份有限公司原党委书记、董事长陈共炎涉嫌严重违纪违法，目前正接受中央纪委国家监委驻中国投资有限责任公司纪检监察组纪律审查和山东省威海市监察委员会监
1690468464# #说说超短线吧，今天走势类似于倒锤线，价量关系显示，似乎是回调还有更进一步的需求。但还是抓我说的主旨，缺口难以快速补全，需要反复持续震荡，有的玩了，玩的正是你的心态。在这方面不要先输一着！
1703930557# #2974.93＊0.68=2023。。涨幅也是20.23点。。玄学，太玄了。玄之又玄，众妙之门！。。2024，加油👏👏👏
