1692766832# #从绝对金额来看，这一波应该差不多了吧？
1687221296# #你怎么去理解市场?你认为市场是对的，还是错的?你认为自己是一个顺应市场的人，还是一个找市场漏洞的人?。。你要根据自身的投资方法论来确定自己的交易方式。你如果是一个顺势者，是一个痛打落水狗的人，那就应该去做短线，而且应该去做追涨杀跌的短线。你如果是一个喜欢抬杠的人，喜欢挑毛病的人，那就
1698070416# #巴西足球⚽是因为足协领导有方？
1695250406# #转发微博
1695994500# #
1694729201# #转发微博
1694988468# #转发微博
1697034213# #这，难不成……
1689390912# #转发微博
1688206877# #投资者研究上市公司的时候，最先看的也是最重要的，就是这个公司的商业模式怎么样？。。打个比方，有些白酒公司，每年调一调出货量、调一调出厂价，维持一个稳定的增速就能靠品牌挣轻松钱。而有些公司，位处产业链中游，上游资源价格涨一点，下游压价狠一点，利润很容易就被抽走了，挣的就是一个辛苦的加
1689735646# #看好人工智能
1696169143# #后生可期！山西大同一中，学生自办的官方账号“求真号角”发表文章：《大同一中的假期，请等等你的学生》，呼吁学校按法定日期给学生放假，并号召同学们站出来维护自己的权益。。质问大同一中的领导们是否忘记了教育的初衷，只关注成绩而忽视了学生的健康和幸福。“难道只有高分才是教育的唯一标准吗？”
1696479770# #世上最可悲的事，是好人只能偷偷的议论真相，而坏人却明目张胆的说好人在造谣。。。——毛姆
1688826557# #转发微博
1692752840# #妈的，必须重兵剿灭！
1690775019# #乾隆和华盛顿都死于1799年。乾隆的名言是“不贪不淫可以养德，能清能淡可以养寿，少食少怒可以养神，无求无争可以养气。”华盛顿的名言是“诚实是一个国家的基础，自由必须维护才能得到保障，”。前者是古代人，后者是现代人。
1697939969# #我说的不要预测，不是说不要分析判断！做投资分析判断是必须的！但我们在此过程中必须明白，我们的结论最多只是一种可能性，确定的结果是不存在的，否则你的胜算就是百分之百了，这显然是不现实的！。。市场这个系统是混沌的，人的认知能力是有限的，所以我们分析判断的结果只是若干的可能性而已！（转）
1688543880# #海尔的张瑞敏说：“我认为所有的资产都应是负债，只有品牌才是真正的资产。你说你现在的厂房、固定资产、生产线都是世界一流的，但你没有品牌。你今天给人家贴牌，明天人家会找到更便宜的。你就是彻头彻尾的负债。"。。如果没有品牌、技术或者市场特权作为“护城河”，保护你主营的生意，那么会给股东带
1695120623# #可以
1697532797# #赞
1693808229# #小孩子看得太清楚了笑cry
1693285235# #转发微博
1691108737# #摩根士丹利策略师在一份报告中称“下调中国股票评级，建议投资者获利了结”，这样低级的研报一看就是踏空反弹行情，想把A股喊下来自己好上车。很简单的一个问题，纳斯达克涨了半年了，不需要获利了结，A股涨了两天，你说需要获利了结？。。昨天收盘以后出了不少利好的政策，今天10点也会有新闻发布会，介
1689138360# #我国与日本的各项指标比较
1689742350# #图里是全A指数，过去两年每次缩量调整都是新的一轮上涨周期的起点，行情恶心归恶心，操作不能乱！
1690254318# #好多人还是很悲观，显然是被狼来了的故事搞麻木了。。每个人都想买在最低点，但前提是你要敢抄底。
1692863926# #以后我们吃寿司是不是只能这样吃了？日本核污水排海将带来哪些后果
1698458280# #A股市场，股票数量越来越多太多，未来基本上就是结构性行情了。。。股市中少于1%的伟大公司和10%的好公司能长期创造价值，投入其中，会有复利收益。而90%的普通公司，是不赚钱或会亏钱的，至少是不能长期持有的。。。投资这件事需要专业性，要么交给专业的人，要么自己变成专业的人。
1696115220# #我爱您，中国！
1687058908# #著名心理学家马斯洛有一句名言：“如果你手里有一把锤子，所有东西看上去都像钉子”。道理很简单，你手里拿着锤子，心里就会产生拿着锤子的执念。同样，在分析公司的过程中，如果你有动机或目的，你的分析结论自然也就很可能偏离它本来的样子，而成为你心目中或他人心目中想要的样子。如果抱着想买这个
1693316557# #简言之，太残暴，完全不能体恤民情
1698110439# #教育不应该埋下偏见仇恨的种子赞
1696216155# #统计了在13年中，某一组合的年收益率能够跑赢中证800等权指数的概率，结论是：估值一旦高于70%的个股，无论搭配怎样的预测增速，其当年收益率跑赢中证800等权指数的概率几乎都低于50%；增速一旦低于90%的个股，无论搭配怎样的估值，其当年收益率跑赢中证800等权指数的概率几乎都低于50%
1690791746# #1、券商、银行、保险的行情能持续吗？不知道，或许能。。2、地产呢？会有情绪性反弹。行情大小呢？取决于救市政策。。3、如果行情持续，怎么做？我们还是白酒、人工智能和一些确定性的成长股。。4、如果行情不能持续，怎么做？还是白酒、人工智能和一些确定性的成长股。。。所以操作策略很清楚，不去赌行情
1696662579# #生存法则很简单，就是忍人所不忍，能人所不能。忍是一条线，能是一条线，两者的间距就是生存机会。如果忍人所不忍，能人所不能，就比别人多了一些生存机会。。。市场的生存竞争非常残酷，胜负往往就在毫厘之间，有时候底部熬过去了就是辉煌，没熬过去就是悔恨，两者之间可能之差了几天。
1696669228# #我昨天去算命。老先生说我20岁恋爱，23岁嫁人，24歲得子，好运不断，闔家团圆！。我告诉他：扯淡，我33了，博土毕业，还没谈过恋爱！。老先生问：你博士毕业？。我说：是啊，怎么了？。老先生又说：那就对了，知识改变了你的命运。（笑话一则）
1696115133# #也许更应该改正自己
1696985402# #转发微博
1689553992# #之前提到过，A股两大交易逻辑：成长创新和周期反转。而半导体下游需求与宏观经济密切相关，且自身又具备较强的成长性，是典型的。顺周期中的成长股。在产业周期和外部封锁的情况下，半导体板块在过去两年一直在杀估值杀业绩，每次有反弹之后都是继续跌，已经被称为“渣男”板块了。。。现在半导体周期见底
1693232483# #赞
1689303653# #当然重仓
1698676189# #转发微博
1691742897# #
1696546748# #神奇的中国油价
1697368334# #五毛党看好了
1693303466# #如果100块钱买到手的是10的料子是毁灭价值，那现在15块钱能买到未来两年能值30的料子，而且最多再跌5块钱，现在你买不买？。。我觉得现在的赔率和概率，值得出手！
1691159454# #转发微博
1698169625# #转发微博
1691816280# #23年7月份社融数据仅比2014年7月和2016年7月高，同时历史上这两个时候都是牛市起点
1698815343# #赞
1689755977# #我们已经正式报案，各位千万不要受骗，若有损失请就地报警！
1687318045# #做投资的初心究竟是为了赚钱还是为了信仰，决定了我们在从业生涯面对逆境时的心态。连巴菲特都会被人嘲笑“你还会不会炒股”，我们更需加倍修炼。投资的本质是概率和赔率的组合。真正的价值投资者大概率是孤独逆行者，除了勇气，更需要韧性和超乎常人的耐心。。。老天爷是公平的，让价值投资者忍耐寂寞，
1690673981# #硅基生命，未来可期
1698046087# #赞
1694833076# #转：英伟达创始人黄仁勋的管理方式：。。（1）他有40名直接下属，但没有一对一固定交流时间。相信最扁平的组织，不进行一对一的交流，一切都在小组环境中进行。。（2）没有定时汇报，而是“随机对系统进行采样”。不使用定时汇报，因为他认为这些更新到达他手中时已经过于完善。它们不再是基本事实。相反，
1697378751# #对了对了，水军搬弄是非、颠倒黑白，严重损害我们的国际形象
1696836855# #今天盘面的几个看点：。1、开盘即大跌，应是出于对以巴战争的担忧，估计散户所为；。2、下午外资净卖出74亿，而1点半之后大盘顶住了压力，内资可以点赞；。3、在散户和外资净卖出的情况下，大盘基本转危为安，说明机构开始发力。。结论：如果你不是一个过度悲观的人，那么现在就是全面看多的时刻！
1696168733# #不懂就问：历史上有过法律草案在人大没通过的吗？
1698843170# #思之心痛
1698653880# #世界上著名的五大学习法：。1.费曼学习法：把你学的东西，讲给别人听，如果能讲清楚，就是学会了。。2.西蒙学习法：确定学习目标，拆分学习目标，6个月就能精通任意领域。。3.SQ3R阅读法：浏览、提问、阅读、回忆、复习。。4.番茄学习法：规划学习和休息时间，定闹钟。。5.康奈尔笔记法：将笔记分成三部分
1692779685# #鲁迅骂人太狠了
1691561049# #很多人在讨论放开T+0和涨跌幅限制，老牛觉得T+0放开对中长期持股的投资者来说没太大的影响，因为每天日内的波动不是我们希望挣的钱。。。但是涨跌幅限制还是应该有，就算有大幅利空的消息出现，当天跌停，起码还给足时间让公司还能出来解释，让市场参与者冷静分析真伪和影响。持仓股如果日内跌50%，我相
1698647400# #老牛的投资，投的是：高增长、高壁垒。。你的投资，投的是什么？
1692943055# #是人都想挣钱，能挣钱别人都会投
1689574205# #市场80%的时间都是在震荡、盘整，而就是在这样的情绪周期中，把意志不坚定的人震得吐血。。。人性使然啊！
1693883171# #后来会被禁止
1697619708# #何不学学？
