1692582723# #孙金龙吹过的牛逼，实现了！合肥千万人口合肥规划
1696936237# #合肥园博园，依旧热闹！合肥园博园合肥
1698536695# #合肥市红星路80号！红星路合肥市区
1699800385# #当年能留科大，还是李德生的魄力呀，也成就了今天的中国科技城—合肥！合肥
1702528158# #一个江西彩票事件，估计闹的彩票以后也和“红十字会”一样，再也没人相信了！哈哈江西省民政厅正在调查花10万中2.2亿
1699007617# #不能随便搞个事情，就封路呀！合肥
1693494660# #存量房贷利率合肥重磅救市救市政策
1688703381# #都是程序员，都是被996熬的！
1701167367# #合肥楼市磨底见底中合肥楼市合肥合肥楼市快讯合肥楼市动态
1703250446# #合肥南七天地今天开业，现场氛围不错，就是有点冷了嘻嘻合肥开业合肥商业
1692265234# #黄山传统小吃！黄山小吃传统文化
1691927594# #我摊上事了！合肥商业社区商业
1700130248# #我们的城管能管这个吗？我们教育部门能管吗？学校门口的娱乐、游戏祸害未来！学校学生教育城管
1693626869# #确实黑
1693143894# #股市和楼市的本质，是不一样的！楼市股市投资
1692698834# #老城更新中的合肥“中隐于市”合肥老城更新
1699505092# #南七里的老乡鸡没来，肯德基先来啦！肯德基合肥合肥商业老乡鸡
1689895809# #央企就是央企，骂人都骂得那么有水平！物业保利
1696408814# #骆岗中央公园，合肥航空科普馆，热气球飞起来了！合肥骆岗中央公园合肥航空科普馆
1688476479# #来个5公里合肥5公里
1689635932# #这个我赞同，同样南一环边，青年一村板块，若是老城更新，一样高大上！
1689041059# #正在建设中的合肥机场二期工程完工后，合肥机场就从“曲线”型改为“L”型了，未来三期工程完工后，合肥机场就要成为全面建成“U”型了！合肥机场
1697719875# #中央公园开始搞车展了？合肥合肥中央公园合肥车展
1698119488# #岳西金杨民宿！游明堂山、司空山、妙道山都适合居住！安徽民宿岳西旅游
1698669766# #坚持就是胜利！胜利
1702861414# #下雪的合肥周一！合肥下雪
1690707972# #合肥卤菜卖到这个份上，也是🐮的了！合肥美食
1702171062# #排云亭，西海大峡谷！西海西海大峡谷排云亭
1700470426# #合肥大学要来啦！合肥大学
1693627028# #看清大势不迷路合肥楼市降低存量首套房贷利率重磅救市
1687745070# #一定是爸爸说的：不会也要写满，好歹搞个印象分！偷笑（据说合肥某区小学4年级考试卷）
1687824886# #这就是我们奇葩的时代，还有奇葩的认知！
1702878981# #合肥成为官方承认的中国南部大型城市！并列武汉，上海，南京嘻嘻合肥大城市
1700546884# #1951年秋，安徽医科大学的前身——东南医学院开始建校于合肥德胜门外“东南岗”，标志着合肥第一所大学正式“落户”。尽管当时设备简陋、条件艰苦，但学校的师生员工们都以前所未有的热情和干劲，投入到新的工作和学习中。。。当时，东南医学院接到迁设到合肥建校的指示后，由于院舍都要全部新建，于是决
1693458148# #东海开捕，嵊泗梭子蟹上市啦！
1697882898# #合肥有条“幸福路”，这里曾经还有个村子，叫做“幸福村”！原来这里是地道的农村，现在是大合肥的东部新中心的核心区！合肥东部新中心
1699175594# #免费国道又要收费了？免费房地产经济
1694846508# #合肥全面放开限购救市合肥全面取消限购合肥全面取消限购限售
1690606571# #齐齐哈尔坍塌体育馆已致10人死亡看看什么时候被河蟹！
1689846526# #杭州东站，也华东也算是很大的中转站了！杭州生活杭州东站
1701869615# #合肥环城秋色！合肥包河
1702110310# #今天一上黄山（玉屏楼索道上下），打卡玉屏楼网红平台！网红打卡黄山旅游
1698039917# #首善之区，是可以回味老城生活的！老城的故事,生活在老城里的你合肥庐阳
1692334083# #医学权威不能祸害百姓呀！
1689855556# #合肥南站，果然是合肥地铁上客率最高的站！合肥地铁
1700717392# #父母是孩子最好的老师！
1694829886# #各个行业都挺难的降准救市
1703717460# #有钱没地花，只能去酒吧哈哈哈哈哈哈
1700927183# #割到韭菜根了楼市没钱了周口亮亮
1692442339# #日照海边游泳！游泳日照旅行
1702826429# #合肥学区房还有价值吗？谁还会买老破小？合肥合肥楼市合肥学区房子女教育
1704032044# #唧唧复唧唧
1703289504# #合肥某医院的这个评价报告，感觉就是为了给护士搞绩效的！合肥医院
1695992976# #合肥航空科普馆开馆不久，个别设备被破坏，不知道该批评家长，还是批评这个孩子？你家熊孩子的破坏指数家长的素质教育比孩子的性教育更迫切合肥航空科普馆
1703754857# #我估计小米汽车应该在39.9万起步！小米小米汽车
1690382215# #刚刚大众集团宣布向小鹏汽车投资约7亿美元，收购4.99%的股份，以合作与小鹏开发基于大众MEB平台的两款车型，搭载小鹏XPILOT软件，于2026年上市，据了解工厂建在在合肥！小鹏汽车合肥
1704181875# #2024年的第一场雪！第一场雪
1702045707# #夜游花山谜窟！新安江夜游花山谜窟
