1702220795# #脑袋被驴踢了笑cry
1696905548# #👏👏全球汽车巨头奔驰宣布与华为达成合作协议，将在其汽车中使用华为的鸿蒙车机系统。这一合作不仅仅限于奔驰，宾利、兰博基尼、雷诺、斯巴姆等知名汽车品牌也与华为签署了专利授权协议，这意味着全球每年生产的7000万辆汽车中，将有1500万辆会使用到华为的技术。。。华为自研的鸿蒙系统和麒麟芯片终
1697469302# #小黑邦仨月长大两倍，托在手里沉甸甸肉乎乎，可耐到爆允悲就是上周把我准备送礼的一个巨贵、巨型水晶托盘🎨人道毁灭了，当时气得我头晕眼花喘不过气，一时没辨清包子、黑邦谁真凶衰。俩孩子都没吃过生活的苦，一个20多天救回、一个没睁眼拎回，有记忆开始就是温暖富贵的滋养，舒适安全的原生麻麻
1698153670# #野蛮就是你们强权治理的唯一手段吗？跟纳粹分子有何区别？
1702482666# #强大的人肉系统启动吧，这类没有家国情怀、没立场、没是非观的学生起码不能考编，不能进入重要领域单位喵喵
1703092309# #喵喵
1700068246# #🆘🆘🆘救助圈速转发，这是谁的猫？马上就要落入虐猫人魔爪了，请转发阻止🙏🙏🙏萌宠每日一善生活的模样
1693496538# #纪念一下，昨儿，农历七月十五，中元节。又称鬼节，中国人最大的祭祀节日之一。传说这天地宫之门打开，放出鬼魂，允许他们回家团聚👪。。所以，这是个生者和逝者交汇、寄托情感的日子。非单纯鬼神迷信之说，是中国古老文化的延续。。所以尊重中元节和先祖，就是尊重它背后的庄严敬畏与慈悲。如同敬畏生
1692782385# #急转：北京🆘🆘🆘🆘宠物店关门，猫狗被抛弃！。北海淀区五棵松华熙宠物店猫咪求救！
1703775484# #请大家举报投诉，特别是湖南的网友！湖南株洲天坊菜市场杀狗，里边有宠物狗
1703646960# #低血压的多看几遍省药钱怒骂怒骂怒骂
1696066024# #本土人才👍
1693048327# #急转北京🆘🆘请大家拨打12345投诉。平谷区金海湖碧波岛景区里的小鹿，腿部受伤腐烂，急求救治！！！窄小的活动空间简直是虐待动物网易新闻超话，可怜的小鹿不会说话平时一定遭遇过很多伤害苦涩怒骂萌宠萌宠集中营
1692010266# #猫妈一直趴在草丛里守候，不吵不闹，已经绝望了吧😩昨夜发现到现在一夜一天，眼睁睁看着孩子坠入地下室却无能为力，那种撕裂的无助感谁懂抓狂抓狂。我跟它说我一定会把宝宝救上来，你相信我给力猫妈就那样一直看着我、一直看着悲伤。庆幸夜里放下去的水罐头猫粮吃了大半，顺下去诱捕笼，但黄小
1698159411# #泪泪泪我简直哭死～～心痛💔
