1688286338# #起司红薯吐司面包片，简单好吃。。。慈实素食超话每日一餐分享
1704005233# #我拍的人像。人像摄影超话人像摄影
1693617002# #故宫博物院超话
1697711645# #卤水猴头菇冻，感觉像上海羊肉冻。。。慈实素食超话每日一餐分享美食分享美食时刻我的美食日记不可辜负的美食家常菜
1690098110# #水煮猴头菇片。。麻辣鲜香，。Q弹可口，。回味无穷，。香气四溢。。。慈实素食超话每日一餐分享
1691300826# #故宫博物院超话
1693279815# #《王阳明心学》。。心外无物。一、越是艰难处，越是修心时。。。二、修心为成事之本。心若强大，无人可伤，诸事从容。。。三、烦恼皆在于心气动，心气不动，则烦恼不生。。。四、圣人之道，吾性自足，向之求理于事物者，悟也。。。五、心如明镜，物来则照，不要刻意去追求。。。六、良知所到之处，正确的就知道正确
1703419341# #夫比丘者。体预僧宝之尊。职绍佛法之种。。。须超群拔俗。迥脱流俗知见。方无愧厥名。傥故辙不改。则一举一动。罪案如山。一旦业风吹去。袈裟下失却人身。苦中之苦。。。人间五十年。四王天一昼夜。有何实法可恋。。。若不急寻出要。宁唯一错百错。尘沙劫数。未有了期。血性汉子。能勿悚然在念乎。。。——蕅益
1694129177# #今天白露，龙树菩萨圣诞。。。心中无尘自安乐，。烦恼忧愁皆心生。。。以清净心看世界，。用欢喜心过生活。。。我们可能走到生命尽头，才能真正理解什么叫“空”，本来无一物。。。一叶动，而万物归一。。一叶落，而天下知白。。白露超话龙树菩萨圣诞本来无一物
1702680281# #缘起性空，缘汇则生，缘离则灭，万事万物无不如此。
1700739237# #世间学问，义理浅，头绪多，故似易反难。出世学问，义理深，线索一，故虽难仍易。。。线索非他，现前一念心性而已。古云，立一心为宗，照万法如镜，能观心性，则具一切佛法。。。且如此心，不在内外中间诸处，亦非过去现在未来，亦非自生他生共生无因缘生，岂非即空。。。而十界十如，三千性相，炳然齐现，无
1699413770# #来今雨轩是北京中山公园里的一个茶社。。“来今雨轩”是一个非常熟悉而亲切的社交场所，鲁迅、林徽因、张恨水、马叙伦、傅斯年、钱玄同、胡适等文化界名人经常来此光顾，红墙里的“来今雨轩”在文人心目中的常客。。清代学者题写的楹联“莫放春秋佳日过””最难风雨故人来”。。走进来今雨轩，室内是民国风
1702304689# #故宫博物院超话
1697335105# #今天初一。。健康是金，。开心是财;。大度是乐，。善良是福。
1691300843# #故宫博物院超话
1696723615# #故宫博物院超话
1693736269# #上海，水上乐园。
1690116172# #素，是一种淡淡的清朴，不张扬，不奢华，暗自生香。。。读着“素”，便突然想起，“素，空也。”静默安然，无处不在，一颗心若是素的，必定是波澜不惊的。。。素心从简，清雅素然，安心平淡。。。米粥青菜，常品常香，利心利身。。。食之素淡，清香悠远，健康久远。。。素，无言，却让人倾心。。
