1701939659# #言谈不凡的人，一出口就是锦绣河山，。他的措辞里，其实就藏着自己更高级的人生。
1699288448# #为何很多大爷大妈，都是坏人，没得德行。。估计这一类人群在年轻的时候就是痞子，流氓，太妹吧？
1696160410# #国庆：此生无悔入华夏
1694522798# #《易烊千玺担任2023世界设计之都大会青年大使》今日，世界设计之都大会组委会办公室对外宣布，将由青年演员、歌手、舞者易烊千玺担任2023世界设计之都大会青年大使。
1696983632# #转发微博
1693237069# #转发微博
1699279054# #转发微博
1689663439# #云南，昆明，。夏天很舒适。24℃，。山珍美味祝福玫瑰好状态。吃菌的季节
1693069579# #见自己
1700457356# #在巨变的时代，。原地踏步就是最大的退步。
1701996581# #（转）。关注过程，看到进步，你的面前将不会再有完不成的目标和走不出的困局。。。从现在开始，在你的人生规划中，尝试写入一个微小的改变。。。好好吃一次早餐，翻一页书，买一束花，写一张PPT，上班早到5分钟......。。从这些5%的小事开始改变，未来的人生将展开无限的可能。
1691556353# #bilibili大咖言商的视频
1694612017# #（转）。人生的任何选择都有其代价。。体验这一切。接受这一切。
1699367569# #当你保持不断向上的力量，。就能主动而持续地变得优秀。
1693726792# #YouOnlyLiveOnce
1693974128# #优秀演员，逻辑思维缜密，条理性强good
1699198230# #江湖规矩就是：人走茶凉，默契散场，。不要问，问就是不懂规矩。。——傅首尔
1696907841# #“志不求易者成，。事不避难者进”。
1699372669# #水深不语，人稳不言，。人要懂得守与藏。
1692529290# #刀郎的新歌非常好听。。刀郎入驻抖音，无作品，。粉丝已经破400万了，。太强了，这个粉丝力量。
1701231012# #《陈楚生：实至名归的双冠王陈楚生是披荆斩棘中实至名归的双冠王，他的实力和人品为他赢得了无数粉丝的支持，也为他在央视等权威媒体中获得了认可。在竞争激烈的娱乐圈，能够凭借实力和人品取得成功的例子寥寥可数，而陈楚生正是其中的佼佼者。》陈楚生：实至名归的双冠王陈楚生是披荆斩棘中实
1694170663# #（转）。真正能成就大事的人，必定是真实、纯粹的人。。这种人身上散发出一种无形的力量，他们懂得因果、规律和敬畏之心。。他们内心秩序感和稳定感极强，不易被他人意见左右。
1704040214# #万事随想，。所爱如山。
1694862303# #（文摘）。人之所以要努力，就是为了把命运掌握在自己手里。。想做的事情，现在就去做，往后余生，你无法比此时此刻更年轻。。靠自己的力量一步步跨过泥泞，才能离想要的东西越来越近。。生活，不会亏待每一个努力向上的人，。愿你今后的每一步，都坚定自信。
1698502606# #happy，瀑布公园，yea
1698856455# #改变圈子（深度好文）
1693705320# #转【愿你努力向上，终会无人能替，光芒万丈】人之所以要努力，就是为了把命运掌握在自己手里。想做的事情，现在就去做，往后余生，你无法比此时此刻更年轻。靠自己的力量一步步跨过泥泞，才能离想要的东西越来越近。生活，不会亏待每一个努力向上的人，愿你今后的每一步，都坚定自信。早安。
1694025223# #转发微博
1699165229# #转发微博
1704078866# #转发微博
1701014331# #1999年，美国未来学家奈斯比特在《大趋势》一书中这样写到：21世纪是中国人的世纪。
1699195521# #喵喵
1699056020# #转发微博
1693046522# #刀郎新歌。（转发）。我对孩子说：“上海音乐节没有邀请刀郎……”。孩子淡淡的回道：“你觉得刀郎在乎吗？”。我：“也是，他不在乎，在乎这些的人创作不出像《山歌寥哉》这样意境深远的作品。”。作品如人品，无需多言。
1703498317# #楚公子是个真的汉子
1693751403# #（文摘）。往前走别回头，。花会沿途盛开，。以后的路也是。
1694268707# #伟大领袖
1695394772# #国安部揭秘“数字间谍”，很有料
1700853741# #利他
1698544595# #凤凰新闻【“神五”总工程师戚发轫反对升空直播：需要聚精会神，直播干扰我们工作】
1700577210# #（转）。明确自己想要的，。坚定自己选择的，。从微小的事情着手，。久久为功，。你终会离自己的目标越来越近。
1699356677# #有一个夜晚，我烧毁了所有记忆，从此我的梦就透明了；。。有一个早晨，我扔掉了所有的昨天，从此我的脚步就轻盈了。。——泰戈尔
1698852409# #（转）。“当一个女人主动买单，做事大度，不蹭吃蹭喝，善良真诚，自尊自爱，明明遭受了毁灭性的打击，在外人面前依然一声不吭，明明摔了人生最狠的一跤，却依然淡定，积极乐观的生活，这样的女人无人能敌，绝对是女人中的精品，极品！”
1697602950# #“没有路的时候，我们会迷路；。路多了的时候，我们也会迷路，。因为我们不知道该到哪里去。。故事总要有结束的时候，。但不是每个人都有尾声的。”。——《额尔古纳河右岸》
1696499329# #金沙水拍云崖暖
1704091270# #我投给了“有，计划中”~我们已经自驾游10多年了
1694698646# #人生哪里有捷径，所谓的捷径都是弯路甚至陷阱的开始。。人生唯一的捷径，就是脚踏实地，不问收获、只问耕耘的努力。。——海蓝博士
1695118211# #很有才华的演员
1694337521# #你必须很努力，。才能看起来毫不费力。。。冯唐在他的著作《有本事》中有所论述，他说道：“你可以不屠龙，但不能不磨剑。。一个人有本事才是靠得住的财富。”
1699286609# #（转）。生活是个缓慢爬坡的过程，需要耐住性子一步一个脚印地向上攀爬。。所有的抄近路、走捷径，都抵达不了想去的远方。。唯有先沉淀自己，积蓄力量，才能有脱颖而出的那一天。
1697454966# #已然驶过万重山
1687840914# #古话说：。“读万卷书不如行万里路，。行万里路不如阅人无数。”
1694527986# #转载了的微博图片goodgoodgoodgood
1691331581# #一张图证明我来过这里
1698161317# #叔本华一针见血谈才华，。他说：“曾经愚蠢地认为，歌唱得好，字写得好，文笔好，球打得好，仰或某一方面的特长就是有才华，。后来才发现，灵魂的觉醒，思想的升华和人格的独立，才是真正的才华！”
1703299063# #bilibili陈楚生的视频
1695741066# #《中国资本圈校友势力排行榜》北大的毕业生群体，被称为“自由人的自由联”，在中国资本圈内举足轻重。在此次的统计中，厦大的资本圈校友也达到了141位。
1699763896# #（转）。你的努力，。配得上好运心。为自己加油
1699803203# #“知识越贫乏的人，。越是拥有一种。莫名奇怪的勇气和自豪感。”。——罗翔
1699056323# #真正的强大不是对抗，。而是允许发生。。允许遗憾，。允许愚蠢，。允许丑恶，。允许虚伪，。允许付出没有回报。。——莫言
1703571716# #毛泽东同志的独立自主思想及其时代价值
1700018084# #在江湖之上。谁不曾流浪
1698593890# #藏起底牌，徐徐图之
1696090750# #爱你
