1694960354# #AACR:CancerProgressReport2023
1697118070# #丽珠医药与兰晟医药签署抗抑郁新药LS21031（PDE4D抑制剂）合作协议
1696688019# #C--&gt;Nswapinaromaticrings
1690552183# #Arvinas成立10周年
1690725595# #AmgenGoldenTicketinSingapore
1687615549# #百济王志伟博士，泽布替尼(Zanubrutinib)主要发明人之一
1694700692# #Mystheratherapeutics：developingPIMkinaseinhibitorsforthetreatmentofautoimmunediseases
1703339790# #DianthusTherapeutics：在研单抗DNTH103，靶向activeC1scomplementprotein
1690811720# #华东医药子公司道尔生物：靶向GLP-1R/GCGR/FGF21R长效三靶点激动剂DR10624获批国内临床
1690295580# #奕拓医药入驻罗氏中国加速器
1690035205# #FLT3抑制剂Quizartinib（商品名Vanflyta）
1702736731# #BicaraTherapeutics：双功能抗体BCA101（EGFR/TGF-β）
1691502992# #Recursion：对360亿化合物进行了蛋白靶标预测
1687702694# #浙江医药子公司浙江新码生物，新一代长效IL-2药物NCB003申报国内临床
1691589096# #抗衰老Biotech：Retro,Altos,NewLimit
1689690838# #生创科技：宫血干细胞治疗轻度阿尔茨海默病IIT临床
1700752110# #复宏汉霖：靶向EGFRADC新药HLX42获FDA临床试验许可
1698414256# #康朴生物：新一代CRBNE3泛素连接酶复合物CRL4/CERN调节剂KPG-121，与恩扎卢胺联用治疗ARF877L突变型转移性去势抵抗性前列腺癌mCRPC
1699451656# #恒瑞医药：国内首个自主研发新型AR抑制剂瑞维鲁胺的诞生。
1698069444# #迪哲医药：舒沃哲/舒沃替尼，一线单药治疗EGFRexon20ins突变型NSCLC临床数据
1698156734# #诺华第三季度（7-9月）中国区净销售额8.48亿美元
1691156523# #科望医药CSO卢宏韬博士
1695912272# #Karunatherapeutics:M1/M4受体激动剂KarXT申报NDA
1695047744# #麓鹏制药：新一代BTK抑制剂LP-168
1695651412# #贝达药业：公司从C4Therapeutics引进的EGFR-PROTAC新药CFT8919申报国内临床
1693663994# #药明合全：寡核苷酸、多肽及相关化学偶联物（“TIDES”药物）
1698414061# #康哲药业：美泰彤（预充式甲氨蝶呤注射液），患者每周一次自主给药，用于治疗对其他治疗方法（光疗方法、PUVA和维A酸）无充分治疗反应的成人严重、顽固、致残性银屑病
1696428591# #aneweraforSandoz
1694357178# #Empresstherapeutics:A'chemistry-first'approach
1691419663# #翰森制药：将在2023WCLC会议展示三代EGFR抑制剂'阿美替尼'42篇创新成果
1695048001# #英百瑞：IBR854注射液为全球首创的5T4抗体与NK细胞复合偶联的产品，是通用现货型NK细胞注射液
1702477684# #科越医药：双功能C5抗体/H因子融合蛋白KP104，在未接受补体抑制治疗的阵发性睡眠性血红蛋白尿症(PNH)患者II期临床的积极结果
