1690036843# #根据血糖水平和病情
1688468405# #【李青医生，您好，一直关注您的微博，谢谢您的科普，让我懂得一些】谢谢你的信任！你是一个很细心的人，自我管理很好，结局不会太差。你最大的可能是原发性醛固酮增多症，如果有条件，降压药可以服用依普利酮治疗，每天1-2片，络活喜和代文都可以不用。降糖药我建议达格列净，每天一片即可，二甲双胍
1698572395# #深秋黄昏生态城，小区火炬别样红生活
1693652404# #【主任您好，我是男，29，单纯血尿10年，但镜下血尿也是时有时】谢谢你的信任！隐匿性肾小球肾炎，血压正常（白大衣血压），不用任何治疗。你目前最大的问题是焦虑，太焦虑了
1703901986# #鲜花鲜花鲜花
1702392086# #爱问医生APO
1697206923# #我也不建议减
1701703369# #列净类就挺好，一线药，服用简单，心肾保护
1701272133# #目前很贵
1699534445# #列净类降糖药的常见问题和解决方案微博健康公开课听医生的话
1700577845# #差不多
1687172405# #【李医生，你好！前几天刚刚向您咨询过，您建议长期服用达格列净和】
1701264708# #换原研药，查原因
1692529204# #痛风是怎么毁掉肾脏的微博健康公开课
1694528346# #一般餐一高
1691411782# #嘻嘻作揖
1690795006# #糖尿病肾病如何远离尿毒症微博健康公开课
1701179025# #goodgoodgood
1701519525# #【振奋：IgA肾病靶向药在我国上市】11月24日，国家药监局正式批准靶向药布地奈德肠溶胶囊（耐赋康）在我国上市，用于治疗有进展风险的IgA肾病。。IgA肾病是我国常见的肾小球肾炎类型，主要表现蛋白尿、血尿、高血压，好发于青年人，病情迁延不愈，也是我国目前尿毒症的主要原因。。之前，高风险的IgA肾病
1699257288# #如果血压不低于110，不建议掰开
1689418808# #【。医生，你好。我今年33岁，女性，生育过一个孩子。我是202】谢谢你的信任！非常轻的肾小球肾炎，如果不出现特殊情况，不会肾衰的。单用安博维便可，如果血压控制不好，还可以增加剂量
1692715968# #鲜花鲜花鲜花
1702207260# #一片。另外，血压不会1128
1696059301# #空腹血糖没有控制
1693488876# #goodgoodgood
1693832975# #这种肾病，不用肾穿也不用治疗微博健康公开课
1698061897# #【列净类降糖药的九大区别】列净类降糖药除了降糖，还能减重、降压、降尿酸、降尿蛋白、控制心衰和保护心脏、保护肾脏。目前我国有5种列净类：达格列净、卡格列净、恩格列净、艾托格列净和恒格列净，那它们之间有什么区别呢？前三种列净上市比较早，研究数据也比较多，我今天对它们三个做一个比较。。1
1696508751# #查原因
1695904308# #贫血吃什么水果有益微博健康公开课听医生的话
1700556336# #你过来，我还能请你喝点小酒呀
