1703760997# #“技术应该在车上，而不是在PPT上。”领跑汽车这是在内涵谁？
1690244032# #没想到折叠屏还能这么用？解锁情侣新秀恩爱动作！。。看看这对情侣是怎么用荣耀MagicV2打王者荣耀的！这把狗粮来的措不及防啊！。。荣耀MagicV2的这个设计，不会就是为了各位单身狗解决单身问题准备的吧？
1697499291# #无人驾驶汽车飞过金鸡湖上空。。这种大号无人机飞行汽车，现在最大的问题并不是技术问题，而是能不能合法上路的问题。。。如果解决合法性问题，相信一下子会有很多类似的产品推出，毕竟大疆这种无人飞机巨头还没有参与进来。
1688128474# #泰坦号失事前水下短信通信记录。。潜艇公司完美演绎了胆大心细不怕死！设计下潜1300米，却跑到了3000多米深，可见国外的很多公司也是忽悠人的，视安全规范如无物，总自以为是的认为，自己运气好不会出事，但凭借运气做事，出事是必然的！
1690705701# #为啥好多人认为问界M5就应该降价？人家才刚改款好，降价也得等等，看看市场反应啊！
1703939077# #华为确实有做奢侈品的天赋！。。可惜了这么好看的nova包包，居然不卖！真是太浪费了！。。你有没有特喜欢的华子限量版周边？
1692416715# #把微信状态当成朋友圈发。。我现在几乎都发微博，微信已经不太发朋友圈了，朋友圈太复杂了，我在想，微信能不能推出一个关闭朋友圈的功能？
1700445575# #瑞幸每周的9.9福利，还是蛮不错的！
1689602875# #好多朋友问我，荣耀手表4的表盘多不多，具体我没有数过，录个视频大家自己看，我觉得还是蛮多的。续航好长长长的手表啊
1703328481# #快来看啊！华为智能生活馆•上海大宁国际12月23日盛大开业！在大宁国际华为智能生活馆翻行头。华为智能生活馆原本就是科技控和生活达人探索未来的理想场所！没想到这次居然把时装周都搬进了智能生活馆，这个创意真是满分啊！以后华为智能生活馆会不会也会成为时尚达人的聚会场所？
1699936496# #最近网络基础服务出故障的概率有点高啊！这才几天全球就出了这么多次故障！可见我们的网络系统并没有想象中的安全。
1690372252# #新款问界M7要来了！余承东表示，华为在新款问界M7的整体性能提升上进行了大力投入，并承诺要将质量做到业内第一。。。新问界M7在外观上进行了一些小改动，并新增了5座版本。新款车型在硬件方面进行了升级，车身结构采用高强度钢材，提升了车身刚度和碰撞安全性能。此外，新款车型在软件层面的智能安全也
1698208553# #除夕A股正常开市。。从今天开始涨，一直涨到除夕，能涨到多少点？
1692141762# #HUAWEIWATCHGT4系列已经完成蓝牙备案，代号PNX-B19、ARA-B19，这次不知会有什么新功能会上线！实况窗？新的健康检测功能？
1699621702# #荣耀100系列将会支持100W快充，终于淘汰66W快充了！
1700464490# #有时候在想，华为的超级充电站研发都没有看到有专门的研发组，大嘴是不是去5G机房里翻了翻，就拼凑出来了？允悲
1700738051# #手机界有自己的显眼包。。荣耀100这造型在同质化的今天，够资格成为显眼包了吧？
