1689236889# #告别喀什
1699694379# #中国散文学会理事（含会长、副会长）总共百人，其中两个半衡阳人。除了我和新疆熊红久，《北京日报》高级记者杜京母亲是衡阳人。这是今天上午，叶梅会长与我们仨留影。鲜花音乐
1700550087# #刚才与欧阳斌先生通话，确知他已离任张家界市政协党组书记、主席，今天已到湖南省文旅厅报到。8年时间里，衡阳人欧阳斌在张家界留下了各种美好的故事。
1688008400# #青海湖国际诗歌广场。吉狄马加致辞
1689257037# #在乌鲁木齐遇到可可托海民宿房东裴郁平先生
1700654278# #在南岳遇到何沐阳。其生于湖南，著名词曲家、音乐人，中国音乐家协会副主席。《月亮之上》《彩云之南》《坐上火车去拉萨》，等等等等。
1702693404# #现在谁也没有办法了，只能看天意了。
1692853610# #呷着衡阳的米粉，写着青海的文章。
1703133176# #衡阳师院中文系老教授许定国先生寄赠《雪鸿掠影——许定国诗文集》（上下册），新加坡环球出版社2023年9月出版。许教授在衡阳老地名和王夫之诗学研究两个方面用力颇深，成效显著，值得我辈尤其是同邑某大学语言文化学院的教师们学习。因该院党委书记几年前在饭局上，曾经向我当面吹嘘，发下宏大的誓言
1695354322# #1982年在衡阳召开纪念王船山逝世290周年学术讨论会之前，曾有人以维护民族团结为由，主张对船山的爱国主义思想“避讳”，即虽承认但不公开宣传。其时胡耀邦任中共中央总书记。1983年7月2日，中宣部、中央书记处研究室联合发布《关于加强爱国主义宣传教育的意见》，文件中列举具体名字者只有13位
1703333873# #柴静曾经这样调侃道：“（上个世纪）八十年代的江湖，流氓们都还读书。看着某人不顺眼，上去一脚踹翻，地下这位爬起来说：‘兄台身手这么好，一定写得一手好诗吧！”
1690293687# #捉特务！这些坏家伙吃着中国的饭，砸着中国的锅，天底下哪有这样的美事？！
1687777795# #此刻
1694303895# #师者若水，润物无声。桃李争妍，四海承风。鲜花音乐作揖
1696400834# #早在2022年7月，残雪获悉自己得了马来西亚第十六届花踪文学奖，在西双版纳写了一篇获奖感言，并将在家中花园的朗读发上视频。她说：“我喜欢大马，我佩服举办这个奖项的《星洲日报》。”同时说到，“我从事文学创作已经40年了，在国内和国外都出版了许许多多的作品，可是我在国内连市级的小奖都从未得
1694763672# #船山先生王夫之诗词最初引起国外汉学家的关注，据我所知时在1972年，英国企鹅出版社出版西里尔•柏芝(CryilBirch，1925—？)的《中国文学选集》（《AnthologyofChineseLiterature》），涵盖先秦至当代的名家名作，第Ⅱ集翻译了王船山三首词：《清平乐•咏雨》《玉楼春•白莲》《蝶恋花•铜管戍火》
1699599063# #中国散文名家走进南岳采风创作活动第一篇散文出来了，乃耒阳icon才子曾利华《“岳”在深秋》，写得好啊！
1700816155# #第一次见到铁艺雕镂的戏剧生旦
1694501342# #今天开印《石鼓书院的月亮》诗集，汇辑了海内外130位作者208首诗，其中中国作协会员41人，中外女作者35人，鲁迅文学奖诗歌奖得主3人，蓝墨水上游诗群成员16人，中国诗歌、散文、报告文学学会及中华诗词学会与省市作协、诗歌学会会员几近半数。。诗人们围绕石鼓江山、书院七贤、湘江、蒸水、耒河、青草
1688027994# #《青海长云》是朱乃正1980年创作的一幅布面油画，规格：160×140cm。
1703982359# #宋人晁冲之《夜行》：。老去功名意转疏，独骑瘦马取长途。。孤村到晓犹灯火，知有人家夜读书。
1702437528# #功名半纸，风雪千山。
1688004185# #路过《在那遥远的地方》发生地
1698215250# #美国发行量最大的华文报纸《海华都市报》后天的文学世界副刊，将发表湖南诗人方斌《我看见一支笔在奔走（二首）》，包括《一支笔，在它深爱的人间奔走——为甘建华先生六十寿诞而作》《一个人与他的地理诗——甘建华先生与青海诗歌衡阳岐山朗诵会》。。在此之前，北京中诗网、新湖南客户端曾于同一天（2
1688951722# #乘坐绿皮火车离开若羌前往和田。两地之间火车比飞机简便而快捷。若羌有大美而不言
