1695562258# #大同小学生性侵男同学这事已经不能用丧心病狂来形容
1700576095# #从希望，到绝望…
1687074016# #2020年10月我与自如为期5年的托管合同到期，可自如管家迟迟不交房，各种理由推脱，至到2020年底才交房给我，二个多月不交房后来我找到原因，原来前租客在房间里拉尿，尿水渗透到木地板下，久久散不尽，有严重尿骚异味，需要时间散除，自如管家服务真的极差，向北京总部投诉过多次，要求给个说法，三年
1692881836# #医药代表的内幕
1693055481# #最新消息！女子炫富举报丈夫：收钱局长已身居高位，供电局无法管…
1688300427# #上海94岁老人举报：遭保姆虐待，250多万养老钱被卷光！警方已介入→
1689399627# #马斯克也抑郁了
1699537113# #美女院长不只是公开贩卖出生证这么简单，三大内幕曝光
1694002703# #最低层教师掉入这种大坑里，这个不公平不合理的劳务派遣制度不应该治一治吗？。本人是上海市医药学校的编外教师（劳务派遣教师)大学本科学历.拥有国家中等专业学校教师资格证书，获有教育部多种专业证书。进学校前与指定的第三方派遣公司订立劳务合同是学校实验室管理员岗位，该单位是上海医药集团上海
1699529079# #转发微博
1689685729# #男子乘凉，被没收凳子并罚款，争论后城管狂怼：请证明凳子是你的！
1698495069# #河南一女子举报被村支书强迫发生关系长达7年，官方通报：涉事村支书已停职
1701090859# #两高中生“奸杀教师”被判无期，宁死不肯减刑，10年后重审，发现背后真相不简单…
1692257073# #女医药代表陪睡上百院长！最终丈夫扛下了所有
1693800517# #竟有这样的事，电影也不敢这么演
1692754946# #毁三观！某电网职工妻子阿娟爆料大量狗血内幕引发全网震动！
1687052989# #“阴间”招牌后，重庆又整出“天上”招牌！
1689466345# #落马官员家中找到100多斤房产证
1702177095# #
1702819221# #转发微博
1688048490# #美女发文称被扬州一民警强奸，美女很美，而民警是位90后“神探”
1688098034# #南京电梯门女主惊美容貌曝光，网友高呼书记威武
1694157133# #他霸占了5朵軍花！
1695719910# #女青年教师举报知名教授性侵，证人公开发声支持！
1691047182# #《找工作时千万不要落入这种坑，这个不公平不合理的劳务派遣制度——百度贴吧》。我是上海市医药学校的编外教师（劳务派遣），大学本科学历，拥有国家中等专业学校教师资格证，进学校前与指定的第三方派遣公司订立劳务合同是学校实验室管理员岗位，该单位是上海医药集团上海市医药人力资源管理有限公司
1687849360# #网传老干部脚踹前排座椅，狂怼乘客：我要没退休，你就在牢里了
1703941724# #
1692533611# #道貌岸然者，必是衣冠禽兽
1698417545# #还了七年房贷：房子没了
1696043006# #她，把两位公安局长玩进监狱！
1701664196# #少年抑郁症
1695862465# #沪上顾行长的32位中年妖艳情妇
1694850074# #疯传！母亲带2个孩子跳高楼身亡！现场画面令人落泪痛哭！
1696837821# #拆开校服，里面全是废料！
1688532031# #“山西未成年被逼迫吃粪便”事件后续：男孩已痴呆，霸凌者被曝光
1693631700# #这一代人唯一的价值观就是不择手段搞钱
1688014805# #反抗不激烈无法定性强奸？
1688282150# #纪实：红通逃犯的故事
1694744487# #河北负责人卷走千万救命款？中华儿慈会：志愿者所为
1692491283# #正厅级|兽医出身的风流院长柴永柏，强占87位女教师
1690899379# #李庄回应“李庄来了审判长走了”
1688480719# #震惊：这竟然是真的
1688480276# #武汉第三医院一男子钱不够伤口缝好后被拆线！主治医生停职
1687438994# #厦门13岁女生泼男同学开水致其毁容，事后不道歉还炫耀，来头很大
1691995486# #血本无归，太难了
1698243684# #存款就是购买？15万存款被银行改成购买后续，银行回应：无权解释
1688309135# #最新后续！扬州民警和被强奸女孩被扒了个底朝天，有人开始慌了…
1694686319# #《劳务派遣一切行为本质背后都充斥着一个目的，压榨劳动者最大利益——百度贴吧》劳务派遣一切行为本质背后都充斥着一个目的，压榨劳动者最大利益，承担劳动者的最小责任&lt;br/&gt;&lt;br/&gt;我是上海市医药学校的编外教师（劳务派遣教师)，大学本科学历，拥有国家中等专业学校教师资格证书，并获有教育部多种
