1703655007# #期待打call
1703727927# #今日上海的早晨，可谓"两眼一白"偷笑允悲
1704034734# #巧了，俺也是今天才知道，感谢科普偷笑坐在现场的人表示唱得很好听哦！
1703956036# #2023最后一天陪你跨年心鲜花
1703309031# #老板背后抓话筒的小肉爪爪好可爱偷笑
1703595192# #牛津大学突发背刺操作，本届数学专业雅思小分从6.5提升到7.0，今年申请牛津数学的哭晕在厕所，还不如直接心一横申剑桥冲7.0爽快允悲
1703658620# #微博跨年狂欢节可以预约张信哲了！还可以冲跨年晚会现场门票！快来和我一起冲！预约2024，让更好发生~~~
1704192219# #我一个月前还说体制内音乐艺术类基础教育薄弱，没想到这么快就应证了！庆幸自己小时候还额外学过点乐器被科普了点乐理常识。如果连起码的节拍都搞不明白就不要逮着胡乱咬了，很尴尬！
1703729214# #一闻就很贵的香水最喜欢蔚蓝男士香精的味道，让我直接把女用香水们打入冷宫偷笑
1704012462# #忙不过来了偷笑
1703316950# #微博跨年狂欢节可以预约张信哲了！还可以冲跨年晚会现场门票！快来和我一起冲！~~
1704030153# #我在听你现场版的《喜欢你》和《太想爱你》，回头补看偷笑
1703354855# #有些老歌开口时已成为随时可以调取的记忆库资料。有些老歌再听时是陪伴自己人生不同阶段的回忆共鸣。MerryXmas
1704002140# #Seeyoulater可爱
1704084628# #美
1704180732# #还爱光年心
1703914482# #明天梅奔见心
1703649011# #清唱才是最纯粹好听的天籁之音，以后演唱会可以不需要伴奏舞美服装设计，直接白T站桩清唱偷笑
1704095547# #好听又好甜心
1704090095# #微博跨年狂欢节我已推荐我心中的2024跨年最佳舞台，快来为你喜欢的舞台点亮加油吧！微博跨年狂欢节我已推荐我心中的2024跨年最佳舞台，快来为你喜欢的舞台点亮加油吧！
1704089046# #转发微博
1703303171# #北京卫视跨年节目单由你决定我已经在北京卫视跨年之夜选择了最想看的舞台，快来推荐你喜欢的舞台吧！
1703176454# #这上海话也太欢乐了，今天跑去外滩吹风的都是勇士允悲。。百克力的笔记今天是一期冻人的偶遇～上海气温（分享自
1704122113# #新年快乐！2024每天爱你多一些心鲜花话筒咖啡打call太阳
1703232257# #北京卫视跨年节目单由你决定我已经在北京卫视跨年之夜选择了最想看的舞台，快来推荐你喜欢的舞台吧！
1703474278# #圣诞快乐呀！
1703424586# #转发啦笑而不语
1704090082# #微博跨年狂欢节我已推荐我心中的2024跨年最佳舞台，快来为你喜欢的舞台点亮加油吧！
1704021835# #等待跨年演唱会可爱
1703863607# #相约迎接美好的2024鲜花
1703683173# #上海闲话嗲额呀
1704081522# #我的挚爱心，新年快乐！
1703945812# #虽然但是，我们明天上海见可爱，明天才是2023年最后一天哦！
1703598974# #一年多前爬楼梯功底还在，电梯维修，一口气上11楼毫无压力允悲
1704081564# #转发微博
1704124860# #生命印记里又多一圈年轮。。喜年岁正生长，活得越久，经历越多，见证越多，愿心态逆生长，像孩童般，越是简单，越是快乐！时空世世轮转，兜兜转转，顺其自然，即是圆满！
1704043824# #光阴似箭，日月如梭，时隔13载，再次跨年，仍在魔都，完美！2024新年好！
1703565570# #再看我就把你喝掉(有一只已经下水了)偷笑，有道菜特别应景
1703319395# #未来可期打call
1704202689# #空出来的时间，刚好拿来鉴蠢咖啡📱
1703330851# #倒数第五段很准了，转发，拥抱自己！
1703479131# #哇哦，期待！
1703436092# #老板最可爱，圣诞节快乐！🎄
1704110740# #新年快乐，开心每一天心心
1703778068# #！
1703739815# #转发微博
1703917786# #有了石家庄小姑娘基础，老板唱新加坡小姑娘驾轻就熟了偷笑
1703649068# #转发微博
1703424644# #2024年要更快乐！笑而不语
1704184286# #仅个人角度出发评价，《宣你》翻唱，本人在现场，首唱听完感觉良好，根本不存在翻车，前脚唱完，后脚面具热搜，更像是被故意买了一样，可恶，毕竟微博不是慈善家。。《爱你》现场视频回看，伴奏对比彩排版没发觉问题，节奏类似于太一合唱版，再做了合适独唱的改编吧，合唱版听了无数次了。总之，尬黑不
1703935947# #今晚顺利不下雨圆满成功！
