1698363499# #乌克兰武装部队第25空降旅突击了俄军的一个阵地，俘虏一群俄国兵。俄乌战争
1688523697# #以色列在西岸开展多年来最大的行动之后开始从杰宁撤军，约有1000名士兵参加了这次行动。以色列宣布此次行动发现了地下爆炸物藏匿处，没收了大约1000件武器，拘留了30名嫌疑人。有分析人士称以色列的杰宁行动可能已经实现其目标，但它也将加深仇恨。年轻人仍然走在街上，发誓要与以色列军队斗争，直到
1694645788# #罗马尼亚外交部刚刚在第三架无人机进入罗马尼亚领空后召见了俄罗斯大使瓦列里·库兹明。罗马尼亚军队在内陆14公里的罗马尼亚境内发现了第三架无人机。空军直升机被派往该地区。军事消息来源：民众的危险是真实的。碎片不可能飞那么远，无人机必须飞到坠机现场。俄乌战争
1699891922# #以色列军方表示，它已经杀死了哈马斯反坦克导弹阵列在恐怖组织汗尤尼斯旅的指挥官雅库布·阿舒尔。单独的袭击还杀死了哈马斯情报部门前负责人哈米斯·达巴巴什;塔赫辛·马斯拉姆（TahsinMaslam），哈马斯在拜特拉希亚（BeitLahia）的特别行动的战斗支援连负责人;哈马斯情报官员吉哈德·阿扎姆（JihadAza
1690467575# #俄占扎波罗热地区托克马克的机场发生爆炸。俄乌战争
1696842002# #以色列军队报告说，已经动员了30万以色列预备役人员。以色列巴勒斯坦冲突以色列空袭加沙地带
1700883499# #乌克兰武装部队为捍卫者颁发英雄勋章。俄乌战争
1689588165# #阿卜杜勒·哈基姆车臣营营伏击俄罗斯军车，老车臣营的兵真的是勇，在乌军中总共有杜达耶夫营，谢赫·曼苏尔营等5个车臣营在与俄军作战。乌克兰反攻俄乌战争
1690243879# #【西沃斯基顿涅茨最新战况】俄军在迪布罗瓦以南获得了更多的阵地。俄乌战争
1698349516# #以色列军队：在空袭中消灭了哈马斯附属的Al-Daraj和Al-Tuffah营的领导人。以色列正式向哈马斯宣战
1694646294# #俄罗斯国防部9月13日报告承认，乌克兰向克里米亚港口发射了10枚导弹和三艘无人驾驶快艇袭击。克里米亚半岛的塞瓦斯托波尔造船厂今天稍早被曝击中，其中两艘船受损。最新消息透露，受伤的两艘船，其中包括俄罗斯黑海舰队基洛级柴油动力舰“顿河畔罗斯托夫号”（Rostov-on-Don）潜水艇，而且已不可维修。
1699891544# #11月12日至13日以色列国防军对加沙军事行动影像。以色列巴勒斯坦冲突
1689575458# #刻赤大桥被炸，一个跨度的横梁坠落，无啦！克里米亚刻赤大桥发生爆炸
1699579059# #以色列国防军战斗工兵拆除了加沙的大量恐怖分子基础设施，重点关注哈马斯使用的错综复杂的地下隧道网络。哈马斯在这些隧道内囤积资源，例如水和氧气储备，旨在延长地下停留时间。以色列巴勒斯坦冲突巴以冲突
1696915183# #以军第300旅副旅长AlimAbdallah中校，40岁，来自Yanoch-Jat，今天在与从黎巴嫩边界渗透到以色列领土的武装分子遭遇时被打死。以色列巴勒斯坦冲突
1693232709# #【乌克兰海军创建了一个单独的海上无人艇旅】。。8月24日，乌克兰总统泽连斯基向乌克兰部队颁发了国家奖项和战旗。接收战旗的部队之一是乌克兰海军的第385旅特种海军无人艇旅。。。这是第一次提到这样的单位，它的创建并没有公开宣布。因此，乌克兰海军历史上第一次成立了一个专门针对无人驾驶船只的旅。。。
