1700630985# #带着微博走天下转起来，纳粹以色列。
1700099774# #今日头条方老视点超话11月14日，省长赵刚到西安市调研冬季供暖工作。西安市市长叶牛平，省直有关部门负责同志参加调研。（来自）。关注今冬供暖省长，市长都在关注民生供暖问题了，西安新港分布式能源有限公司，你还是这样无动于衷吗？这是今天在西航花园1
1696944079# #方老视点超话转起关注巴以冲突已致上千人死亡
1690848532# #方老视点超话转起关注北京暴雨
1704020550# #方老视点超话转起。鼓掌鼓掌鼓掌
1693484458# #方老视点超话转起来！“唱响新时代放歌迎未来”——2023陕北民歌群众广场歌汇复赛比拼开启，8月27日到9月1日，6场复赛在榆林世纪广场开锣唱响。（来自陕西卫视榆林日报）带着微博走天下
1701786027# #带着微博走天下果断点赞！赞赞
1695722643# #方老视点超话转起。
1701196916# #2021，不忘初心，勇往直前。我是百年致敬者，下个百年梦想我们一起来实现。
1695917999# #方老视点超话转起【热门视频】精彩视频，尽在QQ浏览器
1703565397# #方老视点超话今日说法。这位交警的一句“扣车”彰显出高高在上的冷漠与被赶下车工人（可能是公路养护工）的无奈，这个车牌是四川凉山彝族自治州的，试问在凉山高海拔的雪山公路上，如果不是工地路途遥远，能有谁愿意顶着严寒去坐着毫无遮挡的敞篷车？你交警两人一台车不是这些社会最底层养护工所
1691130981# #赞赞赞
1703613412# #方老视点超话今日头条。12月26日，据西安市公安局交通管理局消息，按照西安市重污染天气应急指挥部办公室《关于将重污染天气橙色预警升级至红色预警的通知》要求，自2023年12月27日7时起执行重污染天气I级应急响应措施。限行时间：自2023年12月27日起至重污染天气I级应急响应措施终止，每日（法
1702916473# #老方话民生网观西安。微博曝光台快过年了，难道公元物业西航花园服务中心就让社区居民陪伴着垃圾过年吗？这是在西航花园小区广场舞台前拍的照片。方老视点超话带着微博走天下西安身边事。
1701645839# #方老视点超话的地震快讯。云南德宏州芒市3.0级地震。发震时刻：2023-12-0315:14:51。纬度：24.26°。经度：98.10°。深度：10千米。震级：3.0。（来自中国地震台网）带着微博走天下
1690796401# #方老视点超话转起密切关注。北京暴雨　　今日头条
1696563336# #方老视点超话恭喜！转起，林高远和日乒第一美女石川佳纯好事临近！球迷送上祝福。乒乓球在体育界，不仅有赛场上让人动容的故事，有时台下运动员们的生活也令人感动。乒乓球界的石川佳纯被人们称为“白衣仙子”，她不仅拥有漂亮的外貌，还有令人心醉的微笑，她出色的技巧也赢得了全世界的赞
1704024433# #方老视点超话转起祝愿祖国繁荣昌盛、世界和平安宁！祝愿大家福暖四季、顺遂安康！（来自新华社）带着微博走天下新年
1696412113# #方老视点超话看杭州亚运会转起大赞！太开心
1692157517# #地震快讯方老视点超话密切关注转起中国地震台网正式测定：08月15日03时06分在新疆乌鲁木齐市沙依巴克区（有感）（北纬43.62度，东经87.44度）发生2.9级地震，震源深度27千米。（&nbsp;
1699062664# #真实故事社会百态方老视点超话转起你怎么看快手
1697407164# #方老视点超话的网观西安老方话民生网友心澜反映：没有路灯一片漆黑，出行存在安全隐患。西安莲湖区永安路（永全路到星火路段）没有路灯，晚上一片漆黑，给行人和车辆造成不便，存在安全隐患。（来自群众呼声）西安身边事带着微博走天下。
1693278279# #方老视点超话转起一线微观点赞
1703684143# #方老视点超话密切关注地震快讯四川广元市青川县发生地震！。时间：2023-12-2704:22:45震级：3.1经度32.30°纬度105.01°深度（千米）10（来自中国地震台网）带着微博走天下
1698054952# #方老视点超话转起地震快讯。西藏那曲市申扎县发生4.4级地震。　　央视网消息：据10月23日16时43分在西藏那曲市申扎县（北纬31.51度，东经88.26度）发生4.4级地震，震源深度8千米。带着微博走天下
1698846348# #方老视点超话转起关注。带着微博走天下
1690678615# #方老视点超话转起关注。
1695005481# #方老视点触目惊心谈九一八事变爆发92周年。太平洋战争爆发后，日本于1942年5月3日进犯中国西南边疆云南省，从此，滇西怒江以西的腾冲、龙陵及德宏州惨遭日军蹂躏近三年之久。。日军盘踞滇西期间，烧、杀、抢、奸淫无恶不作，竟悍然违反国际法，在云南施行罪恶滔天的细菌战，残害了大批无
