1692180404# #碧桂园good
1695097603# #央视官网表扬刘雨昕演唱会强实名虽说这是12306玩剩的，但这值得推广，建议推广到医院🏥门诊，挂号时实名制，门诊诊室看病时刷身份证，可以有效打击黄牛🐂
1697894503# #房地产楼市烂尾楼打击房地产，人人有责！
1694157250# #微博禁言申诉微博申诉有一说一，我这条微博怎么就是不实信息了？1、我的这条微博中出现某公司的名字了么？2、即使是过去的历史新闻，我就不可以发了么？中国上下五千年的悠久历史，过去历史发生的事情难道不可以拿出来说么?我回忆昨天、去年的事情可不可以?3你到底是拿了
1699191264# #在中国社会，这是现实，甚至被有些人称为“有情商”，国情如此。
1696226200# #请问目前我国社会的主要矛盾是什么？&nbsp;-&nbsp;作者：江湖见闻录，
1702783945# #发消费券不如创造更友好的工作环境终于见到一个说实话的专家了，发消费卷不如采取取消996，取消35岁就业歧视、降低房价等措施来的更加有效。
1688741193# #2023上半年仅北京、杭州卖地收入超千亿，更多城市不足百亿，如何解读这一数据？释放哪些信号？&nbsp;-&nbsp;回答作者：王克丹&nbsp;
1694963509# #房地产超话认房不认贷房地产北上广深全部认房不认贷
1695868790# #90后为何不愿生孩子了多家医院关闭产科本科生22~23岁毕业，硕士25~36岁毕业，博士一般5年最快要30~31岁毕业，如果博士毕业论文被卡就会延迟毕业。还没有等广大青年工作几年，面对高昂房价刚赞了一点首付，就要遇到中年危机。一旦进入中年危机，不能给孩子提供一个稳定幸福的童年，那么孩子父母宁
1688745985# #张雪峰动了谁的蛋糕？&nbsp;-&nbsp;回答作者：开心&nbsp;
1698770405# #浙大二院浙大二院挂号网上预约挂号，可不可以不要提前28天放号啊？太早放号会让很多黄牛抢号，导致真正需要预约挂号的人无法抢到。
1697961783# #于文文问微信撤回为什么要留痕迹终于有明星吐槽微信了，微信还有好多反人类的操作和设计。@腾讯微信团队
1695716624# #分享图片
1698279293# #以色列要求古特雷斯辞职如何看待以色列代表要求古特雷斯「不道歉就辞职」？&nbsp;-&nbsp;回答作者：黑兵&nbsp;
1700057083# #「缅北电诈保护伞」果敢四大家族，是怎么发展起来的？为何缅北电诈如此猖獗？&nbsp;-&nbsp;回答作者：猫哥的视界&nbsp;
1696949250# #「双节」假期楼市现「凉意」，多数城市维持低位，二三线跌多涨少，临阵放松限购城市有起色，透露哪些信息？&nbsp;-&nbsp;回答作者：王克丹&nbsp;
1696826094# #「挖呀挖」黄老师五场直播销售额超百万，网红鹿哈自曝「带货七个月赚3500万」，哪些信息值得关注？&nbsp;-&nbsp;回答作者：写手一条城&nbsp;
1697457335# #警方通报女童被狗咬伤狗主人责任恶犬小区内撕咬小孩监控曝光街道办已动员数百人寻找肇事烈犬对于遛狗不栓绳者，可对期进行罚款，城管、交警都应赋予执法权限。每位执法者配备可以刷身份证的手持设备，第一次发现遛狗不栓绳，罚款10元，并通过手持设备刷身份证记录在案。再次发现每次增加10元，
1695894217# #分享图片
1699195722# #李同志与他的七个贵人
1704024529# #央视跨年晚会
1698036827# #巴以冲突以军表示「地面攻势或将持续三个月」，巴以本轮冲突已致双方超6100人死亡，目前巴以局势情况如何？&nbsp;-&nbsp;回答作者：点评校尉&nbsp;
1700275226# #分享图片
1688695886# #杞人忧天，银行可以拍卖，根本不会造成金融危机。银行把房子拍卖给第二任房东，如果第二任房东过段时间也还不起房贷银行照样可以把房子回收后拍卖给第三任房东，如此往复下去怎么可能会出现金融危机。房子也不是古代妇女从一而终。房价下降会导致金融危机都是一些不希望房价下降的利益既得者的危言耸听
1691125011# #分享图片
1698287115# #互联网行业
1688060847# #湖南“狰狞”誓师女孩被曝508分，排名超7w，别说清北，211都没戏
1695780959# #分享图片
1688659170# #胡锡进农民工退休待遇房地产业低迷，百万农民工被迫失业或转行，当农民工「退休」，收入下滑焦虑在家庭弥漫，如何保障他们的生活？👉来源：
1691906196# #网红举报补课称会出钱让更多人干支持good我觉得可以把铁头这种干实事的人录为公务员，一些教育局的公职人员让他们去打击校外培训机构，总说事情多忙不过来，那就让忙得过来的人去当，大家看如何？
1695457675# #公务员考试为什么要取消35岁年龄限制超话公务员考试为什么要取消35岁年龄限制建议公务员考试打破35岁门槛理应取消年龄限制！什么叫就业歧视？这就是最牛的就业歧视吧了吧，堂而皇之的歧视。。。为什么要限制35岁呢？35之前和以后有何区别呢？35岁正是一个人最成熟最有责任心的时候，而且上有老下
1688658647# #胡锡进农民工退休待遇房地产业低迷，百万农民工被迫失业或转行，当农民工「退休」，收入下滑焦虑在家庭弥漫，如何保障他们的生活？&nbsp;-&nbsp;回答作者：不卷的江2号&nbsp;
1696226216# #请问目前我国社会的主要矛盾是什么？&nbsp;-&nbsp;作者：江湖见闻录，
1697891759# #哈马斯哈马斯为什么越打越强了？👉来源：
1694844131# #分享图片
1698375398# #巴以冲突俄外交部称哈马斯代表正在莫斯科进行访问，有哪些信息值得关注？👉来源：
1695790934# #分享图片
