1691480994# #原因：西化，也即被洗脑，有些观念包括传统生育观，传统养老观，价值观都被改造。
1691247667# #已经看到好几篇编造乔布斯的癌症死因。中医黑无所不干，这篇性质很很恶劣，黑一把中医：针灸。。如此恶劣编造，抹黑中医，已经在平台举报，平台及小编该负起责任来，当封号！
1694419216# #她说的也佐证了我的理论。另外：1.种族灭绝，断子绝孙，1-4代。移民国外，女的被杂交，男的难娶不到女人。女的可以嫁白人，男的娶白人难。
1703747645# #精准，这个词好。这个词曾经是热门词，用在打击这些人，绝对的正确。要做到精准打击
1693094584# #关于小日本核污水。见微信视频号：我叫孙火旺。视屏显现了国内舆论的真实现状。。1.小日本西化彻底，洗脑术学的是西方的，效果自然很好，很厉害。。2.国内舆论不是我方主导的，很多人不理解这句话。当然现在也是有点变化的。。3.没人管。当然比以前是好了点，但还是缺少有效机制。。4.拿钱洗脑他人的；被洗
1697755909# #电力联网，能源联网，很早前就提出了的。不是国家提出的，而是哪些被讽刺的“大棋党”提出的。有些被洗脑的洋媚，就喜欢喷爱国的，喷中国立场的，还给这些人污名化起名叫“大棋党”！。回头去看看，分析一下，喷大棋党的是些什么人！
1694908380# #关于大v奥卡姆剃刀关于光伏和电动汽车曾经的结论。。他当时的结论：光伏的能量密度太小，转化效率太低，没有发展未来，现在的盈利企业全靠骗补。。后续电动车开始起步了，我第一时间认为不成，因为电池的能量密度太低，续航是个死结，充电时间太长。。他转发打赏关于喷国家补贴电车的文章。。这两个结论：
1691804017# #公布答案3.实际操作涉及欺骗或者敲诈犯罪，不具有实际操作性。是故意编了一个文案，黑拼多多一把，属于高级黑。
1689985660# #基辛格100岁的三个阶段。。第一阶段：当年基辛格来华，当年背景，苏美都在封锁中国，苏美斗的厉害，美国问题更多。在中方乒乓外交引导下，尼克松主动访华，基辛格作为顾问在撮合，但其国内反对声音很大。。后发表联合共报，意思是说友好，中美不斗了。不是一起斗苏联。。第二阶段：尼克松下台后，他们实际
1701393203# #请问你，或自问：你有信仰吗？，不少人，很多人没有信仰吧，这个观点认同吧。没有信仰，照样活的痛快。而西方说：要有信仰，没有信仰不行。西方人的实际信仰：数据是如何？逻辑上，推一把，破绽自然出来了。
1690065123# #1976年，中国不止几十吨黄金的。应该有几百顿，张捷有过分析，黄金是从非洲买的，能买到也是我们支援非洲的原因，也是低价买的。不久后，黄金暴涨。
1687174865# #美国登月成功是明显的造假，科学上解释都不符合逻辑。小学试卷这样的写法不要再出现了。。1.地面与月球的通话没有延迟。时任美国总统拿着电话和美国宇航员在月球上通电话，甚至当时电视还搞起了直播。。2.宇航员开着车在月球上开的飞快，美国阿波罗登月计划,宇航员在月球上飙车、场面如同科幻电影。3.各国
1696594926# #结合我的理论看这篇文章！国企与民企，公有制与私有制，西方经济学，新自由主义经济与中国经济学家。
1691637335# #逻辑思维考试题，看图分析。。请在评论区给出答案。。改天本人再公布答案。
1696514388# #保护民营企业喊的震天响的，有谁？任泽平，最响！。保护了恒大两年！给恒大机会，是保护不倒的机会，还是保护他转移的机会？。其中，有些人喊的震天响，背后是自由主义经济。。这些罪，要记在这些人的账上，不要过段时间又洗白了。。被洗脑，去洗脑别人，然后再洗白自己。。而产生的更大坑，是被洗脑的去背
1703914482# #中国的曾经的翻译人，洋媚心态严重。。1.christ，基督;耶稣基督。christmas应该翻译成：基督节，或者耶稣节，或者耶稣诞生节。。竟然翻译成：圣诞节，问过犹太教，伊斯兰教等其他教了吗？。2.UnitedStatesofAmerica，翻译成美国，这个美字哪里来的。。类似的，翻译其他国家还有很多。。3.汽车品牌：如宝马
