1688479652# #有感。。文有胡锡进，。。武有马保国。。中文互联网，。奇才不可缺。
1695970167# #许家印最风光的时候，在老家说过，一次，喝醉酒也说：“我能流芳百世吗？”。2019年，一个太康县高贤乡的老村支书说：“他会遗臭万年的。”。很多人听了哈哈大笑，说：“你这是老乡说老乡的坏话呀！”现在看来果不其然。
1701041235# #有人在网上发布：警惕西方大V利用巨额案例抹黑我们，其实，我们的人均贪污额全球最低。这又是妥妥造了一个新词，简直让人把大牙笑掉。人均贪污额，这是把一个大锅甩给14亿中国人，谁愿意背这个大锅呢？
1703386662# #满屏都是朱令案，所谓正能量大V称“这是沉渣泛起”，只能说一句TM的！
1702965439# #世道良心。法学泰斗。法界尊者。法学教育家。法大“永远的校长”。江平先生。因病医治无效。于2023年12月19日12时28分，在北京逝世。享年94岁。江平先生千古！
1689745128# #陕西省吴堡县委党校推出清廉餐，菜品有拒腐防变，一清二白，忆苦思甜，清清白白……这玩意不知是谁想出来的，网民说，这是儿媳妇的大肚子，装的是大孙子。这些菜品可以有一个名字：形式主义。不是要克服形式主义吗？把这些搞的人抓起来，一个也不会错。
1695001025# #“世上无难事，只要肯登攀”，前媒体人何光伟还在坚持，不处理买官者绝不罢休。。局长31万，政委10万，交警大队长33万，这就是原信阳市公安局长李长根卖官案。李长根就像菜市场卖菜一样，来卖官。李长根卖官案，李长根服刑。怎么处理买官者，同样是法治的重要问题。信阳十个县，对买官者进行刑事处理完
1698366176# #沉痛悼念李总理！
1693055549# #一个正能量的vgymc卖盐的。谁反对她卖盐，就是反贼，就是模糊哲学党。开帽子工厂的。卖盐，卖的就是前列县盐？
1692862406# #周公子，李秋平县长，江协学局长，北极鲶鱼爷爷，难道都不了了之了？舆论监督死亡了？
1694916747# #看到一个视频，泪水止不住往下流。。9月13日，河南郑州，火车上，一个老人用热水泡干挂面充饥。很多人说：“这个是烫不熟的。”老人说：“我知道烫不熟的，可我一天都没吃东西了。”。想不到，真的想不到，如今已经2023年了，还有这样贫困的人。有人说：“他不是北极鲶鱼的爷爷。”。好在，一个女子，给这
1702699274# #除了中国民间防艾第一人高耀洁，还有一位被遗忘的艾滋病吹哨人，她就是王淑平医生。。王淑平医生，和高耀洁一样，走过河南多个农村，调查多个艾滋病患者，揭露河南血祸事件，提出血站设立检测，救助了数万人，得到专家曾毅支持。。河南出现血祸事件，使艾滋病得以蔓延。河南被中央点名批评。河南省领导十
1697597673# #今年支原体肺炎高发，转发希望有宝宝的家庭了解一下。
1702782127# #姚所长装孙子惦记老人们的社保，郑专家不在家好好睡觉或出去玩，又出来讲，年轻人生孩子可以交给亲戚养，着实把亲戚吓得直哆嗦。。郑专家年纪都那么大了，又是中社科院美国问题研究院的，又是社保研究院的，也出来忽悠年轻人生孩子，但手都抖了，画饼充饥，连个饼也画不圆。。中国现在专家真好当，阿Q也
1688275029# #6.23，河南永城警方悬赏5万元捉拿的杀人犯，书画家靳创民已经死亡。尸体在一久无人居住的民居里找到。弄墨者比墨还黑，下场绝对可悲！
1695890669# #胆大包天，肆意妄为，金蝉蜕壳，机关算尽，违反承诺，一地鸡毛。
1688308773# #“断奶”合情合理，“清退”合规合矩，任何人都不得超我国民待遇。
1689642088# #许家印曾被称为许帝，恒大集团负债2.58万亿，叹为观止。如此负债规模，早就应该破产，不知他们如何能撑到现在。记得原来负债是1.98万亿，负债是越撑越多，还让他们继续撑下去吗？
1692689273# #限流，是禁言的另一种形式。赵白鸽说的话她自己都知道是假的。计划生育，经历者都还在，说假话，只能被嗤之以鼻。年轻人也许不知道。但你们不能为虎作伥！
1693889223# #陶斯亮是陶铸，曾志的女儿，如今仍在忧国忧民忧政，是一堆人的榜样。致敬陶斯亮！
1700877738# #摇尾高手。当代中国出一奇人，说谎也能语重心长，连他自己都深信不疑了。。吹牛也能满脸真诚，仿佛他自己也被深深感动了。。如此高手，受过严阁老青词培训，你知道他是谁吗？
