1702396582# #这个真是万万没想到的北京下雪
1699793481# #多年后，大家回想起2023年的11月，大家当时都以为是世界各地服务器偶发的崩溃。
1702878673# #智联招聘给我推的两个岗位，分别是“周末双休产品经理”和“拒绝内卷产品经理”。
1688142024# #12连胜到白银1了街霸6
1700974524# #突然想起一句话说，没有谁能火过09年的小沈阳
1702808586# #很实用啊哈哈哈
1689511249# #看着煎饼摊的手艺，感觉不是作秀
1700928592# #WPS的AI还挺好用的
1688826960# #我甚至都要每天两杯咖啡
1693315540# #这篇很有意思，推荐听下。
1693582550# #断缴社保的年轻人都是怎么想的允悲允悲
1699768492# #0.0
1702398108# #北京都暴雪放假了，我还在吹空调
1695947395# #“谢尔盖从不教我，他照顾我，他安慰我，他保护我，他爱我。直到他死后，他才开始教我。”
1690812935# #10小时前，版本10.0，Twitter终于改名X成功
1702879200# #第一位评论时我还犹豫过
1700371834# #再爬大东山
1699109652# #「在你眼中，哪个科技品牌，一点问题都不能提，提了就会被往死里干？」
1695792671# #一排的叮叮叮叮叮叮叮叮车
1693493987# #八号风球前，蔬菜、面包、速冻水饺这些买不到了，幸亏家里泡面还有，买了鸡蛋
1696337054# #喜羊羊与灰太狼超话“喜羊羊我们认识多久了”“五千多集了吧”
1691321636# #去坐个缆车，要排队一小时
1702811438# #香港入冬了
1692447509# #转发微博
1688751700# #转发微博
1687529905# #国际升龙节
1689003112# #卡在5800分上不去了
1693568935# #看古装剧可以让人心情放松花轿喜事
1698986820# #万万没想到一杯冻啡要25
1699015648# #希望可以在电影院再上映一次缝纫机乐队
1699021823# #clashforwindows这是短短几天之内接连发生的事
1698036360# #敏华，黯然销魂饭
1697732522# #请回答1988竟然9.7分，挺想找时间看看的
1698040733# #小时候看到倚天屠龙记是94版马景涛叶童版，长大后才看到吴启华版的，也很不错
1700928556# #转发微博
1698680858# #买它
1693666881# #哈哈哈哈
1700982119# #这剧本明年一拍不又得大火
1703991042# #老百姓有钱不敢花？不会吧
1688287791# #刚看完了消失的她，好看，最后看到李木子在铁笼中拿出照片接着摘掉氧气面罩的时候流泪，看到有人问为什么李木子会摘掉氧气面罩不挣扎了，可能就是当发现最爱自己的人想要自己死的时候。想起之前看过的一个新闻：“我根本压不住他,他力气太大了,我让他妈妈帮忙按住他,他妈妈一过来,他就不挣扎了。”
1693626225# #转发微博
1702873079# #1、4、5达成
1698574329# #家楼下有一个很棒的牛腩饭鼓掌
1689263001# #北京平均月薪13438元全世界每个人平均有一个睾丸。
1703351816# #@欢乐谷女王
1697456315# #“你要自由做什么”“你要隐私做什么”“你要做什么”
1703313066# #@欢乐谷女王
1699198462# #bilibiliCHN马里奥制造的视频＇
1701582408# #刚听最新一期故事FM知道了这首歌的来历，人总要有一个坚持的梦想。好像是我听过二手玫瑰的第一首歌
1701580612# #太喜欢第二个故事了，能拍成电影就好了
1692723629# #街霸6今晚首次碰到拉希德，积分终于超1万了。
1703474816# #照明商店灯会熄灭，爱永远发光
1697990351# #转发微博
1703383378# #尝试在小米电视安装YouTube，失败
1690170720# #当人人都是选择工作而不是就业的时候，也许能实现
1687063298# #晚上我去现场看嘻嘻
1687542269# #街霸6快2000分了
1696695240# #电锯惊魂10上大学时看了电锯惊魂1，除了血腥还有那个意想不到的结尾，后来的惊声尖笑还恶搞过，今年都出到第10部了，今晚在电影院看的感觉不一样，港版翻译是恐惧斗室，血腥含量足够，影片开始时提示是三级片如果低于18岁请离场，此外又是一个精彩的结尾good还有一些温情泪
1689355352# #今天到白银3了
1702719658# #按这个趋势下去，应该可以看到杨丽萍老师在春晚跳科目三了。
1688364061# #谁能想到，现在小米电视竟然还有不支持5GWifi的型号。
1690216441# #高端啊！
1693238083# #我朋友进了一个假股票群被骗了十几万，后来报警警察追回了，警察告诉他还好进的是假股票群，如果买的真股票就真的追不回来了
1698044095# #想在拼多多买个马里奥惊奇，香港发货但是香港不能收货二哈
1689077976# #香港便利店收银员的薪资参考，CircleK算是香港第二大的连锁便利店。
1693652269# #想吃黄桃，买不到
1693571008# #挂十号风球了，窝家里看电视吧
1698212254# #除夕不放假果然出油率最高的作物还是酪白杏允悲
1697974627# #愣住
1701580531# #推荐这期
1687787986# #哈哈哈
1692248242# #为什么国内的独立开发者做不起来？
1703157251# #有意思的事，知乎上一个问题“为什么中国的公厕那么臭”，2018年的答案（图2）和2023年的答案（图3）有很大不同。
1693755043# #花轿喜事真好看，看到第12集了
