1692504872# #怎么会有这么多250？
1692745603# #山航飞机狗狗祟祟出发了没坐过，期待能坐一次
1687090839# #专家称月入3000就算中等收入群体漂亮国国会是不是听了这位教授的建议才把中国认定为发达国家的啊？这是在给美帝递刀子么？嘻嘻嘻嘻
1693485484# #蔡老板被封号发现个有意思的事情，蔡老板的账号全网被封，包括其微博账号也未能幸免，而且这事还一直能挂在微博热搜上…。说明一个问题，即这事在官方而言是一件政治正确，响应政策的事情。这背后有可能是被蔡老板长期批评的那些豪华品牌、进口电动品牌，那些在华外国车企，合资车企告
1689466926# #吃凉皮中毒身亡当事人家属发声米酵菌酸是发酵玉米面制品，等会儿，还有用玉米面做凉皮的？不是只有面粉和米为原材料吗？种类这么丰富吗？
1692236584# #发布了头条文章：《顶级学霸联手深蓝&amp;华为引爆智能未来》
1692312031# #衡水中学校长称已注意到网红要打衡中不要觉得这个网红是个250，其实相当精明，精准聚焦了网络舆论的矛盾冲突焦点，拿捏了网民的心理，给冲突火上浇油，而且政治正确，收割流量，盆满钵满。
1698907149# #理想汽车最大的短板是老板，第二大短板是产品力。
1689727401# #郑州官方通报领导斥责记者事件注意到一个细节，破口大骂的是郑州市教育局的一个处长，被骂的是河南报业集团所属的顶端新闻，然后处长道歉了。。虽然说现在媒体的地位不如从前，但是市局处长骂省级党报集团的记者，这事的确够这处长喝一壶的嘻嘻，不道歉不行的，你看郑州的市级媒体就没有报道。
1687485496# #宝马和有关部门签了合作意向，冰激淋也没人记得了，那些让车主头疼的烂事还在继续，除了第一件事很重要，其他不重要，继续在这里疯狂割韭菜，甚至胜于过去，宝马车主自求多福吧。
1687872143# #你在哪个段位？到处播种是什么意思？播什么种子？种庄稼吗？
1697075566# #斯柯达正在讨论是否退出中国市场前两天和车企的朋友聊，斯柯达还算好的，比如英菲尼迪、DS啥的，在华市场都岌岌可危，还有标致和雪铁龙怎么弄？日系三强虽然盘子大，但是受到的冲击不小，大众暂时还没啥问题。
1691220367# #比亚迪宋L量产版预告图
1687047606# #西工大一班级全员34人参与重大科研我一高中同学，考入西工大某敏感专业，研究生毕业后就失联了，据说工作十几年只回来过一次。
1691284649# #山东地震不是京沪高铁所有班次受到影响？
1687257434# #重庆一高校本科毕业生发5篇SCI现在信息碎片化真是稀碎到粉末状态，搜遍全网也没看到一条完整的新闻报道，这个学神是什么专业的，大致的研究方向是什么，去哪里读博，啥都不知道。看来现在媒体真是做不做新闻无所谓了……
1687999860# #“小”字确实不好，对于品牌塑造来说太减气势了，大鹏也不好，太普通，叫鲲鹏还稍微好一点，但和奇瑞的鲲鹏技术重名了。蔚来这个名字起的相当成功，时尚，眼光，清新，符合中产阶层的格调。
1693792148# #茅台瑞幸酱香拿铁怎么朋友圈都在发这个？很好喝么？
1692283318# #李玟生前控诉中国好声音录音曝光《中国好声音》的黑幕，我几年前就听说过，入围、名次都是明码标价的，据说最高可以达到7位数，什么音乐，什么艺术，都被当做幌子，观众是被利用的工具，本质都是不可思议的金钱游戏。关停吧，一档节目过了黄金期，本就该及时完结。
1687735551# #张雪峰因过度劳累被强制住院我再理一下对张雪峰一事的观点：。1、对于新闻传播类专业，注意我说的新闻传播类，包括新闻学、广播电视新闻学、广播电视编导等专业，确实不提倡报考，尤其是普通人家的孩子报考。。2、但是这个大类有两个专业是可以考虑的：广告学、公共关系学。广告学是实打实的服务业，
1690377360# #发布了头条文章：《“难上加难”双面侧柱碰试验比亚迪CTB技术挑战成功》
1702424376# #哈哈哈哈，还是齐泽克牛逼，用南京话来形容，齐泽克是个槽子哈哈哈哈哈哈
1694498406# #发布了头条文章：《比亚迪上半年新车销量首进全球前10》
1687430497# #银川预计今晚8点召开爆炸事故新闻发布会这事有可能对已经到来的，全国夏日夜市经济产生一点影响，但检查监督是好事，疫情之后的第一个夏日，希望大家安全，开心。
1692336734# #所以，说视觉中国是流氓不算侮辱这家企业吧？
1693876449# #发布了头条文章：《比亚迪亮相德国慕尼黑车展海豹正式在欧洲上市》
1698222537# #广汽三菱，再见！
1698653670# #发布了头条文章：《标刷新行业速度！长安启源A07/A05全面开启上市交付》
1695885143# #我的汽车机器人Z6。红与黑的高级感。星钻黑凌厉闪耀。跃动红质感卓然。长安欧尚Z6智酷型。鲸彩上市潮流来袭！
1687423297# #目击者称烧烤店楼梯炸没了难以逃生有人问，煤气之前已经泄露1个多小时了，食客闻到了怎么还不逃生？1、可能只有厨房操作间能闻到，而且用餐区域食物的气味、酒和饮料的气味可能盖住了煤气味，食客不一定能闻到；2、就算食客闻到，可能不以为然，认为厨房有煤气味很正常，最多提醒一下店员，但工作人
1690809926# #发布了头条文章：《售价13.58万-15.98万，鉴证宋ProDM-i冠军版“燃油SUV颠覆者”实力》
1687040057# #秦岚44岁身材管理我的女神呀
1687333899# #中国夫妇日本旅游抓683只寄居蟹被捕二人坚称是为了食用才捕捉大量寄居蟹，哈哈哈哈，国人对于吃的信仰真是高于天啊！如果不说这句是不是罪罚还轻一点？
1695274512# #蔚来出手机了，比亚迪会出手机吗？
1689650470# #看了一下中国传媒大学在江苏的投档线，615，所以，你真的以为张网红的一句胡喷就把新闻传播类专业干没了？就招不到学生了？真是不知道天高地厚啊！
1691200852# #女孩租房开2小时空调用完100元电费如果有人说他家夏天空调电费为0，你相信吗？
1687495312# #张雪峰的求生欲我有个朋友说，不要听张雪峰的，填志愿根据自身兴趣和家庭具体情况最重要。
1687387684# #看了评论才明白什么意思，李想的160万台目标，准备让二手车市场帮忙“解决”多少？
1697932325# #他叫列斯赫勃戈叶普
1697326930# #第一次见到钓鱼博主
1687909710# #“如果我还没退休，现在你就在牢里了”？这么牛逼吗？查查此人的身份，然后让纪委倒查他20年，看看能不能让他进牢里！有些牛逼不是随便可以吹的。
1689461569# #抓知了卖260元一斤10天赚万元这玩意儿能吃？没有寄生虫病菌啥的吗？不觉得恶心吗？这片土地上，人的口腹之欲真是越发不可思议……
1691393868# #台风卡努大转弯或将登陆我国现在的台风“都钟情于”东北和华北吗？好像这是从来没有过的情况吧？有没有专业人士聊聊这是怎么回事？
1687293589# #南京已经没有大厂了途牛更不值一提了，虽然属于纯互联网企业，但经历了危机和疫情之后还能活着，已经是造化了。
1687343413# #四川大学称张某保研不违规相信组织的调查结论，坐等胡锡进老师放礼花嘻嘻嘻嘻嘻嘻
1691745675# #人家都给你台阶下了，你还不就坡下驴……
1687039150# #一颗老鼠头为何要省级调查组才能查清其实各单位尤其是学校的食堂不管是否社会化运营，背后都存在着惊人的利益链条，而且不被关注。希望鼠头鸭脖一事成为切入口，整顿一下全国的学校食堂产业链。
1687683196# #微博跟我玩玄学，死活就是不承认给我限流，要我把阅读量截图给你们看么？后面的阅读量异常降低你们怎么解释？
1689549989# #理想是一家非常可怕的企业，这里的可怕不是说它的奋进非常可怕，而是各种对媒体、对用户等等方面的计谋相当可怕。
1694665455# #霍启刚履新“霍启刚同志”这个叫法没有任何问题，也不看看霍家的历史，看看霍英东曾经的最高职务，妥妥的自己人啊，所有商人中，霍家是最红的自己人，无出其右者。
1692661493# #这次舆论未必能搞定《中国好声音》。许多人都知道，好声音的制作方灿星，其背后是华人文化，去查一下这家集团的大股东们都是哪里神仙，再看看华文的大老板是谁，什么履历。这事也就是一波风头，最多把几个人切割出去，然后节目照样做。问题是，这次风波之后，这节目还有人看不？
1695302155# #哈哈哈哈哈，前几天全网鸡血打的要高血压了吧？
1687129803# #新闻媒体里大部分人都不是学新闻传播出身的？是的。以我同事为例，有学社会学、地质勘察工程、戏剧、软件工程、美术等等专业，我认识的媒体同行中，更是学什么的都有。。以汽车条线为例，不论是机构媒体人还是自媒体人，各种专业出身都有，其中有些是车辆工程科班出身，甚至在主机厂做过工程师，那么在
1691239322# #蔚来宁愿赔双倍定金也不卖车给这家自媒体
1696733133# #这位老师说的没错但太理想化。如果你是南阳的地方媒体，上面不授意，你敢公开说活动安保等各种服务不到位吗？敢说各种问题吗？央媒可以说，但是当地媒体不便说，那他们能说什么？就只能打打情感牌了啊。不过对于那篇奔放的公告，实在是比盗窃案更糟糕的败笔，这不是真切，是再一次毁当地的形象。
1690242900# #最近比较忙，才关注到理想汽车起诉理想贴膜店小老板，要求赔偿120万一事。理想能干出这事，我丝毫不觉得奇怪，他干出任何事情我都不觉得奇怪，他不是一个正常的资本家，需要被监护。
1687357411# #冲进球场拥抱梅西小伙拘留期满获释批评教育一下就行了嘛，小孩嘛，狂热、洒脱，表现欲望强，可以理解。
1692276055# #发布了头条文章：《方程豹品牌及DMO技术平台正式发布，“583”硬派家族同步亮相》
1702431800# #懂车帝现在在主机厂面前已然是甲方了
1687144156# #厦大新闻学教授谈张雪峰言论新闻学专业真的是天坑专业吗如果今年真的有考生本来打算报新闻传播专业，结果听了张网红的话，改变主意了，那也确实不适合读新闻专业，因为这个专业需要坚定且热爱的人。。而且，个人觉得今年各院校的新闻传播类专业分数线并不会受影响，网红的话能起到反向宣传的作用，
1691646137# #被摁在了宝安机场，已经在飞机上坐了3个小时了，啥时候能起飞啊……
1687569742# #今天还在限流，麻烦夹总安排处理一下，还有你们的人工客服热线没法转接了？
1697073054# #发布了头条文章：《比亚迪海豹右舵版在泰国上市首日订单破千》
1688075796# #官方回应山西代县瞒报17名矿工死亡昨晚新闻圈百感交集，因为这篇调查报道，因为久违的调查报道，追寻真相，匡扶正义，推动社会和时代进步，这是新闻工作真正的价值所在。张雪峰不懂这些，那些人云亦云跟着起哄的人也不懂，这是新闻业对他们最好的反击，虽然他们可能都看不懂这样的反击。。昨晚许多资
1692337133# #最难喝饮料排行榜有些品牌飘散着烟熏味的酸梅汤，你们能忍？
1696065687# #发布了头条文章：《蔚来汽车携NIOPhone亮相2023南京国际车展》
1693703867# #昨天跟一个亲戚家的小孩聊天，她今年从某高校西班牙语专业毕业，因为在大学期间通过了司法考试，去了一家大型企业从事法务工作。。她的这个就业情况，在同学当中算是非常好了，读研的、考上公务员和事业编的、进入各类企业的、出国深造的，加起来不超过15人，还有一大半没找到工作，基本在家准备考研考
1687931026# #这么一说，启发了我，我最近微博被限流是不是跟“微博顶流车企”有关系啊？不然实在解释不通啊
1700459022# #不严谨，江苏盐城水开肯定100度
1691272219# #山东地震南京许多人有震感，但我是刚才打开朋友圈才有震感……震感这东西因人而异吧？
1699597590# #完美车身比例。功能设计的流畅型面。智慧光学的科技豪华。极氪007来了。11月17日10:00，广州车展预售发布。极氪007来了
1691159312# #这个戏曲版的好听哎
1691157424# #中国好声音赶着下班啊有没有可能让刀郎来做评委？最好让刀郎和那英同台做评委，以《罗刹海市》开场，现场民乐伴奏，炸裂否？
1687686611# #初中物理老师有一段时间经常提到三个字：捉利落，知道他在说什么吗？
1687848212# #手博士说了我想说的，网上一边倒力挺张雪峰的人，也真没多少拎得清的。只是拿司马夹头和胡老师来举新闻专业的例子，真是狗血撒了一地笑cry笑cry笑cry如果今年真的报新闻专业的人很少，那么还坚持选新闻的人，或许真的是这个行业需要的人。
1689430267# #只要理想这个品牌存在一天，我的批判就不会停止，原因不要问我，问他们自己。
1696158326# #十万深蓝，同行有你。深蓝汽车9月交付达成17370辆！。S7上市2个月连续交付破万。双车并进，共驭新程。深蓝汽车
1689991521# #探店试驾刚刚上市的全球首款智能豪华猎跑SUV腾势N7！南京腾势汽车腾势n7腾势n7豪华猎跑suv试驾腾势n7初体验
1703839826# #昨天小米汽车技术发布会结束后，似乎媒体和公众舆论并不较好，概括一下就是小米汽车的技术全是“锦上添花”、“旗鼓相当”而没有“独树一帜”，也就是说他没有独家的，真正形成壁垒的创新技术，例如800V高压电池和被高度期待的智能驾驶技术，只能说和友商们旗鼓相当。其实这非常正常，造手机的企业转而
1694944842# #李佳琦致歉专场哈哈哈哈哈，笑死我了，你想怼就怼，想道歉就道歉，你是在说相声呢？富豪同志，赶紧歇菜拉倒吧，你还缺钱不成？
1687931829# #我说的是刚刚上市的深蓝S7增程版
1697447306# #微博上可以解决地球上的一切问题，包括巴以冲突，俄乌战争……
1691632360# #比亚迪心说，你跟我撕破脸没关系，我反手一波八星级请客～～这你让魏老板怎么弄？只能当做没看见……
1687267498# #南京已经没有大厂了有啊，南京有扬子石化、金陵石化、南钢、南化、梅山钢铁等等特别大的厂嘻嘻嘻嘻嘻嘻。作为地名的大厂也还有，现在叫江北新区大厂街道！说没有的人是在造谣！喵喵
1691710491# #总债务从1.97万亿降到1.83万亿，许老板风轻云淡啊……
1702104889# #居然还有房地产骗子说现在房价在谷底，要买赶快买。现在这经济形势，加上人口红利的结束，你会买房么？未来房价，每一天都是前一天的谷底。
1692781255# #央媒称并非所有人都适合体制内工作这句话本身并非没有道理，但是在这样的经济和就业大环境下，说这样的话未免有点不太合时宜。
1687401969# #银川烧烤店爆炸事故31人经抢救无效死亡这大过节的……使用液化气的小吃店、路边摊、烧烤店之类，我看到一般都躲得远远的，安全隐患太大。
1695262754# #欢迎大家一起来把增程赛道做大做强，但，不是所有的增程都叫超级增程！深蓝汽车深蓝S7超级增程中国行不是所有增程都叫超级增程
1690591226# #杜苏芮将从江西移入安徽差不多该结束了吧？南京没雨了
1702021155# #车圈江湖的这些恩怨情仇，让汽车媒体人们很难办啊笑cry笑cry笑cry
1696375598# #现在BBA都难成什么样了，据我了解到的最新情况，许多地方，宝马X3最便宜的33个多就能落地，注意，是落地，不是裸车价。
1687058079# #近日，调研君试驾了深蓝S7，其定位为20万级超感驾趣电动SUV，它的高颜值、纯电驱动、高配置、长续航、低能耗颇为令人惊艳。
1690333382# #网友说的好：1、怕滑跌倒？那下雨天不让坐地铁了？2、飞机上都可以吃喝而地铁上却不让？3、学习西方先进的理念？别的没学到，限制人身权利学到手了？
1696913622# #发布了头条文章：《全域订单破万！中大型高级数智行政车长安启源A07“四真”的硬核实力》
1688000078# #小米汽车情况不一样，因为小米手机已经已经具备了顶流的品牌价值，品牌积淀，所以名字没问题。
1687149431# #还有必要学手动挡汽车吗已经是新能源时代了，对于驾车人而言，哪还有档位的概念，手动挡汽车和BP机、小灵通一样，是产业产品发展过程中特定阶段的产物，会成为越发稀罕的东西，如果你不是玩车的发烧友，学个C2足够用了。
1687583360# #如果说胡锡进老师一个人就是队伍，一个人就是一家央媒的宣传能力，一个人就抵得上几家大媒体的影响力，不夸张吧？。那么，顺理成章的事情就来了，胡老师退休后，有司把他当做的一个“独立团”、一支“特种兵大队”，那么很多事情就可以解释了。甚至可能在他退休前，就已经附加了这样的定位了。。你看，现
1695363316# #“我就是要报新闻学！”为这些同学打call！
1688002560# #世界新汽车技术合作生态展从这里起航，昆山CES汇聚年度汽车新技术新产品，照亮主零新合作新生态建设未来。。第八届铃轩奖从这里正式启动，发掘和绘制中国汽车供应链竞争力地图的脚步耕耘不辍，汽车零部件企业评奖评优，精进不休，竿头日上。
1688099928# #汽车行业的新车或者品牌的全国发布会很少在南京举办，今晚深蓝品牌战略发布会。暨S7大规模交付启动仪式在宁开启，为什么会选择南京？因为深蓝是南京的地产车，本地产新能源车，这是南京新能源汽车产业的重要增长点。而且S7将会是洗牌增程车型市场的重磅车型，期待！
1699783851# #在江苏考上海理工，属于高难度动作
1690023536# #GTShow百度了一下才知道GTShow国际改装展这个活动，也能理解改装车文化和各种玩车的行为，但是在大街上而且是在交警面前玩漂移、炸街、瞎开导致出事故的，不是脑子有问题就是法盲，或者嫌自己活得长。因为这些二百五，主办方和地方政府会承受巨大的舆论和被问责压力，那后果是什么，就是这类活动永
1687235423# #这些学生都不应该学新闻，我觉得新闻传播类高考招生的时候应该面试，只招那些真正想做新闻、做内容的苗子。
1687388031# #科目二我考了负725分有没有科目二考5次没过的？我听说了好几个这样的人二哈。还有网友提出了一个好问题：如果真到了L5时代，还需要考驾照吗？我不知道。你觉得呢？
1686972893# #林志玲泳装她不是退出演艺圈了么？这是现在的还是以前？
1690377644# #近期，国内汽车安全类测试栏目TOPSafety为验证CTB技术对电动车安全性的意义，选择了比亚迪海豹进行了一次新能源汽车双面侧柱碰试验。该试验通过模拟真实严苛的场景，来测试新能源汽车叠加两次侧柱碰后整车的被动安全性以及电池安全性。。搭载CTB电池车身一体化技术的比亚迪海豹在TOPSafety双面侧柱碰
1690411294# #蔚来和奔驰？真的吗？哈哈哈！期待！捶死理想！
1702279605# #我觉得可怕的不是张雪峰这些奇葩极端言论，而是全网追捧他的反智生态……
1691580902# #什么叫格局？这就是！。中国汽车，在一起！。比亚迪第500万辆新能源汽车下线
1693470699# #蔡老板被封号，说真话的人就这下场……
1689479192# #因为一个发夹被同事说不吉利看了图，确实有点……有些忌讳还是要讲究的，部分认知标签是不可更改的。
1692144125# #哈登震惊于中国卖货速度顶流网红小杨哥现在想请哪个名人到直播间带货就立马打电话摇人，请不请得到另说，但这份底气够足，哪来的底气和自信？。有人说是资本的力量，我觉得这是因素之一，不是全部，还有一点是网红和抖音带来的，已经异化的舆论场。什么叫异化的舆论场？10年前你会想到各路明星名人去
1692231446# #我相信比亚迪能超越宁德时代
1702194058# #这个不错
1703931755# #啊呀，早点知道的话，我在墨尔本时就去看看她啦
1692829543# #俄媒称普里戈任的私人飞机坠毁一如既往的手法，这也是克格勃出身的普京喜欢的方式。但问题是，如果厨子去漂亮国避难，会不会就能平安落地了？
1699076231# #转发微博
1690549042# #3.18万名应届生陆续入职比亚迪，硕博占比61.3%，研发人员占比80.8%。比亚迪会超越华为、特斯拉、苹果，成为全球最伟大的企业之一。
1687334821# #西南大学的这位大神本科期间发了5篇sci，下图为知乎上挖出来的他的论文，有没有大佬评价一下这位大牛的学术成果呀？
1689461918# #银行副行长旷工补贴家用被开除这和当年安徽那个副镇长开滴滴被处分有异曲同工之妙啊，他们的“体质”不适合体制内。
1694660861# #虽然我知道这样的造型设计是为了降低风阻，但是以我的审美而言，不得不说，理想MEGA实在是太丑了，像一块没烤好的面包。
1702423810# #资瓷！
1687343584# #中山大学录取通知书内有云南普洱茶有一年，南京大学的录取通知书是镶了金陵金箔的，大气华贵，正真金榜题名的感觉。
1692662453# #噢
1688107381# #卖菜大爷挣21元被罚款11万元查农药超标残留没有错，但这样查真的有用吗？这是不是僵化且不完善的机制？有没有更合理的机制？
