1700519487# #开了三年还无法收本，那一定会倒闭！
1696962517# #1947年联合国通过181号决议，虽然有些不公平（将该地区三分之二的领土划给了占该地区总人口三分之一的以色列；将该地区三分之一的领土划给了占该地区总人口三分之二的巴勒斯坦），但毕竟是解决问题的办法并获得多数票通过。这一决议对以色列有利，因此以色列同意这一决议，迅速建国，而巴勒斯坦则强烈
1702457872# #我发表了头条文章:《现代诗歌名篇欣赏：阮章竟的《漳河水》节选》
1702683792# #1952年2月1日，毛主席亲自起草了关于部队集体转业的命令。全文如下：“中国人民解放军已胜利地完成了解放中国大陆的伟大事业，中国人民志愿军与朝鲜人民军并肩作战，挫败了美帝国主义的侵略计划，把它从鸭绿江边，打回到三八线。抗美援朝、土地改革、镇压反革命三大革命运动取得了伟大的胜利。物价保持
1688768320# #1938年“慕尼黑阴谋”四国签字的真实历史影像。。慕尼黑阴谋是指二战之前，英、法两国为避免战争爆发，签订《慕尼黑协定》，牺牲捷克斯洛伐克的苏台德区的一项绥靖政策。。1938年9月，英、法、德、意四国首脑张伯伦、达拉第、希特勒、墨索里尼、齐亚诺在慕尼黑举行会议，在没有捷克斯洛伐克代表参加的情
1698400522# #哈马斯访问俄罗斯，与普京会谈。
1687777910# #好有爱
1694468389# #我发表了头条文章:《“永贞革新”的主将王叔文》
1693961129# #30年前轰动上海的大案:当众扒掉女子衣服并当众猥亵，主犯被判死缓。这是由邻里纠纷演变成的当时为震惊国人的大案！此案拿到今天来看，同样令人深思……。。此案被称作“5.29"流氓、妨碍公务案，这起骇人听闻的案件发生后，司法部门接到了全市人民的信件和电话，市民强烈要求依法从重从快惩处罪犯。6月
1695016405# #台湾老兵的忠告，该动手就动手，敬礼！
1694866736# #没有父亲那不忍心的放手，哪有孩子的成长。一千个不舍放手，一万个希望你强大，儿上马的那一刻，人生就此开始，一路向北…。
1691666910# #支持报警，还清白。
1694208241# #毛主席在赴重庆谈判前在政治局会议上的讲话。（一九四五年八月二十六日)。根据各地反映，党内一些同志因为我们不能进入大城市，何应钦不分配给我们受降缴械的地点，苏联红军不入关，情绪有些波动,需要安定一下。其实这一向我们已经有了很大的胜利，察热没有蒋介石的足迹，江淮、山东、河北、山西、绥远的
1701046696# #我发表了头条文章:《宋美龄身边随员口述:一个真实的宋美龄（22）》
1698104755# #郑律成是朝鲜人，写下了两个国家的军歌，中国人民解放军军歌就是他创作的，1950年，他加入了中国国籍。
1700653355# #朝鲜“镇国重器”洲际导弹发射全过程。
1690506702# #朝鲜高调纪念停战70周年，牵动美韩敏感神经。
1694311879# #我发表了头条文章:《深受武则天器重的宰相狄仁傑》
1693802920# #我发表了头条文章:《与宦官集团做坚决斗争的李固》
1703165471# #哈哈，这个暖冬！
1691074664# #洪水如猛兽
1690451365# #绍伊古递交普京亲笔信。
1688179406# #1947年底，人民解放战争进入战略进攻阶段，中共中央在陕北米脂县杨家沟召开扩大会议（即十二月会议）,毛泽东同志在会上作了《目前形势和我们的任务》的报告，毛泽东同志严肃地告诫全党："现在敌人已经彻底孤立了，但是敌人的孤立并不就等于我们的胜利。我们如果在政策上犯了错误，还是不能取得胜利。具
1693919163# #灯塔国，看了以后更爱我自己的国！
1690796915# #私闯生命禁区罗布泊，有4人不幸遇难。请敬畏大自然，遵循提示标志，生命诚可贵，有钱别任性。
1696841907# #毛主席晚年重上井冈山的珍贵历史影像。井冈山是毛主席心中永远挥之不去的映像，那里有他从事革命的痕迹，有他出生入死的战友，有他对革命胜利的信心。
1695462057# #叙利亚总统夫人与游客鼓动，夸赞说：“你们有一个美丽的国家”。这话说的，我差点掉下眼泪来，是的，我们有一个美丽的国家赞
1688780660# #蚂蚁集团为啥事被罚？
1701007234# #我发表了头条文章:《身残志坚的罗斯福（25）》
1688797950# #1938年，八路军领导人开会的真实历史影像。太珍贵了！极其珍贵！。摄影师伊文斯本来是要去拍摄八路军英勇作战的场面的，但遭到国民党的跟踪和监视，未能成行。后经辗转，留下了这个极其珍贵的历史资料！
1700302627# #沈阳的这个办法是不是就是为了防止“蹭暖”的？多亏没通过！
1687227959# #布林肯访华记者会。
1693519370# #被新疆交警狠狠地帅到了！我大新疆，山美，水美，人美。地儿广（相当于16个浙江），羊儿肥，天儿蓝，牛儿壮。还要感谢左宗棠当年据理力争收复大新疆，击毙阿古柏，依着李鸿章，差点就让阿古柏独立了…。
1688576500# #李玟因婚变饱受抑郁症困扰而轻生…🙏。我国抑郁症患者女性约占65%，67%的抑郁症患者超过35岁。李玟12年婚姻无儿无女，但有两个继女。李玟患病后一直由两个姐姐照顾，据港媒报道，李玟不幸轻生后，其遗产由两个姐姐打理。
1698480088# #我发表了头条文章:《身残志坚的罗斯福（9）》
1695534875# #印度三名来自所谓"阿鲁纳恰尔邦"的运动员被拒签，为了体现体育运动的公平性，我们还是给发放了另纸签证。但印度外交部却拒绝认可另纸签证。。从这件事，我们可以看出，中国即有捍卫领土主权的决心，也保障体育运动的公平。彰显大国风范。反观印度，为了私利不惜牺牲运动员的多年备战。
1701603399# #俄乌冲突要以美俄之间达成协议而结束。
1698659360# #傅莹，好久不见！这些年她去哪了？
1697458750# #1972年9月25日上午，时任日本首相田中角荣访华的真实历史影像。
1699927966# #叶剑英有6位妻子，这是第几位？
1690106981# #周总理与外宾谈建国15年来的经济建设，坦陈15年来做对了不少，但也做错了很多。还有许多不懂的地方，正在学。
1691474264# #为证清白，乐裕民要求公布李玟死亡的真正原因！
1695010548# #中俄战略安全磋商。
1699047937# #毛泽东于1964年1月30日同法国议会代表团的谈话，谈话内容是阐述中法之间的共同点。。。“欢迎你们。我们做个朋友，做个好朋友。你们不是共产党，我也不是你们的党;我们反对资本主义，你们也许反对共产主义。但是，还是可以合作。在我们之间有两个根本的共同点:第一，反对大国欺侮我们。就是说，不许世
1694128162# #明天是9月9日，他走了47年了。这47年祖国发生了翻天覆地的变化，变的更强大了，这也是他一生所愿！深深的敬仰他！深深的怀念他！毛主席！
1698878322# #重庆谈判期间，蒋介石想让毛泽东当个省长，毛泽东淡定地问：“那委员长是想让我去哪个省当省长？”蒋回答：“新疆”。毛泽东听完后哈哈大笑：这么多年过去了，委员长似乎并没有什么长进。
1693575569# #蒋万安的曾祖父是蒋介石，祖父是蒋经国，祖母是章亚若。。当年，蒋经国与蒋方良生下长子蒋孝文后被派到赣南担任行政专员，负责整顿吏治民风（也有说是负责11个县的抗日工作）。当时很多青年都很想效力于蒋经国的麾下。。此时，大家闺秀的章亚若（刚刚做寡妇不久），正在找工作，她毛遂自荐写了一封文采飞
1688955010# #“敬礼娃娃”的远大理想！果然从小看大！
1695856562# #毛主席宣读人民英雄纪念碑碑文的珍贵历史声音。牢记历史，缅怀先烈，艰苦朴素，不骄不躁，继续革命，勇往直前。
1700257949# #总理脱衣，工作人员都没反应过来，但尼克松反应过来了。
1687693028# #中国军队的组织架构始终是全球独一无二的存在！
1702464927# #毛主席走遍祖国大地。
1688964215# #看医院挣钱纷纷建医院，可别像遍地大药房似的啊允悲
1700260649# #布林肯摇头，拜登：明白了，不说了哈哈。哎，廉颇老矣！
1692487051# #谄佞奸诈的阴谋家哈麻（2）。。哈麻为人，一切以对己"有用"为原则，谁若对已"有用",他就极力谄媚巴结，一旦对己"无用"，便一脚踢开。他对待脱脱的态度就是这样，。。在脱脱没有当上中书右丞相之前，他曾以为脱脱对他"无用"，也想谋害脱脱，后来，他看到脱脱当上了中书右丞相，声望日高，以为脱脱对他升官发
1697087875# #我发表了头条文章:《身残志坚的罗斯福（6）》
1703850854# #本来就不应该组织这种活动！
1698799626# #俄乌打的好好的，没想到半路杀出个程咬金允悲允悲允悲
1696147560# #中国男双极限对拉，现场炸了。
1688293098# #特里尔眼中的毛泽东（45）。。1953-1954年《真理报》出现惊人的态度转变，甚至称毛泽东是"伟大的马克思主义理论家"。赫鲁晓夫愿意到北京来﹣﹣他第一次的亚洲之行﹣似乎是又一个好的迹象。。峰会的具体结果大部分对毛泽东有利。他得到了更多的贷款；收回了一直在苏联制下的两个东北港口，他不喜欢的俄中联
1692247717# #早该如此！不过，知错就改，为时不晚。
1692914791# #书写的不错…
1695903177# #朱老总的坐骑。
1696109549# #今天是国庆，来看看我们的开国领袖的家庭账单：毛主席每月工资404.8元，伙食费每天3元，房租、水电费等每月84元……。。“如果说我随便吃了、花了、用了、拿了，部长也可以，省长也可以，县长、村长都可以，这个国家就没法治理了上有所行，下必效之，作为党的主席，为了全党的廉政建设，我必须以身作则
1692759705# #哈哈哈哈，骗宰黄！赞哈哈
1695088870# #我发表了头条文章:《临危受命的丘吉尔（22）》
1694932449# #首见，志愿军首次入朝时着的朝鲜军装。
1704102941# #毛主席会见生物学家彭加木。。彭加木“案”绝对称得上是上世纪最大的悬案之一，国家甚至派出上千人参与搜索调查，竟然没能查明真相。。1980年6月17号，一位名叫彭加木的科学家在罗布泊沙漠的考察途中突然离队，从此杳无音讯。。让这一故事流传更广的，是接近半个世纪以来网上的诸多揣测。有人说，事发之后
1691885830# #沈醉回忆录战犯改造所见闻（39）。。不问其罪行大小，只要在公市中承认自己是凶手，并且吞吞吐吐地暗示出和中共有关，但又不能承认是共产党。这样不但可使全国人民皆知不是国民党干的，而且意味着是共产党所指使，更可避免中共方面要求参加审讯和反驳。所以，挑选的人要很适合条件，而一经"使用"过之后，
1688720609# #九一八不抵抗，面对国人的指责和唾骂，几十年后他仍然不服，不认账。
1687970236# #1968年，南京长江大桥竣工，它是长江上第一座由我国自行设计建造的双层式铁路、公路两用桥。当年，毛主席亲自来验收。他随口问了句：“这桥达到了战备水平没有？”许司令员立刻调集118辆坦克，间距50米，隆隆开过桥面。60万南京军民目睹这一壮观景象，欢呼跳跃。后来捷克听说此事，也用坦克检验鲁斯尔
1700517436# #他曾是我党第一任上海市委书记，为革命做出过重要贡献。1930年曾因“满洲破坏案”被日本人逮捕，后在东北王张学良的斡旋下被释放。1942年出任新四军政委，1945年重庆谈判期间被授予中将临时军衔，在党内有着很高的地位。1953年被调回北京工作，同年，联合高某结成高饶反党联盟，想搞事情，被中央识破后
1692839651# #1960年，当兵入伍时的雷锋。那时他的身高不足1.6米，部队不要他，可他坚决要去当兵，面对这个孤儿的请求，部队带走了他。当汽车兵，开解放大卡车，雷锋的身高也是一个问题，但他能克服困难，干的非常出色。
1699786320# #新闻主播文静在播报新闻时突发状况，牙掉了，但她从容应对的不错赞
1703975123# #1966年7月25日，毛泽东关于不要用“顶峰”、“最高指示”一类词语的批示。
1694396328# #无期徒刑！牢底坐穿！我们抓特务还是有二下子的！背叛国家，遗臭万年，祸害后代！
1695745405# #1975年起，毛主席病情越来越重，他身患多种疾病，连自主吃饭都做不到了，只好靠鼻饲管进食。这样下去不行啊，得让主席进食有营养的东西，怎么办呢？工作人员焦急万分。这时，毛主席的管家吴连登捧来了一个密封罐，这罐里装着燕窝。吴连登说：“试试吧”。工作人员谁也不敢接，因为主席是很反对吃补品的
1692163884# #明代首擅朝政的宦官王振（上）。。。。王振是明代第一个专擅朝政的宦官。他自阉入宫，以求威风显赫。先在宫中教太子（即英宗）读书认字，继而攫取司礼监之权。。。张太后和"三杨"年老病故以后，趁机专擅朝政。他为了扩大自己的势力、树立自己的权威，大力拉帮结伙，排斥异己，干尽了坏事。后来竟然在没有充
1698909555# #巴以双方伤亡惨烈！。以军正在向加沙城推进，试图将加沙城隔离成孤城。哈马斯武装人员与其展开了激烈的战斗！。在过去24小时内，以军占领了加沙地带北部的哈马斯军事据点，包括地下隧道、火箭弹发射阵地和武器弹药库等。身处加沙地带的居民处境愈发艰难。目前，加沙地带南部的主要道路已经全部被切断，以
1690021646# #真的假的？
1699317654# #今年是惠特拉姆访华50周年！。。“应中华人民共和国国务院总理周恩来的邀请，澳大利亚总理爱．高.惠特拉姆先生于一九七三年十月三十一日至十一月四日对中华人民共和国进行了正式访问。惠特拉姆表示，能访问中国并同中国领导人重叙旧谊感到高兴。惠特拉姆总理和夫人及随行人员在北京访问期间参观了工
1701644997# #毛岸英很朴素，一个月就2元的生活费。他衣服不多，也从不挑剔，也从不用父亲的钱。虽然父亲有稿费，但毛岸英从不管父亲要钱，甚至毛岸英花钱毛主席都是要过问的，所以，毛岸英花钱是很谨慎的，但买书主席还是支持的。。1946年，毛岸英在延安认识了烈士刘谦初的女儿刘思齐，这一年刘思齐16岁。到了1948年
1701385905# #今天是朱德诞辰136周年。。朱德，1886年12月1日出生于四川仪陇县一个佃农家庭。1909年考进云南陆军讲武堂，同年加入中山先生领导的同盟会。1911年10月在云南参加了辛亥革命武装起义，1915年12月参加了反对袁世凯复辟帝制的战争。1917年任滇军旅长，参加了反对北洋军阀段祺瑞的护法战争。1921年在十月革
1702590185# #晚清时期的异装癖。这样的人从古代就有，所以要多包容他们。
1700089315# #五十年代的中苏友好协会会员证，那时的辽宁省还叫辽东省。，
1697447599# #140多个国家和30多个国际组织的代表抵达北京！群雄荟萃！共商共建赞赞赞
1692480259# #毛主席一生酷爱读书，对于读书，他有着自己的见解。。儿媳邵华告诉毛主席，她的《中国通史》得了高分。但对此毛主席认为，这没有什么可值得高兴的，他认为分数高代表不了什么。他让邵华说一说刘邦，项羽兴衰的原因，虽然最后邵华说的有理有据，但却都是书本上的，没有她自己的见解。毛主席说：“你这是
1687492034# #这段经历，李红曾在一档节目中讲述过。
1691642589# #查查医疗界的大老虎！甭管什么家不家的！没好东西！
1696146877# #美国C17战略运输机紧急起飞过程曝光，5个人15分钟竟开走一架飞机✈️
1693255048# #腐败分子太多，封疆大吏不好选了。
1693349140# #我觉得王石这话说的没毛病！活太久，即使你不麻烦子女照顾，即使你不需要子女来养，即使你不占用子女的资源，但在精神上就已经拖累了儿女。而你占用了社会资源，如果你患了阿尔兹海默，或者老糊涂了，你又能为社会贡献什么智慧和经验？。我希望自己不要活太久，80多岁就挺好，人最终必须得离开，既然是
1698762236# #金灿荣教授：应对中美矛盾还想着韬光养晦不行了…。。
1690518943# #霞姐，霞姐，久违了
1696571652# #普京5日出席在索契举行的俄罗斯智库瓦尔代国际辩论会上发表讲话，信息量大。。普京表示：俄罗斯正在脱离日渐衰落的欧洲，增加在世界其他地区不断增长的市场上的存在。。普京说，二十年来，世界和俄罗斯都发生了巨变，各国应尊重世界文明多样性和发展模式多样化。每个国家都有权选择自己的发展道路，主张
1689758500# #外办主任王毅辛苦了，干了外长应该干的工作作揖
1690837145# #人民军队建军96年，让我们一起来纪念他们，包括那些军队的创始人、但后来并无军衔的、无私奉献的前辈们。
