1695915139# #再会2077，依旧风骚
1691833389# #宝箱怪，一个就够了。长这么大吃这么多水果，唯独李子我是看了又看，因为小时候吃到过有虫的……
1701836255# #是不是疯了
1700798995# #铁咕噜啊！btw这条视频播放量远高于完播率
1701173863# #前几天在将台碰到的
1690601059# #自前几天给我妈整好了手写输入法之后，我妈在家庭群发文字的频率大幅提升。她上次群里写字是一两年前吧，祝我生日快乐。
1692503495# #塔子姐很烦老中问本科但是哈佛日记，关注我你也可以尽数体现privilege，还不爱我的请关注我和全嘻嘻合剂2shot加大药量
1688784413# #哈哈哈哈哈不意外
1697697937# #是星野结衣捏春游家族
1695785417# #哈哈哈哈
1703418167# #菩萨
1691046240# #有个中通快递一直没到，一查原来京南转运中心在涿州……不着急悠着来吧今天看水位在退了
1692501042# #昨天白天一直在睡，梦里我睡在家里的床上，嘟嘟囔囔着爸爸问我怎么了，我说工作不顺身体不爽，他凑过来躺在旁边轻轻拍我，说没事的，就像小时候那样。。真是好梦啊，醒来又陷入自己怎么这么能睡的苦恼中，测了个血糖一切OK，昨晚五点悟了，晚上不睡白天了不得能睡吗？。昨晚又梦到了，梦到去楼下的商店
1695296982# #Seethesunset.。LudvigForssell/JennyPlant《BB'sTheme》
1690344255# #整顿职场的不是XX后，是底气
1690812604# #泪
1689267705# #连续俩月遇到车祸我以为我很倒霉了，没想到比惨也没比过委屈
1691925552# #把云装在瓶子里的工作进行到哪一步了
1702462229# #今日吵架
1688721172# #招商银行信用卡中心真的是锲而不舍连续三天来电话第三天我终于接了毕竟连续三天来电我还以为我账户被盗了呢一听还是推销分期真的很烦。
1692990077# #此刻是那英同志发表“妈的，最烦装逼的人”重要讲话12周年。
1694306887# #写出Qzone味
1700893958# #从源头掐断，联手390牵头做绿爸
1702020955# #虚假的光追：一尘不染的环境和大楼表面一体般平整的反射；。真实的光追：垃圾灰尘和各式各样的装不平。
1691949879# #令人欣慰，山炮不再执着于“打卡”“解锁隐藏菜单了”（指往咖啡里倒蚝油
1692086981# #创意挺好，落地挺尬
1702447977# #不会还有人没有去上海交通卡App里领取免费的赛博朋克卡片吧？。以及只有荒坂的公司卡可以花钱买永久的，这很公司微风
1703395569# #育碧这个UBISOFTCONNECT真的是狗屎一坨，每次关机的时候只要这软件没退，回头你再打开必让你重新登录。。登录二次验证好行，那个“这是信任的设备”我都快勾烂了，屁用不顶。然后天天给我发邮件哎呀你的账号在新IP地址登录了你看看我一看IP地址都没变啊憨货怒
1697692550# #…真是让人尴尬啊，对着镜子自己说自己都不会信的理由就得恩着头皮说泪
1691055204# #每次扫黄都有佩洛西
1702889854# #挨骂时想起笑话的我的内心
1693038100# #哈哈哈哈哈
1700825272# #微信输入法体验挺好，但让输入更快更准的本质还是有点欠缺，有些字拼音打不出来手写可以，有些词汇就是出不来，再次停用拜拜
1692474497# #00后整顿职场后，10后整顿老登笑cry
1692505122# #说到昨天白天睡觉，本来只想随便躺躺，就播放了1812，睡挺香直到炮声隆隆给我轰惊醒了悲伤把我哈坏了
1692863987# #微博最近挺无语的，刷微博刷到露骨的借贷广告，刷微博刷着刷着刷到可怜的小孩。
1700825173# #看到一些逆天言论比老登还老到一看昵称才二十多我只能说后生可畏
1698769584# #原来这几天北京空气这么稠啊，勾上芡就是泥。
1699448578# #云来自过去，树叶落向未来。
1689060750# #这个世界已不知不觉的空虚，Wo～不想你别去。
1699448681# #乐极生悲是好事数据溢出，因为没想到好事会到达这个程度。
1691162278# #图2就是我啊，409013900配好后猛打ns
1694860384# #船长：你小子！
1689225057# #孩子不喝水是因为水给少了，换大水杯
1691927378# #唉，美团
1700799148# #音量大是咕噜，手机音量到一格真的听见咪咪了，不同音量的频响曲线不同？你试试。也不是啊我操，同音量扬声器孔对耳朵对准点就咪咪了，放低些正视手机就是咕噜
1693222717# #静音车厢的意思是所有人都闭嘴，不是除了你周围的人都闭嘴，望周知。
1692104285# #最近突然想起老家有条路叫腐败路，觉得很好笑。可能除了住户都会这么叫，不知道别的城市没有没有腐败路，是哪个群体住在那里
1692893716# #最近的感受又鲜明起来了，可能是因为平静被打破了。。人脸识别分不清老去的儿子和年轻的父亲，音乐识别找不到忧伤的歌曲。。小岛秀夫六十大寿了，三十年后的基数不该成为门锁。
1691654543# #有些前小编现在是不是也不知道总之觉得自己是媒体老师了的媒体老师属于是编还没考上怎么腐败早已经想好了派头也拿足了花体签名也买好了配几个保镖和库克聊点什么也都想好了其实互动贼jb惨一半互动都是评论还有几条是用自己女朋友捧场的可是你情头忘了换了啊大兄弟泪
1692076115# #记着呢，剃头发的是甘肃的
1690711262# #最不能理解的小红书标题——“大厂Plog”
1690021305# #不是说没有境外势力，但有些账号脑子瓦特了跟应激反应似的就会复读境外势力
1692434736# #怎么不是直播切片了，卧草雨子亡命天涯
1690177070# #谁让你这么用OK的？
1691942068# #后面这么多种我……我吃顿饺子是不是就行了
1691299753# #这里边的人有一个算一个但凡谁以后敢指摘公共场合小孩烦人必不得house
1702805554# #李彦宏你想钱想疯了？
1689826633# #你哪个单位的怒
1689161674# #烧烤火的时候吃了两口站在旁边大喇叭喊烧烤致癌是不是有点扫兴，可你说这是你的表达
1694956249# #百万粉丝up对着gopro12的机翻log大声讲“他们起了个名字叫对数。”汗
1698893536# #评论区哈哈哈哈哈哈
1691935197# #地精往身上抹粪以防因为自己犯贱而被人顺着网线打——指往资料里写镇魂。
1701670013# #我去，薅了！
1696026027# #上次打到天亮还是tlous2，这次是勇闯狗镇，波兰蠢驴这次可以，很爽。
1691313929# #(╥╯^╰╥)。
1692015650# #笑死
1688567367# #🕯️。梦里，你在回家的路。
1703298806# #蜡烛
1704109152# #这么贵你以为你是老街称盘啊？
1691481807# #iOS测试版bug，耳机电量显示0，其实是满的。
1689175487# #我赌你的记忆里没有亚瑟士小丑
1700883308# #别太荒谬
1693712054# #哈哈哈哈哈哈哈
1696152646# #分享图片
1701048633# #哈哈哈哈哈哈以及评论区什么鬼……
1695089191# #你谁啊
1695229928# #刚才打开快手看了眼可能认识的人两眼一黑，改成“过去认识的人”/“不承认认识的人”毫无违和。
1703154613# #magic，妈的不知不觉唱完葡萄成熟时，可太冷了！！
1703404590# #来到南方，我理解了可以加热的鼠标，甚至想要一个可以加热的手柄吃馕
1688631505# #任天堂为你演示什么叫：你们都没有手机吗？
1689603896# #哪个网友？还会带tag呢
1703594979# #不知所谓汗
1689989322# #幼年蛋丁
1698407307# #怪了，最近没人提影调了doge
1689261933# #刷单这么不走心，让我怎么下单？
1701692793# #经琢磨决定，我给自己安了一个家长心理学专家的称号
1690657207# #当懂哥足够懂，就会进化成洞察仙人位列仙班供群友敬仰长生不老永远不死，funfact是他泄露的天机，独立思考成果是他吐露的有机肥料。
1690857961# #大约每10户美国家庭中就有1户没有空调，太水深火热了
1702823533# #首先，应该是“券”。其次，就5分钟3.9元，24小时9.9元的这么卖赶人去买19的SVIP月会员的消费心理学也叫横竖都不行啊？不洗地吧差评放着万一领导看见，洗了吧就嗯洗有时候都觉得自己赚的是窝囊费，里外都不是人咯
1699101819# #卧槽寒潮蓝色预警，要寄困
1691988338# #老有傻逼自诩行业先锋结果啥流行也不赶趟看个商业分析or赶上个商业合作一下开悟了反省自己不敏锐看好哔哩哔哩你也太傻逼了吧
1690030008# #小红书上离职发工卡的那个劲儿我以为是考上清华但是不去了呢
1693843308# #便利蜂：当年叫贵州风味咖啡终究还是含蓄了
1695134116# #爱走在路上听歌唱歌的人不要开“对话感知”，否则就会在唱歌的时候突然听到记得歌声怒“谁把原唱关了！”
1695986439# #存个档然后卸载，可惜忘了13900k坏之前跑一个，就是这个99.6%……有点刺眼
1695441428# #PS：我们有新功能啦！。点击生成：你用不了哈。
1692798379# #UI是越来越圆了，知道了知道了你要来岛了。
1693245460# #睡梦里迷迷瞪瞪，十分渴望一款酷炫的铅笔盒，把我唯一的一根笔装进去，为了这个笔盒甚至还想买几支笔。醒来没买是因为忘了，想起来没买是觉得真荒唐啊梦里。
1702888814# #传世经典
1700544593# #这三天连续看到了OpenAI的24、48、72小时阶段性总结。
1704028419# #跨年哔哩哔哩跨年晚会屏幕暗下来，陶喆的脸背后大大的“淘宝”俩字儿，堪比“金典”。
1690019394# #好逼真的假动作
1701614438# #loft初印象：上床下桌豪华版
1692126461# #瞎逛看到这么一个自行车头盔，出反甲是吧
1691135726# #微博今天又偷着上线新功能了，刷微博刷完了给列表里塞一堆我根本不想关注的博主
1700311901# #记第一次遇到华强北
1691550343# #一般看完了才夸“无尿点”，还没看就说无尿点，提前尿干净了？
1702192737# #发啊！怎么不发？
1691395754# #家长很热衷于发现每一个孩子的与众不同，哪怕是不爱看奥特曼。
1692443581# #冰块降温，辅以吹吹
1691822786# #一个路人都敢这么说话了么，人家大v的观点沉淀，不必你小透明牛逼？你的微博粉丝数有多大呢？开学季
1690861611# #若饭，若……饭了吗？“若饭”嘛！
1702143455# #帕南跟着IReallyWanttoStayAtYourHouse跳舞我都没反应过来，卧槽这任务名要是没翻译就好了。
1689779839# #卖号跑路了
1696520505# #我在这里跳舞了
1692087060# #@鸡老师的肉身
1691580636# #回家看到一个大妈骑着蓝牌京A踏板摩托突突突上了斜坡一路骑进了电梯上楼了……
1690872317# #好多景点都这么搞了，本来路上能看见，都建围墙不让看
1702542442# #我就是灵活的唯物主义战士
1693132902# #最近频繁的刷到婚博会的营销内容，什么夫妻俩没时间去一站式结婚了。怎么说呢，我感觉看到人在bp机套展销会上买bp机可能更真实点。
1704195693# #转发微博
1699505071# #微博连读
1688407894# #分享图片
1691657291# #紧跟时事
1698148089# #游戏里不觉得，现实中见到这个蛛丝量禁不住去想蛛丝生成压缩率真高啊…以及还好改设定了，不然按照第一部电影这个量蜘蛛侠的把自己射干开学季
1699503047# #杭州地铁的凳子挺好
1692416497# #女的用对了“地”加分，男的一个标点符号没有扣大分怒
1701161699# #截图大定发朋友圈的要不要让我帮你at一下甲方啊困
1696392901# #哈
1703410048# #有时候觉得博主是挺难的，遇见杠精回嘴就是网暴拉黑就是人品果然不行！典麻了，让你少吃点盐你说那你意思盐有毒呗？
1695485144# #分享图片
1691290819# #昨天。
1697371697# #太生津止渴啦，杭州的夜，桂花，阿酸梅汤
1698135490# #真是受不了你们有些含糖饮料了，写个0脂我cnm。你咋不写薄盐少铅97号呢
1693297664# #严格落实六个不知道，压紧压实一个不清楚
1698241908# #传送门
1689389983# #纪念网站：
1700825789# #当年刮大学生钱那个叫什么来着？哦小贷啊
1693338749# #刚进入梦乡，会开了一半，同事说都清楚了吧！我说卧槽等等我还没清楚呢，转念一想随便吧反正都是自己的脑子编出来的，进而发现还没完全睡着，等再醒来肯定忘了，早上就会陷入昨晚梦里肯定要记得什么来着的苦恼中，于是睁开眼发微博。
1702824226# #号还挺多的，你说半天没说服我啊？不拉黑等什么疑问
1699550777# #你烟呢？
1698063197# #中国移动你何必呢
1701143468# #突然悟了，奇拉比和杀人蜂的关系，日式英语KillerBee啊😦
1700660450# #你讲也讲不听，听又听不懂，懂也不会做，你做又做不好，Siri。
1699295729# #看看我发现了什么！节奏大师！爷青回😭
1693451714# #一条plog告别八月
1692454347# #荷兰豆炒咩啊？
1690693253# #东北崔佛
1700976808# #啊？
1690610543# #看《雍正王朝》，朱婷婷啊不是乔引娣真好看啊，打开《东北一家人》。。老太太演技真好啊，哎有点像我妈。
1692240583# #其实不错的，之前修复的国产老动画效果可以
1700531097# #猫咖不够劲大，想去猴咖
1698924189# #赏霾地图来啦开学季
1697284825# #文化
1701062823# #shortcut确实好用
1693306174# #要更执着一些吗……。。你无须去陪我坚持。。如果今天的天气还是那么软。。你无须去陪我坚持。。如果明天的朋友还是那么硬。
1688457884# #小红书上分享字节工作相关内容打个“非审核”的tag有种北京本地博主报身份证前六位数的美感。
1690951403# #哈哈哈哈哈
1699279542# #新的新闻类型：萝卜刀新闻
