1688872125# #小荷才露尖尖角，早有蜻蜓飞上头。。酷暑盛夏暑难避，圣莲岛上赏荷去。
1687414835# #一年一端午，一岁一平安，愿自己在老去的路上还能活出年轻的模样。时光匆匆，我们温柔以待，聚散离合间，人群中熙熙攘攘的人匆匆来了又走，人生中的风景看过一季，又轮回一季，每一年每一天都像今天一样开心快乐，每一年每一季都活出精彩人生。祝自己生日快乐！
1689863508# #迎大运，保安全。在大学生运动会召开之际，为确保各行业安全，今日全省各相关部门文件频发，各级各部门紧盯安全生产这根限，层层压实责任、传导压力，将安全风险控制在可控范围内。。7月18、19日，遂宁市第一人民医院专门组织2023年度新入职员工和实习学生开展为期两天的安全生产岗前培训。
1689775692# #彩霞漫天，好运同在，照这个架势下去，不是要迈入富人的序列了允悲允悲
1692357626# #在第六届中国医师节来临之际，遂宁市第一人民医院于2023年8月18日下午在高新院区问心吧举行医院第二届十大名医颁奖活动，以此表彰各临床科室的医务人员在各自的医学领域做出的突出贡献
1690556295# #成都第31届世界大学生运动会开幕式每一个画面就是一个艺术。不信您细品你细看，给您的是美的震撼，给您的视觉享受，给您的是心灵的放松！您懂吗？艺术的魅力就在于感叹:让您舒心、让您哭、让您笑……
1699139553# #计划9天的假期自驾游，由于高反确实严重，所以提前返程，最后一站因同行车辆故障在八美等配件留住一宿，于11月3日正式开启返程模式，从八美镇经丹巴最后回到遂宁，总的还算顺利，路上的风景也很美，也许这次高原之行是最后一次，因确实无法承受高海拔对身体造成严重的高原反应，以后的旅程应该是低海拔
1698672286# #心心念念的跟着一起去看月亮湖，一路奔波舟车劳顿，呈现出来的月亮湖就是这样一番景色，远没有想象中的美好，如果航拍的话效果可能会更好一点。。月亮湖的行程：早上从康定县城出发，途径泸定下午到达月亮湖，这个地方适合下午拍摄，拍摄完出来居住在当地藏民家的简易“民俗”第二天早上还可以再拍摄一
1688863251# #7月8日、9日，遂宁一院全院组织护士长及以上的中层干部、院级领导和职能科室干部职工利用周末的两天时间开展公立医院规范管理与风险防范专题培训，此次培训在四川职业技术学院开讲。医院专门邀请华东疗养院财务处处长、大型医院巡查专家许晔教授授课。同时还邀请医联体兄弟单位的干部及院级领导受邀参
1697129536# #2023年10月12日下午，产科邀请到四川省妇幼保健院产科一病区护士长陈晓琴对我科进行“新生儿早期基本保健技术（EENC）”培训。EENC技术能有效改善新生儿生存状况，大大降低新生儿死亡率。未来我们将大力开展EENC技术，为广大孕产妇及新生儿保驾护航！
1689863874# #今日账单
1688653843# #初夏的涪江河畔，华灯初上，晚霞如约而至
1696253735# #国庆不出去旅游，一样的欣赏身边的风景，还减少了行车拥堵的烦恼
1701482604# #12月第一天的朋友圈里各种晒，我也晒一晒我们忙碌的保安大哥，哪儿有需要，他们都会第一时间出现在那里，这就是遂宁市第一人民医院的保安大哥，抢救生命的现场依然有他们高大的身影
1693720525# #上班忙忙碌碌不觉得什么特别的，可一闲下来就觉得浑身不舒服，没有了目标、没有了期盼、没有了方向，一周时间感觉比一年还漫长，以前总会有很多值得去努力奋斗，现在一切都感觉特别茫然，渡劫余生
1698581911# #行摄川西
1698884707# #高反、严重失眠，川西再美也了心情去欣赏，所以，川西不是你想来就可以来的，首先你得承受高反带来的影响，同时还要习惯吃住条件极差而给你带来的不舒服感。有时候想想，大家都去欣赏大自然的美景，是否忽略了身边的风景？每次出行都要拍摄大量的照片，回去之后电脑硬盘便是这些照片最好的归宿，看来是
1698840668# #在子梅垭口最近距离观看贡嘎雪山，以前看贡嘎雪山都是去牛背山，山高坡陡还无法开车上去，这次找了一个最近距离的观景平台———子梅垭口，并且还可以开车上到山顶，子梅垭口与贡嘎雪山直线距离只有几百米，是最佳的观景平台，上去的路虽然是碎石路，但还能安全开到山顶，只是4500米的海拔还有有点考验
