1700933996# #老人回忆当年大饥荒！
1703343120# #12月23日甘肃临夏县，一位司机发视频称，自己拉了一车价值62万的物资送到灾区抗震救灾，返程时车子在临夏县车辆被扣，理由是返程车不能配货……
1697552935# #红腹伊澳蛇，眼镜蛇科伊澳蛇属，澳洲常见的剧毒蛇，毒液中主要是肌肉毒和抗凝血毒素，它的致命性在澳洲不高，因为澳洲的毒蛇个个都是大佬doge。相当于国内短尾腹，原矛头的水平。
1694350959# #博主称遭景点区别对待感到屈辱“一千多人被要求给11个外国人让位置”“他们吃饭未到全场人跟着等演出襄阳文旅回应:正在核实处理
1689831598# #国企成家族企业了！
1693913316# #导致这么严重的事故，如果连认识错误的意识都没有，建议就不要驾驶机动车了
1697595776# #美国康涅狄格州，一女子持枪冲入警局向办公窗口开枪。事发后警方将女子送医进行精神评估。
1703641020# #南京某公司不发工资发积分。12月26日，公司负责人回应上游新闻：情况属实，等融资到位后按倍率补发工资，劳动部门称可举报。该公司行为你怎么看？
1703906887# #哈哈哈当大鹅发现自己落单了。你别闹了，它们是天鹅！它们属于天空，你属于铁锅……亿点曝光计划
1702833489# #领证16天后出车祸妻子向二婚丈夫索赔18万我要找律师【二婚夫妻领证16天后出车祸，妻子状告开车的丈夫索赔18万】近日，河南南阳市南召县人民法院发布了一则案例，马某和张某系二婚，两人领结婚证后第16天，张某载着马某去往马某租房处拉回马某所租赁房屋内电器返回途中发生交通事故。此事故经交警
1690980585# #7月31日，广东广州。中大九州广场，新旧管理人员因为抢地盘引起冲突，双方剑拔弩张，气氛紧张。最终没打起来，变成口水大战。。。
1697545624# #哈马斯成员被以色列国防军射杀画面曝光
1697770982# #终于抢到了一元一箱的矿泉水，大家看值吗……
1702792577# #今年的环境虽然不咋地，但是车还是要提的~允悲允悲
1690526708# #这也玩的太高级了！江山世袭罔替啊！
1693940537# #这才叫深耕！
1701409267# #这逼装的过份了！
1702465024# #这大车开的。骑车的不太好了……晕晕晕
1703333215# #当地教育局回应老师将学生打致脑震荡【父亲讲述儿子遭老师打致脑震荡：住院7天，花费2000多话筒】12月21日，网传广西梧州岑溪梨木中心小学老师将学生打伤。23日，学生家长回应，儿子13岁，上小学六年级。事发12月15日下午1点，当时儿子在宿舍用撑衣杆晾晒衣服，恰好几个同学在宿舍打架被监控拍到
1702980932# #乘客因甘肃地震原因列车晚点不满……这就跟飞机因为天气原因走不了差不多，都是非人为因素导致的，这都不能理解还埋怨完全是胡闹惯了挖鼻
1702824294# #文章90度鞠躬致谢观众，台下掌声雷动，观众本是很认可他的，只可惜他曾经做了那么不应该的事情。
1702691685# #看着都疼，还笑的那么开心，损友！怒怒
1702864715# #热搜热点:广州某大学，21岁学生发生猝死，最终宣告不治！家属找到学校，出现了视频中所描述的内容……
1690391648# #可怜的娃，什么都不懂，爬起来之后竟然还想让打他的人抱抱！
1701395065# #这要是被咬一口，肉都能撕下来一大块允悲
1701975038# #济南三轮车被追尾监控画面曝光。驾驶人送医抢救无效死亡
1692665856# #吕警官生活照VS工作照！
1694085386# #中华文化博大精深：历史同期高位！赞赞赞
1703288264# #西安一位大姐常年给上儿童医院看病的妈妈和孩子提供免费食宿，这比放生的功德可是大多了，这才是慈善赞真正的帮助到需要的人！
1701667463# #美军航母上的生活有多休闲当年珍珠港也是这么悠闲的，然后日本就偷袭了。
1693108398# #支持灾后重建。涿州农商银行推出“家园贷”
1697513295# #因工作人员工作疏忽，社会车辆误区赛道导致比赛结果有一些误差。现已对涉事人员批评教育。工作人员系零时工，已对其进行开除处理。为此我们深表遗憾，对该运动员表示歉意！。领导您看，这样处理还行不？
1696988934# #前后车为什么能保持几乎完整？还不是蓝鸟牺牲自己，把能量都吸收了doge
1703385979# #一女子棺材里睡觉？？这不害怕吗？
1702951191# #甘肃地震消防员救援突遇余震，屋外人大喊:出来快出来！紧急处理后成功救出2人甘肃地震
1694639728# #学生不续租空调工作人员来把空调拆了！
1702536732# #小车跟三轮车相撞，这是谁的责任？
1703425228# #得有多狂的人才会在车里放刀子，还能当着叔叔的面前踢人费解费解……元旦在里面跨年？
1703980879# #收到大货了……
1703859514# #衡阳市成章版科目三科目三亿点曝光计划
1703465689# #这是在瑞典的中国网友分享的视频，她吐槽瑞典没有高铁，352公里花了52小时，还各种晚点……
1697540520# #下手真狠，这涉嫌故意杀人了！
1701987594# #业主称物业晚10点醉酒上门收物业，“老婆孩子都被打孩子手筋断了2根”，物业：派出所在协调保安暂未上班！
1703154781# #当挖掘机不小心碰上高压线的瞬间！监控拍下全程！
1690725052# #真的很佩服那些有创新能力的人，并且付诸于行动！
1701487747# #跛脚女孩为50元来调监控，最后被老板娘一句话暖到了！我看到的不是50块钱，而是一颗无价的善良之心！
1691038884# #这小子一看就知道是个莆二代
1698321793# #八成群众喜迎油价上涨！
1693456373# #河北三姐妹举报父亲谋害母亲，“性侵女儿未遂，与亲侄女乱伦”。当地妇联:已介入公安正在调查，乡政府工作人员:举报内容存在失实情况
1703767073# #30岁妻子无法生育，丈夫婆婆把她赶出家门，最后后悔了！亿点曝光计划
1703844784# #12月27日，厄瓜多尔瓜亚基尔，男子用炸药勒索却炸死自己炸药在手里爆炸，鞋子从烟雾中飞出。(来源:新京报)监控下的一幕
1702164708# #任性闯红灯路都不带看的全责！
1698118701# #现在的加沙！
1701571928# #除非给它一枪麻醉，不然拿它没办法……
1703568438# #外卖小哥职业生涯的最后一单，只要报警指定是跑不掉的doge
1701770678# #出家人以慈悲为怀，大师们购买的并不是彩票而是一种爱的奉献。
1693260394# #8月25日，安徽阜阳。大量烟花在淮河边集中销毁，现场烟雾缭绕空中形成蘑菇云，场面颇为壮观。据知情者介绍：烟花大约烧了两个小时。对此有网友发出疑问：集中燃烧销毁产生的污染物质和个人放有什么区别？也有网友表示：集中销毁更安全。对此你怎么看？
1690981957# #游客在青岛旅游时遭到新型宰客。将船停在大海中间要求加钱“我也不逼你们你们自己看着办”
1702890032# #零下40℃的漠河出门穿衣流程坐标：黑龙江大兴安岭。零下40℃的漠河，出门穿衣流程……
1702614108# #火箭弹残骸击穿以色列超市天花板：靠近收银台，数百人躲进防空洞！
1702894356# #有这样的邻居确实难打交道，那几个水泥墩比扫雪这事还离谱，利己的不一定干，但损人的肯定干晕……
1700652675# #曼谷街头现多名中国籍毁容乞讨者有人开豪车拿护照来“要人”警方称或涉及人口贩卖
1690463282# #反赌反诈不要前往缅甸！
1693824177# #学校大门很气派，花费不少，难道就盖不起学生宿舍吗？
1690998086# #孩子不是他的，老婆一直出轨，钱都要上交，丈母娘也挤兑他，全赶在一起了doge感觉男人并不后悔！
1692661352# #哈萨克斯坦最后一座列宁纪念碑！
1693735760# #抓现场了吧！！
1702223630# #领导就要以身作则为中国好警察点赞！
1700880531# #很难想象这以前是条河。摊手摊手
1702960549# #【哇哈哈AD钙奶内喝出蘑菇】12月17日辽宁本溪，一男子称孩子喝娃哈哈AD钙奶时，发现瓶内有蘑菇，在联系厂家后，业务员表示需要医院开证明，证明是喝AD钙奶造成孩子肚子疼才能赔偿（来源：触电新闻）
1703289144# #村民后菜园被镇政府强拆，领导称“难登大雅之堂”社区：系误解，后期会统一规划……
1691041868# #西安一5个月大女婴因抽搐和意识障碍被送医竟发现女婴心脏扎进一根4厘米绣花针
1696821198# #这操作太危险了！
1692941619# #发现电风扇上盘着一条蛇……
1702217385# #派出所证实华夏银行天津分行行长坠楼。。有网民发消息称，9日上午。华夏银行天津分行行长1.1万。疑似坠楼身亡
1692971277# #现在的城管应该文明多了吧？
1690986308# #激情燃烧的岁月！
1700934864# #不理解，心里没13数，真的出了事才后悔，啥事都报侥幸心理
1697951382# #来自柬埔寨的声音
1703734354# #河北男子开车陷泥里被360度无死角围观，尬笑录视频晒社死瞬间，网友：哥们河里不让停车。亿点曝光计划
1702777172# #别致大视野的红包别致大视野在发红包哦，
1697199704# #京城有善口技者，狗出狂言允悲
1694611545# #9月13日，湖北襄阳，多名城管与男子发生争^执，遭到众人拳打脚踢当地城管局表示:这是街道办所属的城管，是独立的机构，不是市局所管！
1690838524# #这样的孩子不懂感恩的，只会变本加厉的压榨父母
1697764107# #以色列驻成都副总领事施赛玉控诉哈马斯暴行！
1700395032# #不怕磨破皮？
1697942014# #这样弄来弄去累不累呀？
1693009210# #大疆新玩法！
1703184241# #这是什么怪物…看着像哺乳动物，又是蛋生…
1703862405# #12月28日江苏，网友发视频称，一保安把外卖小哥的电动车锁了，导致人家小哥单送不了，超时。还不给人家把电动车解锁……
1697941038# #罕见老视频：蒋介石携妻巡视山西录像，阎锡山迎接，访孔祥熙老家，蒋有失仪态（高清修复版）
1694639877# #黑人男子街头辱骂一名乞丐并拳脚相加，被中国小伙一脚踹飞。网友:看着真得劲儿～
1700827539# #女子实名举报乡镇干部婚内出轨家暴“多次拿刀砍我与情妇逼我堕胎
1692933492# #所以吵架的时候不要随便用手指人
1693921772# #女的把脚放对面座位上，对面乘客不满她这样做，她竟然说别人应该买“专列”！费解
1703041638# #猪不一定能上树，但一定能上房！12月19日，广东乐昌。家猪跳上房顶，主人爬梯子上驱赶。
1703861220# #武汉同济医院调查“岳父举报医院干部婚内出轨”传闻热点追踪婚内出轨同济医院华中科技大学华中科技大学同济医学院……
1693485046# #又一个白眼狼！怒怒
1703326616# #它非要挤，我偏不让，结果安逸了……
1702292321# #这是世界上最大遮阳伞，既温控又能防水，展开瞬间遮住整个广场，温度能降低8℃，造价百亿，一把伞能买北上广一套房！
1690173896# #齐齐哈尔体育馆坍塌共致11人死亡，事故调查工作正在全面推进中！跟新浪看热点
1690946079# #谁家的孩子，这么有素质！
1690202660# #齐齐哈尔体育馆屋顶坍塌，救援仍在进行，持续喊话，不放弃！跟新浪看热点
1703342543# #小伙搭讪美女被怼没资格！
1701604923# #解克锋找回丢失25年的儿子大学室友说解清帅特别的阳光开朗看完视频，他真的是一个很有趣的人解清帅曾经发布的视频！
1702370599# #让你吹牛逼，45天拿证笑cry
1701905247# #男子发现公园路边“严丝合缝”井盖存在危险，视频告知周围群众小心误踩。
1697161310# #威力全面升级？哈马斯展示远程打击准备现场，大量火箭弹起竖蓄势待发，武器细节值得注意：弹体尺寸非常巨大近似于机载导弹
1701046994# #判得好，不過万一那老頭不肯賠錢怎麼辦？
1702464334# #新时代汉族！
1702974715# #12月18日哈尔滨冰雪大世界游客集体大喊退票，一边喊一边笑。工作人员：本来限票了，他们在那敲玻璃要玩，那景区就又开售了，排队一些项目没排到，就又要喊退票，还有一些三点多到的玩到七点五十多也跟着起哄喊退票……哈尔滨冰雪大世界
1691285129# #8月4日，浙江嘉兴。网友记录钱塘江涨潮瞬间，多名游.客冲到在地！
1698150486# #这就是战争带来的灾难。伤心
1693718978# #下一个热点城市会是衡阳吗！
1697683709# #小车弯道违停导致压弯的骑士接连追尾。衰
1703223457# #火车上因孩子踢座椅旅客起纠纷，男子一句“在东北老实点”使对方情绪直接升级
1690763207# #这都免费，难怪德国的医院亏损！
1700956556# #“四捆一”。一男子打牌输10万后投案自首。结果五男子全部被抓！没赌品！
1693887590# #宝马男乱停车，被怼后伸中指辱骂对方？
1690678156# #大爷还是牛逼！
1702749876# #零下40度打开窗户是什么体验？三小伙在漠河住酒店尝试打开窗户，零下40度的气温让室内水蒸气直接“可视化”。
1700983324# #近日，衡阳一宝马车撞过路障直接冲进酒店，停在关公像前！（2）
1702896054# #外卖员倒地大哥帮忙救助汗汗汗
1690770052# #7月29日，江苏盐城，交警查头盔，热心市民来“帮忙”！
1701399755# #狗的心里话。笑cry
1695315980# #郑州广播电视台一次性任命了九个副台长，网友：遥遥领先、遥遥领先、遥遥领先！
1694179948# #昨天装的，今天拆的！
1697460871# #156裂开裂开裂开
1701172683# #女子被人吐口水了，然后责怪酒店没有提供安保。。
1702049700# #高速倒车逆行被查，这女的还挺嚣张啊。
1700021157# #跟男科医院一个套路！
1702388592# #他们在法国燃烧法国🇫🇷；。在美国烧🇺🇸；在英国烧🇬🇧；。为什么这些人千里迢迢地来到西方世界，然后又毫不掩饰地仇恨西方世界？思考
1700281836# #喝完酒发现裤子不见了
1700287121# #:违规作业，非特殊情况不提倡。
1696122316# #许家印修的私家陵园，里面是家族的祖坟。
1702702703# #科目二考试，小伙子一共被扣了多少分……
1703210624# #外卖小哥理发20元，结账时变成2万元，商家我们是一根20元。
1702129860# #现在投资最低最挣钱的行业:做网红！
1695654584# #要是吃掉下一块骨头狗都找不到！
1698641488# #改高功率大灯，温度太高了点燃了大灯塑料件就会着火，别问我怎么知道doge！
1694173395# #独臂猴被师太训斥满脸委屈：像极了被家长误会的孩子……
1702293662# #动物园里大猩猩直立行走，看这架势怎么局里局气的！网友：这应该是公园里的猿委书记！
1703856849# #遇事莫冲动，一扳手打下去，赔的倾家荡产妻离子散最后还有坐牢……
1693091965# #以不变应万变，外交部发言人轻松化解恶意提问…666
1702865977# #西方臻选来了，找了个和董宇辉一样的方脸，直播间居然有3万人……哆啦A梦微笑哆啦A梦微笑
1702976107# #甘肃地震已致111人遇难这是在甘肃的网友拍摄的，他今天凌晨开车跑高速，看到一路上都是奔赴灾区的救援车辆！甘肃地震
1701955985# #阿姨上班前被迫跳舞跳出一脸的“生无可恋”
1700002938# #王氏祠堂拆迁发现祖传黄金盒子，是王家老祖宗留下来的黄金族谱，专家要求上交国库，你们说该不该上交呢？
1691154658# #水均益的女儿放了央视记者，胡锡进的女儿进了环球时报这不合理啊？应该交换一下！
1703936193# #这样去买菜，回头率肯定很高吧。亿点曝光计划
1701956726# #大学生在物流公司上班6个月离世家属:平均每天工作12小时人社部门已介入调查
1693064957# #网友小店吃饭偶遇谭咏麟，陈百祥。这就是大牌明星的出场方式呗嘻嘻
