1701737709# #赞
1703551777# #男子买房放女友名下，分手后全要回，法院判了。12月25日，深圳市中级人民法院公布了一起案例。周某（男）与林某（女）原为情侣关系。2020年5月，双方协商购买一套商品房，登记在林某名下，周某支付了首付款、过户费等款项。2020年7月，林某从外地来深，和周某搬入案涉房屋共同居住。2021年5月，双方结
1698905880# #这姑娘将直播带货的套路摸得一清二楚，主播和品牌方代表没有点表演功底是干不了这活的……郎摘新闻超话
1699176366# #浙江温州，电瓶车相撞驾驶员受伤倒地，浙CDJ5781展开了“教科书式”救援，直到交警赶来才匆匆离去……赞心
1702121814# #警方回应男子手持板砖猛砸妻子头部吃惊【因家庭琐事引发，女方拒绝警方介入称自己协商】这种情况应该已经触犯刑律。女子的态度只能带来更多的暴力。郎摘新闻超话
1691403494# #即便是内幕交易，还有亏损。由此可见，在A股获利，真的如蜀道之难……
1701661348# #酒店回应女子住2500元一晚房间被蛇咬这，离了个大谙，还豪华酒店呢吃惊
1691492794# #男子因吵架从21楼扔下一块电脑屏【被警方采取刑事强制措施拳头】近日，浙江嘉兴。某小区一保安晚上听见巨响，发现一幢高楼下的通道上，有一台被摔碎的电脑显示屏，于是立即报了警。派出所民警到达现场，调查后得知，该显示屏是从21楼高某某的住宅窗口扔下的。据高某某交代，当晚因和家人吵架，一气
1698395702# #允悲
1694661546# #转发微博
1703672504# #堪称人体艺术的天花板，足以达到了以假乱真的境界……赞赞赞郎摘新闻超话
1692442719# #允悲
1697697288# #学会这些小技巧，关键时刻能救命！
1703770397# #这一幕实在令人感动心～一个7岁男孩不慎掉入冰湖陷入困境，3位好心路人不惧危险接力救人……郎摘新闻超话good（王赟）
1700118148# #这……
1697505264# #狗和主人必须尽快绳之以法一般养狗的人，大都知道罗威纳是烈性犬，一旦咬人了后果很严重，竟然还不给狗拴绳……怒抓狂V光计划
1693459374# #尴尬中……
1694874486# #酒店工作人员请环卫工人进店躲雨，环卫工人担心将酒店弄脏多次拒绝，工作人员的一句话让人倍感暖心……心赞郎摘新闻超话
1699953473# #全网最硬核的幼儿园，啥都教……赞郎摘新闻超话
1702471242# #紫砂壶大师，非一日之功赞
1702428594# #樊妖好
1702856720# #分享图片
1697855544# #空前绝后，太痛了……允悲吃惊郎摘新闻超话
1702370510# #分享图片
1702956646# #天寒地冻，希望灾区人民平安🙏
1699399764# #转发微博
1690627587# #广场独舞？允悲
1690419320# #抓狂
1696632652# #挺好的
1692782925# #大型农机还在作业，百名村民冲进田里哄抢遗落花生！田主：根本拦不住，就怕伤了人！吃惊郎摘新闻超话
1703300792# #这人……真恶心怒女生称公交上被男子多次用下身摩擦12月22日，湖南湘西。有女生称公交上被一男子多次用下身摩擦。当事人称，当时是早高峰，公交上人比较多，一位目测四十多岁的大叔比较奇怪，感觉他一前一后的动，开始以为是他的包挤到了，发现不是自己就往后走了，后来男子又在一位阿姨边上重复该
1703154573# #吃惊
1697008375# #以媒：以色列防长表示，已下令“全面包围”加沙地带。【环球网报道】据《以色列时报》9日报道，以色列国防部长加兰特当天表示，他已下令“全面包围”加沙地带。“我已下令全面包围加沙地带。没有电、没有食物、没有燃料，一切都将封锁，”郎摘新闻超话
1703470525# #爱因斯坦实现了无数人“赢得生前身后名”的梦想，其实他本人对名利并不是很在意，据说其濒死之际也没有要求死后需“风光厚葬”，而是要求低调埋葬不需纪念仪式。如今，他的大脑，被人“年销7万单”，这便是爱因斯坦的脑子引领的有趣灵魂……心🙏
1701335684# #靠自己的双手改变残疾人的命运，了不起赞
1693306635# #这，要赔不？疑问
1702466902# #先等九江下雪吧哈哈
1696633981# #让所有老人都能有一个幸福美满的晚年🙏
1701833172# #这……
1697939615# #俺也是允悲
1699699741# #这还用研究？研究多久？疑问
1698014400# #北京化工大学回应学院院长被指骚扰教师近日，网传北京化工大学一名教师的丈夫在微信群里控诉该校一学院院长贾某某骚扰自己妻子，引发广泛关注。10月22日，北京化工大学发布情况通报：近日，网传北京化工大学教师王某某丈夫使用王某某微信账号在工作群中，反映其学院院长贾某某相关情况。学校目前已
1693129551# #证券交易印花税实施减半征收终于降印花税了，这是实质性利好，如果再暂停新股发行，或许更好……赞赞赞
1701815962# #允悲
1691384656# #疫情之后，可以报复性消费，切忌报复性宰客……
1689762625# #不能把风险全都推给老百姓！董藩直言，没交房不该还房贷，银行的这种合同设计是显失公平的！郎摘新闻超话
1688904253# #私造浮桥案审判长免职后仍在法院上班【吉林村民“私造浮桥”案审判长冒名高考曾被查，免职后现仍在法院上班】近日，吉林省洮南市村民私自建桥被判刑的新闻引发广泛关注。7月9日，该案又被爆出案中案——其主审法官（审判长）系冒名参加高考上大学，目前已被免去职务，给予党内严重警告处分。。
1694047188# #不可思议，太厉害了……吃惊拳头郎摘新闻超话
1696423073# #一旦把赛场当作人生“秀场”，以为可以“赌一把”，那就是“和尚念了歪经一一修不到正果”赞
1703032598# #深圳城市宣传片亮相纽约时代广场，深圳向世界敞开怀抱……赞赞赞郎摘新闻超话
1699265637# #父子俩5.2元购入95号汽油6.7元售出纳闷了，从哪里可以5.2元每升购入95号汽油？疑问
1694842634# #火车上，老人用热水泡干挂面，女子看到后提醒：“爷爷，你这样泡不熟的！”可没想到老人说：“我知道泡不熟，可是我一天没吃饭了，太饿了！”女子听后愣了半天，想想难受，于是把自己的泡面送给了老人，还给了老人一些现金。可让女子更想哭的是，老人依法不舍得倒掉自己的挂面，而是和泡面泡进去一起
1693474147# #这……
1696329156# #女子抱娃意外摔倒，路过护士上演生命救援……心赞郎摘新闻超话&nbsp;
1691587387# #快活、惬意的鸟儿
1700048329# #“山东校服像寿衣事件”最新回应：已经淘汰该校服……郎摘新闻超话
1702972506# #如果你的电脑是win10系统，那么一定要记得关闭这三项设置，不然网络会变慢，也更容易泄露隐私……话筒郎摘新闻超话
1696119741# #女子错过高速出口变道，被大货车让速不让道撞飞，之后，女子责怪大货车司机没有及时避让她……抓狂郎摘新闻超话
1703145575# #短视频平台问题的确多了点抓狂
1690203250# #守望传统，传承技艺赞赞赞
1689336180# #这……
1692687993# #车没停稳就去救人，动作干净利落，谁说女子不如男？心赞郎摘新闻超话
1695085961# #航母弹射卡车允悲
1703214810# #女子捡到手机索要1000元不给就扔河里【民警：道德问题只能协商】近日，浙江嘉兴。网友发视频称，一名女子捡到一部手机要失主1000元，不给就扔河里。视频发布者表示，失主要给800元，民警来调解最后还是给了1000元。对此派出所民警表示，像这种情况警方只能协调，没有强制措施，这是道德素质问题。
1691398869# #8月3日晚，吉林省舒兰市常务副市长骆旭东在下乡巡查途中，发给舒兰市平安镇党委书记的一段语音……泪🙏郎摘新闻超话
1699874055# #官方回应一原区长湖上餐厅落水溺亡【已办完追悼会】据红星新闻报道，福建泉州市惠安县聚龙小镇聚龙轩餐厅中，疑因玻璃地板破裂，导致两名人员落水，其中一人溺亡，死者系泉州市洛江区原区长苏某某。11月13日，极目新闻记者从泉州市殡仪馆和泉州市有关部门处获悉，苏某某的追悼会已经举办结束
1692945580# #分享图片
1696381565# #允悲
1693917291# #谢谢捧场心作揖
1702876985# #跟着宇总混了哈哈
1698137567# #挺好的，幸福有时挺简单的心赞
