1701132302# #尊卑不分，居然给一个孩子行此礼，实在令人发省！
1702628345# #是先在地上撒食物，还是先在空中放冷枪？😱
1702551266# #动物都知道互帮互助！
1703153433# #这些评论是P的吗？
1702450755# #不知道是哪里？他们在干啥呢？
1701495948# #这只是一个很常规的小问题，大家不要危言耸听，把事情搞得复杂化！
1701066405# #作恶时，不相信有神存在，肆无忌惮。
1700301701# #科普知识，关于器官移植的解说！
1701332569# #神人，太伟大了！
1702901166# #山东聊城网友吐槽高速摆拍送泡面，送了几盒泡面就走了……有幸看了被送泡面视角的视频，没送就没送吧，可万一没送也成素材了就有点不太好！允悲
1703832502# #因为优秀，被人嫉妒遭遇投毒。投毒的人该下十八层地狱！
1700905712# #还有这事？你们信吗？
1701685036# #积德行善是一种美德。这种美德仅仅是个人价值观念的体现，该庆幸的是，还有这样的人群存在！
1701864484# #这个最小的将军，又会让她的民众们，为一碗肉汤，掀起社会主义的新高潮！赞
1703754368# #挺住！俄罗斯必胜！
1701696086# #这肯定是谣言！哪啥开始战斗了！
1701908926# #我们知道他们在演戏，他们也知道他们在演戏！
1701598666# #军大衣很时尚吗？这是行为习惯僵化单一的表现吧？允悲
1701435192# #这是为何？不知道真否？奶粉为什么放在博物馆？
1701757194# #大爷，这个是空心的，不值钱！允悲
1701767895# #曝光他们做假多年了，还是有不少人去买！
1702978747# #这个比例正确吗？
1701253437# #生命大于一切！赞
1702809796# #很多人想买彩票一夜暴富，不知道现在醒了没有？
1702639604# #佛教只是他们敛财的工具而已。
1701935661# #建议推广，比红地毯实用！赞
1703242138# #老太太卖菜卖不了几个钱，对待她们希望可以宽容一点！
1702551324# #就这老板的格局，估计卖个馄饨都难！
1702026871# #美帝是秋后的蚂蚱，快了！
1701934552# #还有这么恐怖的事，小说都不敢这么写！哪啥，这肯定是谣言！
1701424378# #人性的恶！现在卖惨卖笑，欺骗人类最后一丝善良了！
1702026971# #苍蝇在小也是肉！赞
1700219819# #除了开心还是开心！
1703242234# #她跳得好看吗？
1701865193# #专业就是不一样！赞
1700228033# #原本很幸福的生活，因为一套烂尾楼，就彻底万劫不复了！悲催的是，他们受到伤害，却无法得到解决！哪啥，以动物为首的攻击者们，你们把这个贴子能否疯狂推一把？帮帮他们！
1700479312# #这是什么逻辑？我穷我有理？
1703240401# #为在一线救援的英雄们致敬！你们才是这个社会是可爱的人！赞心
1700647134# #任何时候都少不了喝人血，吃人血馒头的人！
1703153199# #有道理！赞
1702114134# #还真不知道有疫苗险？
1703242192# #专家们说了这些话吗？
1700711872# #挺有趣的地道战！
1700648251# #这办法不错！你们支持吗？
1700228204# #转发！
1700644237# #交警为了工作也难，百姓为了生存也难！
1703832993# #人体器官捐献昭通学院宣传毅行活动！
1702809741# #这位大爷说的话，你们认可吗？
1703919426# #素质很重要，你这么做，抹黑的只能是你自己！
1702719315# #杨佳案始未！
1700560506# #这苹果能吃吗？
1703070997# #央视带货直播，不知道对实体店有影响吗？
1702354172# #范文程谏曰：奸其妻女忍，刨其祖坟忍，夺其地屋忍，此等贱民何足惧哉，多尔衮猛然醒悟，清兵入关，摧枯拉朽，役汉近三百年。
1703242039# #向为灾区捐款的他们致敬！心心心
1701934824# #金正恩因为出生人口下降，感动的哭了？
1701503430# #估计，这个消息也只有北韩相信！允悲
1702960727# #在药店去买药，大部分醒目位置摆放的都是利润空间大的药品，一些有效果，价格低的药品都放在角落里！
1703240027# #这生意肯定不少赚！
1703240002# #西宁市青年志愿者协会，你们辛苦了！
1702552379# #这让人情何以堪！
1703670580# #理想汽车挺好的，反正俺买不起！
1703036207# #大家不要身在福中不知福！
1701598489# #这招直接、有效！赞
1703754455# #孩子是一个家庭的支柱，希望他们能平平安安的！
1701176131# #猫搞死了母鼠，却收养了沦为孤儿的老鼠崽子。
1703243369# #人家是网红，只要能割韭菜，捞到钱，甘肃的灾难，与她有何关系？她笑，是因为灾难又不会发生在她头上！我想问一下，你笑的灾难中的人们，会不会影响你的收入？
1702721729# #这么美好的世界，却有这么悲怆的故事发生！
1701249491# #老样子，一尘不变！这么多年，我们一直帮一些弱势群体维权、呼吁有关部门给予她们相应的帮助。结局一样，当她们得到应有的回报后，对给她们结果的人，感激涕零，恨不得八辈子祖宗都爬出来酬谢给她们结果的人！我们这群炮灰，明天也许会是她们攻击、撕咬的对象了！伤心
1701864763# #马宗师不只是让中国人民叹为观止，看来在国际上的高度，中国功夫，已经无法用文字形容了！赞
1703832860# #就因为有这些坏东西，才导致倒地无人扶的情况越来越多！
1701865072# #这算是蠢还是坏呢？😱
1702353601# #战争最苦的就是老百姓，你们居然渴望战争，争着去送死！
1702978697# #把鱼撒地上，他们在干啥呢？
1700558999# #还有这么愚昧无知的人吗？
1703754628# #朝鲜不知道世界过得怎么样？反正我不信！
1700103370# #这样歪曲事实，严重伤害中俄友谊关系！
1701682207# #今天是宪法日！
1701066259# #立场决定取决你是人还是鬼！允悲
1703321384# #坏人变老了！相关部门通过人脸识别和监控，应该可以找到这两个老人吧！
1703832675# #挺暖心的！其实骑电动车的，都是底层不容易的群体，不对他们打压，才是人性的本质！赞
1700803159# #多少年，没有读过此类震撼人心的故事了！
1701332641# #权力的傲慢！赞
1701934899# #我们快百毒不侵，成为世界上抵抗力最强的体质了！允悲
