1697626676# #老外眼中“神奇的东方树叶”以茶之名重走丝路一带一路的100个故事
1698853357# #如何看待亲人的离世
1689005574# #公鹿意外掉进冰窟窿里，母鹿不离不弃的陪伴，幸好被好心小哥相救，没想到一个月后，公鹿竟然回来报恩。
1697445444# #8年妻子从教师成为警官，庞洪雨活成武警丈夫报效祖国的模样
1691141723# #❗️乌克兰武装部队的几艘自杀式无人舰艇在新罗西斯克地区被俄罗斯舰艇的武器发现并摧毁！。乌克兰前线实时画面俄乌局势新进展
1703750118# #MEE驻加沙记者表示，由于以军猛烈轰炸，塔尔哈瓦的局势“非常非常可怕”。。。“整座建筑物被夷为平地”，巴勒斯坦人的腐烂尸体被遗弃在街道上。。。“无法解释这里的场景有多糟糕，”记者说，以色列军车碾过地上的尸体，街道上尸横遍野。。。“人们试图用纸箱或纸板覆盖尸体……空气中的气味一点也不令人愉
1692760330# #🇩🇿🇫🇷🇳🇪阿尔及利亚拒绝法国飞越尼日尔军事行动。。国家电台YeniŞafak周一晚间表示，阿尔及利亚拒绝了法国飞越其领空在尼日尔进行军事行动的请求。。。国家广播电台补充说，阿尔及利亚反对任何外国在尼日尔采取军事行动，并赞成通过外交手段恢复宪法秩序。。。上个月政变之前，法国在尼
1692205866# #8月15日，莫斯科在北约各国使馆前举办北约装备展，“战利品”都是崭新的，还被贴上了来源国的国旗。。。伤害性不大，但侮辱性极强啊！这就叫做杀人诛甲！
1700396370# #自1985年以来，魔虫一直为各个年龄段的人们带来欢乐。虽然这是一个简单的魔术，但它总是令人印象深刻！这个魔虫它是如何工作的？。。📹马来西亚古怪商店
1700360693# #沙特阿拉伯外交部:。“我们谴责以色列轰炸加沙的Al-Fakhoura学校，并呼吁确保平民和救援设施得到保护。”
1694743573# #《波茨坦公告》协议至今有效，中国依旧有权利在日本驻军！这一说法不仅有着充分的历史依据和法理支持，而且也有着重要的现实意义和价值。。按照当时的规定，应该是由中国来占领四国岛，东京由中苏美英共管，琉球群岛也应该由中美共管。到时出兵也是师出有名！
1699528643# #开进地中海的福特号航母，是美国新一代航母福特级的首舰，自诞生以来就被冠以世界最强航母称谓，也是目前为止唯一一艘尚未参与过实战的美国现役航母。（论拍摄角度~主打一个帅）福特号航空母舰
1698233116# #大吉大利跳跃G港
1697642313# #这是我看到过的唯一有白头发的巴勒斯坦人流泪。。。。。巴以冲突已致双方超4900人死亡
1699485750# #这和电视剧里面的感觉不太一样！珍惜今天美好生活的来之不易！感恩前辈的热血付出，是当今我们这代人应该做的事情，你感觉是么？
1699685573# #谁干的！再不出来报警了！怒怒
1692970295# #由于普京系统性地解散了PMC瓦格纳，现在站在AFU和克里姆林宫之间的只有呼号为“斯汀”的卡德罗夫超级特种部队突击队，他们穿着他们标志性的套鞋和弹药包鳕鱼袋盔甲。
1703776818# #中国军队与这些军力比还差距很大！。要我看，中国至少需要25至30个航母舰队才能自保笑cry二哈
1700499924# #中华大地，英杰遍布🙏面对日寇横行肆虐！僧人也加入了抗战队伍，抵抗外辱，保家卫国！
1694789478# #当兵两年气质真的变了，就两年的光景。鼓掌
1699013742# #不是故意要挑动什么情绪，是有些历史真的不能忘记，真的不能怒
1688698280# #耶伦抵京后，和陪同人员去云南菜馆点了一堆“菌子”，好像还有我前几天视频中的“见手青”，不知道她是真爱吃，还是有什么暗示--先君子后小人？手莫贱，贱必青？
1698675779# #“要得到人民的尊重，首先要尊重人民”致敬作揖
1702031349# #巴以冲突哈马斯表示，过去3天内，以色列国防军在加沙地带损失了135辆装甲车和大量士兵（昨天，前国防军参谋长加迪•埃曾科特的儿子被击毙。）。。然而，尽管哈马斯声称其战术成功，但巴勒斯坦人的行动局势继续恶化，以色列国防军在汗尤尼斯的楔子构成了越来越大的威胁。
1698581425# #当战斗民族对日本开启嘲讽技能酷
1701292120# #一生为民的周总理
1701933231# #海军某海防工程大队，使用激光器排除数百米外的未爆弹！
1698810955# #IVAS+NGSW+...,美国陆军PEOSoldier办公室发布最新装备视频
1701002936# #81192，请返航！我们一直在等你回家！
1690988927# #🇧🇫布基纳法索人民欢迎易卜拉欣·特拉奥雷结束俄罗斯之行回国。
1698026495# #俄罗斯第9独立机步旅的FPV无人机操作员干了乌军后防线某处一下！。。俄乌局势新进展乌克兰前线实时画面
1697352729# #某国驻华使馆微博，傲慢到甚至不用中国通用文字，被网友纷纷嫌弃。。。巴以冲突已致中国公民4死6伤2失联中国将派特使推动巴以停火止战以政府发言人称行动目的是铲除哈马斯去以色列工作的中国男性不允许与当地女性接触
1690969316# #正如您可能听说过的那样，乔治.华盛顿的假牙不是木制的。它们实际上是由多种材料制成的，包括人类的牙齿。根据弗农山账簿B中的会计记录，这些牙齿可能是从华盛顿的奴隶身上拔下来的。在他的晚年生活中，华盛顿经常提到牙齿疼痛、牙齿脱落、牙龈发炎和假牙不合适。他一生中感染过许多致命疾病，包括天
1693728817# #最喜欢看到你看不惯我却又干不掉我的样子
1699091708# #炮弹壳有人要吗
1701072238# #乘坐单轨列车穿越重庆市区。重庆单轨列车像猪儿虫
1695268920# #一枚带有UMPC复合体的FAB500航空炸弹访问了一门美国M109自行榴弹炮
1698216354# #1966年，林豆豆(林彪元帅之女)与毛主席握手，这个场景定格在了历史长河中。毛主席和蔼可亲的形象让我们明白，伟大领袖们都是平凡而又不平凡的人，他们的大手可以帮助我们走出迷茫，引领我们走向光明和辉煌！
1695869484# #日本媒体给中国体育写的标题
1698992564# #在加沙，记者的报道对以色列来说就是最具杀伤力的武器，所以他们痛恨记者远超过痛恨哈马斯。。。TRT记者在纳布卢斯以南的赫瓦拉镇被IDF开枪射击(汽车上那么大一个press的标识)。
1698975360# #淬火成钢的特战队员，是你们，为我们守护了一方和平安宁的乐土，致敬心心心
1695781518# #那美国每天都提中国你让美国闭嘴了吗？挖鼻
1699515501# #白山黑水千秋恨国破家亡百世伤莫忘前世国耻恨金戈铁马踏扶桑
1697327551# #广西高校硬核军训燃炸了！翻山越岭、野外作战…网友：这确定不是演习？
1690513728# #◻️叙利亚国内新闻7月28日报道◻️。。⚪️大马士革农村省-大马士革乡村：一辆出租车在大马士革乡村赛达扎伊纳布市Koua街上的简易爆炸装置中爆炸。爆炸造成6人死亡、26人受伤、20人轻伤。周边地区的企业和住宅楼遭受严重物质损失，爆炸可能试图瞄准附近的叙利亚军队军事集结点。。。⚪️霍姆斯：今天上午
1689090981# #如何分发带有投降说明的传单。。-&gt;一架无人机基本上是把文件扔到一个位置…一个受欢迎的“轰炸”。。“我们不想打仗。我们投降。”……俄罗斯部队投掷传单，其中载有针对乌克兰部队阵地如何投降的说明。。-&gt;他们的8名士兵的指挥官抓住了这个机会，救了他们的命！。俄乌局势新进展乌克兰前线实时画面
1690987482# #北约”大杀器“被彻底摧毁。。俄罗斯无人机烧毁了乌克兰整支军事装备，其中包括德国IRIS-T防空系统！。。俄乌局势新进展乌克兰前线实时画面
1692636365# #美国北达科达州法戈市今天公布了一段警员随身执法记录仪的视频。。。上月14号4名警察在处理一起交通事故时，被人用AK47扫射，对方朝警员开了上百枪。。。随后歹徒被击毙，警员二人重伤，一人死亡。。警方随后在歹徒车上查到1800发子弹和自制手榴弹汗。。这就是你向往的美国军迷天地丑国脏事
1703605781# #🇮🇷伊朗国防部发言人：。。“将在正确的时间、地点和方法对赛义德·拉齐·穆萨维在叙利亚遇刺事件作出果断、有效的回应，使以色列无法实现其目标。”。。我们将做出果断有效的反应，进一步挫败犹太复国主义政权的此类暗杀目标。”
1697272339# #敌占区坚守，传奇将军“王老虎”。。“抓到日寇绑到树上，让新兵练习刺刀，壮壮胆，这叫以牙还牙”说这话的是:抗日将军王劲哉！他桀骜不驯手段高明亲手活捉饿狼，令日军闻风丧胆，让部下砍下鬼子脑袋，送回给日军。日寇花了近10w兵力围剿才将其生擒，最后凭一己之力翻墙逃脱了日寇的魔窟，被百姓称为:“
1688790974# #爱沙尼亚总理卡亚·卡拉斯：。。我们必须做好持久战的准备。我们一定不能懈怠。基于法律条文的国际秩序的命运岌岌可危。西方国家应该团结在乌克兰周围。。。俄罗斯正在等待西方厌倦支持乌克兰方面。欧洲需要继续加强防御能力，因为俄罗斯仍然危险且不可预测。
1692632576# #这般的月色，该适合怎样的诗文？
1695816887# #左边的星系是银河系，右边的星系是仙女座星系。这就是从现在起4到50亿年后将会发生的事情。。。
1702101909# #一棵违反地心引力的树。
1697783331# #以色列军队决定在加沙边境举办仪式。他们邀请以色列歌手奥马尔·亚当演唱有关巴勒斯坦人被杀的庆歌……
1700500117# #很快就会看到ISIS/（摩萨德创建）在加沙与犹太复国主义军队并肩作战？还是乌克兰/亚速？。如果这些人与犹太复国主义犯罪国家合作，我为什么不感到惊讶？。。🏴‍☠🇪🇺⚔🇵🇸来自欧洲国家的雇佣兵在加沙战争中与“以色列”并肩作战，其中一些人在与抵抗组织的战斗中丧生。巴以冲突。。来源：
1700376201# #为这位总统点赞，又为他而捏了一把汗~~
1691390641# #‼️🏴‍☠️🇺🇦透过敌人的眼睛进行战斗：AFU武装分子在俄罗斯战士的火力下遭受损失。在乌格达尔方向，俄军以精确火力打击敌军。。乌克兰武装部队武装分子高呼需要撤出伤员，但没有力量。。。俄乌局势新进展乌克兰前线实时画面
1697512029# #女子为了逼孩子学游泳
1703548117# #抗战老兵李安甫，个子虽小，却是个顶天立地的大英雄，致敬！
1700183158# #为什么济南战役后的各大战争没见许世友将军，原来一直在镇守我国山东，防范美军，守护疆土！
1691050283# #幸亏走最后，要不都得带成顺拐天团笑cry不过实话实说，从来没见过这么优雅自信的顺拐妹妹！！
1700736034# #澳袋也加入了“不安全不专业指控”俱乐部。。想必美加澳的方式都是专业的安全的，中方完全可以用这种专业安全的方式派军舰战机去东太平洋、南太平洋、大西洋刷刷存在感。。来源：台海网
1693934279# #俄罗斯第聂伯集团新闻中心负责人的声明。。在扎波罗热方向，我军的空袭、火炮和重型火焰喷射器部队击退了FAU第47机械化旅对扎波罗热地区拉博蒂诺村的两次进攻。多达170名乌克兰军人、2辆坦克、3辆装甲战车、4辆汽车、3套M777火炮系统和1门美国M119榴弹炮、1门德国自行装甲车-2000火炮、1门英国FH-70大炮
1697101387# #有事实证明，“斩首婴儿”谣言的来源是以色列极端主义定居者领袖大卫·本·锡安，他“有号召种族灭绝暴力的历史”并消灭了整个村庄！。。他确实希望看到巴勒斯坦人受到种族清洗，而西方媒体正在帮助他！。。巴以冲突已致超过2500人死亡巴以冲突升级巴以冲突
1691392097# #偷笑害羞
1699490857# #这位慈祥的老人是曾经的抗战老兵，为了不给组织添麻烦，隐居深山整整70年，直到当地政府下乡普查才发现，2021年，这位老英雄结束了他的传奇人生
1697531276# #一张主席刚游泳后的珍贵老照片
1694799603# #乌克兰军队试图突破韦尔博韦周围的第一道防线。请注意，所有的都是步兵，我们看到的视频都是大炮和地雷摧毁这些进攻。。。俄乌局势新进展乌克兰前线实时画面
1698303954# #这是1973年，年轻的拜登乘坐地铁上班时的一张老照片。他提着公文包，穿着风衣，小皮鞋擦的锃亮，看起来风度翩翩的样子，那时候美国的官员开车上下班很普遍，他却拒绝开车，这是为什么呢？因为就在几个月前，他的妻子和女儿因车祸丧失了性命，两个小拜登也身受重伤，所以从那以后，拜登的通勤一直很抗
1703732057# #🪖🇷🇺🇺🇦俄罗斯武装力量正在向Soledar方向推进。。在ChasovYar方向(Artemovsk以西)发生了激烈的战斗。我们的战斗人员在波格丹诺夫卡地区和赫罗莫沃以外前进。。。🇷🇺我国军事人员的任务是进入进一步解放ChasovYar村的作战空间。。。俄乌局势新进展
1690440909# #耍赖的小刺猬，把新疆大西瓜吃了个大大的洞。现在瓜老板抓住了它，不过还是决定不惩罚它。不过，也把它骂得够呛，把它给吓得...
1691043427# #梵净山上金丝猴何在~
1690125466# #‼️🇺🇦🏴‍☠️敌人展示了如何将“豹式”和“布拉德利”纵队扔进扎波罗热前线奥列霍沃的“绞肉机”。。北约装甲部队正试图在俄罗斯炮火下突围。。。俄乌局势新进展乌克兰前线实时画面
1697687328# #这个小孩独自一人在黑暗中，因爆炸中所见的恐怖而颤抖伤心。以色列轰炸了他的房子并失去了所有家人后，这一名巴勒斯坦儿童独自在树下瑟瑟发抖！伤心泪。以色列的战争罪行录巴以冲突巴以冲突已致双方超4900人死亡
1696738472# #允悲允悲
1695821155# #俄罗斯军队在哈尔科夫方向抓获了更多AFU武装分子。。俄乌局势新进展乌克兰前线实时画面
1690893289# #🇷🇺⚔️🇺🇦扎波罗热方向。奥列霍夫区12:50/08.01。。现在有情报传来，敌人试图在这个作战方向突破我们的防御。。。有激烈的战斗。。。在袭击之前，敌人在我方边境使用了高精度海玛斯多管火箭炮和弓箭手火炮系统。。。现在，我们正在用火炮齐射、反坦克导弹和“柳叶刀”来回应敌人的装甲车和人力。。
1700830533# #何泽慧(1914-2011)，籍贯山西灵石，江苏苏州人。新中国杰出的核物理学家，她是中国科学院第一位女院士。
1695633153# #T-90M在Kremenaya地区的操作。俄乌局势新进展乌克兰前线实时画面
1688606760# #VChK-OGPUTelegram频道报道称，俄罗斯空军司令谢尔盖·苏罗维金(SergeiSurovikin)将军仍未重新出现。7月4日，他没有出席妻子安娜的生日。据报道，这些迹象对将军来说看起来不太好。据VChK-OGPU消息人士称，“安娜和其他家庭成员甚至与将军非常亲密的朋友和同事也停止了沟通，这……表明到目
1690355287# #谁是你的意难平，你又是谁的意难平～。一句“好久不见”，足以让那些遗憾泪崩吧。。我与当初大学女友被迫分手后，有二十一年没见了，不是联系不上，而是不想相见。。。因为，联系上了除了一句：你这些年过得好吗？之后，不知道说什么了。。。你们呢，说来听听，评论区见悲伤，有时真希望她也能关注我的
1701741772# #乌克兰消息来源称，泽伦斯基已准备好加大与俄罗斯冲突的赌注，为此目的，德涅斯特河左岸问题已经讨论了一周。在总部，布达诺夫做了报告，谈到了敌人的实力和预备役的军事能力；根据乌克兰的情报估计，俄罗斯的预备队有2到4万人。
1700122518# #长空之王
1701787840# #抗击倭寇，百世流芳！
1698245734# #1979年10月丁玲与女儿蒋祖慧。
1697422644# #他是孤勇者也是听风者，牺牲后才被曝光身份他是孤勇者也是听风者，隐匿于黑暗无人知！铭记，致敬中共地下情报员谢小球！
1697410377# #她专偷军火被日军追杀，战功赫赫却隐姓埋名这么一位巾帼英雄，他立下赫赫战功，却隐姓埋名了大半辈子，直到临终之际才说出，她就是被朱德誉为“超级女间谍”高崇德！
1703140543# #⚡️哈马斯：。。“我们用自己的双手创造了收获你们脑袋的东西。我们将继续用我们本地制造的狙击步枪杀死你们的士兵。”。。视频展示了当地制造的卡桑“食尸鬼”狙击步枪，该步枪源自伊朗AM50Sayyad。。。巴以冲突
1697421505# #【拜登：拜登称支持巴勒斯坦建国但哈马斯应被消灭】。。以色列加紧准备攻入加沙，美国总统拜登怎么说？🇺🇸🇮🇱。。15日，拜登接受CBS新闻节目“60分钟”专访时说，他“有信心”以色列会在以哈冲突中按照战争规矩行事，尽全力避免滥杀无辜，让平民有办法获得药品、食物和水。。。他说10日袭击以
1701680848# #钢琴诗人顾圣英
1701963149# #以色列武装分子从拜特拉希亚的一所联合国学校绑架了数十名巴勒斯坦青少年和男子，并将他们扣为人质。
1694155873# #图一：解放军代表在波兰军警防务展(MSPO2023)参观美军的海马斯火箭炮，兔哥哥眯着眼，友军好像有点紧张。图二：1980年，刘华清将军受邀参观美国航空母舰，他踮起脚尖，只为看得再仔细一点。眼神里的区别，代表着实力上的升降
1701692691# #杨成武上将回忆击毙鬼子中将的那天，他的女儿出生了。
1697012405# #人类世界里的则是“主流媒体认可的两条腿好，主流媒体不认可的两条腿坏”。你以为这是对哈马斯的报复？其实这只是以色列数十年来对加沙以及巴勒斯坦的常态化攻击，只是过去西方主导的媒体从不关心巴勒斯坦平民的死活而已。。这个世界的大多数媒体都掌握在谁手里？
1701070134# #“我怕下笔太重，惊扰了烈士的英魂，又怕下笔太轻，描不出他们惊天动地的往昔”。“历史书很小，装不下他们的伟大！
1697352855# #以色列轰炸后的加沙尸横遍野以色列的战争罪行录巴以冲突。是哈马斯强留他们当肉盾吗？。。我们何不听听加沙居民自己的说法。。。他们不愿意离开家园，他们呼吁阿拉伯和穆斯林国家帮助，并说道：“我们将留在加沙。我们要么死，要么被解放。”
1699202323# #一个新的神秘组织显然已经出现，自称为“阿布·詹达尔之子”。。。在一小时前发布的声明中，他们声称自己是巴勒斯坦权力机构西岸安全机构的成员，并向马哈茂德·阿巴斯发出最后通牒，要求他在24小时内宣布与以色列占领“公开对抗”，否则他们将发动叛变。。。以下是上述声明的英文翻译：。。巴以冲突
1699720785# #“我们永远不会知道意外和明天哪个会先来，我们唯一能做的就是尽自己最大努力过好每一天！”
1697334770# #1987年，中国海军第一次登上永暑礁！
1693111339# #‼️拉博蒂诺的俄罗斯消息来源：。“敌人简直被撕裂了。今天我们的远程火炮一秒钟也没停下来。我们的炮兵部队很给力！。乌克兰人把所有的注意力都集中在拉博蒂诺身上，把所有的装备都拉到这里，无线电拦截中得知他们中间有大量雇佣军。拉博蒂诺对他们来说将是一个决定性的事件，如果他们不能突破，一切
1696389089# #在大美丽送快递，一夜暴富的例子可太多了。别散布这样的虚假消息与吓走竞争者的卖惨消息！。这就是你向往的美国反贼笑话集
1699427081# #这些男孩像拉小提琴一样玩弄乌克兰支持者，然后平安无事地消失了允悲
