1703941140# #强哥案件播报
1703940919# #强哥案件播报
1703868500# #曝十七年前复印一张A4纸壹佰元＝当今多少钱？徐玉强第一次民告官找被告市规自局复印一张a4纸整整花了壹佰元！目的证明被告市规自局行政违法核准自金美玻璃钢工艺制品厂房屋权属转移登记到徐玉强名下未颁发房屋权属证的证据。复印一张A4纸三毛钱的证据被告找原告索要壹佰元人民币
1703965401# #你好,明天→今天系2023年最后一天！我们即将送走2023年！迎来新年元旦好运2024年！法律监督案件追踪一年一年时间的轮回，执法犯法的执法者制造的冤假错案比狗吃屎还快！纪检监察与检察机关罔顾行政违法行为不究的纠正冤假错案比乌龟爬山还慢？
1703873536# #强哥案件播报
1703960364# #崔武学律师独任仲裁员！
1703966119# #强哥案件播报城市饲养大型犬的恶果？
1703869304# #十七年前复印一张A4纸壹佰元＝当今多少钱？徐玉强第一次民告官找被告市规自局复印一张a4纸整整花了壹佰元！目的证明被告市规自局行政违法核准自金美玻璃钢工艺制品厂房屋权属转移登记到徐玉强名下未颁发房屋权属证的证据。复印一张A4纸三毛钱的证据被告找原告索要壹佰元人民币？
1703955427# #崔武学律师独任仲裁员
1703873806# #【你好，明天】今天2023年12月31日，2023最后一个工作日登上热搜。时间顺流而下，生活一路向前。拼搏，赋予生命以意义。2023年就要过去，感谢这一年奋力奔跑的自己，对自己说一声“辛苦了”，向新的一年2024年进发，愿你一路走来皆风景。强哥案件播报案结百次事不了行政纠纷案。
1703966617# #你好,明天→今天系2023年最后一天！我们即将送走2023年！迎来新年元旦好运2024年！法律监督案件追踪一年一年时间的轮回，执法犯法的执法者制造的冤假错案比狗吃屎还快！纪检监察与检察机关罔顾行政违法行为不究？
1703920377# #【你好，明天】今天2023年12月31日，2023最后一个工作日登上热搜。时间顺流而下，生活一路向前。拼搏，赋予生命以意义。2023年就要过去，感谢这一年奋力奔跑的自己，对自己说一声“辛苦了”，向新的一年2024年进发，愿你一路走来皆风景。强哥案件播报关注案结百次事不了行政纠纷案。
1703939196# #案结百次事不了
1703964127# #在法院自杀被拘留绝食抗争司法腐败！。。天津徐玉强房屋产权纠纷案：司法公正何在？。。强哥案件播报一起发生在天津房屋产权登记纠纷案引起了法制中国社会广泛关注。。。徐玉强，因转移土地使用权登记陷入长达十八年的行政、民事诉讼的泥潭，至今为止案结百次事不了。此案不仅揭示了行政机关与司法
