1696637365# #老爸驾驶的三轮车减震断了，差点造成事故。
1688249784# #话说泗州～推荐美食，泗县这家张记拉面的黄花菜肉酱真是好吃。
1689557571# #泗县绿城深蓝中心启动海豚计划，让小区所有孩子掌握游泳技能。
1702992342# #今天上午，泗县东一环护城河，一名女子跳河溺亡！
1698028399# #泗县苌云朗创作的歌曲《美丽泗州我的家》登陆央视频。
1689557664# #宣酒杯掼蛋大赛在泗县举行。
1688270796# #小崔的书法作品，你觉得值多少钱？
1687851033# #
1696341291# #几个月前，北关某小区保安程玉富（音）在值班室对一名找书包的小学女生进行猥亵，被刑事拘留。近日，程玉富的儿子（厨师）强奸继女被刑事拘留。爷儿俩先后进了班房！
1695125275# #泗县举办科技强国主题书画展，感兴趣的朋友可以到清水湾公园里的泗县文化馆观摩。
1693572779# #牧原集团2023年度资助泗县近300名贫困大学生，每名学生领取3000元。
1689074718# #泗县餐饮协会应邀参加徐州伏羊节启动仪式。
1691316449# #张思越第一次进游泳池，吓得哇哇大哭。
1687302771# #泗阳，泗洪，宿州市作协到泗县采风，泗县文联副主席穆松良和作家刘培刚等陪同参观古运河，运河人家公园等景区。
1696484829# #转发微博
1687774303# #张思越同学眼神充满睿智。
1696626811# #近日，泗城修音响的田某将朋友的女儿强奸。
1688299378# #看电影。
1687774108# #宿州市、泗阳县、泗洪县作协应邀参观游览泗县运河风光，开展采风交流活动。泗县知名作家刘培刚热情款待来客，泗县文联副主席穆松良等陪同参观。
1702624703# #2023年冬天的第一场雪。
1687773502# #埇桥、泗县、盱眙3地京剧票友联谊演唱会在泗县清水湾公园内泗县文化馆举行。
1688767504# #2023中考成绩～770分以上的埇桥区419人，灵璧县239人，砀山县153人，泗县125人，萧县119人。
1698029598# #黄圩镇有处烂尾楼，其中缘由令人唏嘘。
1701887764# #
1690759514# #
1697332163# #在超市买的两只牛蛙，养了十多天也没有舍得杀，直接放生。
1701867744# #泗县县委宣传部副部长、四级调研员韩修华涉嫌严重违纪违法，目前正接受泗县纪委监委纪律审查和监察调查。
1696485125# #刘康军、汤文娟夫妇在首都展示泗州戏，受到了北京宿州商会副会长、诚虚净企业联合体董事长陈楠等老乡的热情款待。
1691316390# #张思越玩水锻炼胆量。
1688250113# #到南京看看宝贝孙子张思越。恭喜乔迁新居。
1702118946# #泗县县委宣传部组织自媒体走进开发区优秀企业参观采风。
1687773331# #泗县黑塔镇三胞胎同时考上大学（一个一本，两个二本）。张文德、陈继峰等网友纷纷捐资助学。泗县吉顺驾校承诺免费为三胞胎驾考培训。
1696487306# #。泗州戏代表性传承人汤文娟参加文化部和北京市政府联合举办的戏曲文化周活动。
1690165927# #好又多超市应该加倍赔偿。
1695739006# #徐州交警支队的罚款名目繁多，令人莫名其妙！
1688432814# #泗州大鼓代表性传承人冉庆兰荣获全国大奖。
1700389548# #泗县隋唐酒业大制作《隋唐放歌》，由知名作曲家闵现祥，诗人朱祥联手创作，实力派青年歌唱家张成遥、刘如琼演唱。
1700390116# #万恶的军政府。
1694149626# #魏碑名家刘猛教学视频。
1701291802# #泗县一搞装修的男子，家有妻儿，却婚内出轨，将一女子搞大了肚子，为他生了个儿子，于是该女子带着儿子住在男子租的房子里，如今儿子都十岁了。男子又再次出轨将一名更年轻的女子搞怀孕生了个女儿。被疏远了的二奶母子要不到生活费，便咨询律师如何维权，男子得知后，竟威胁要把该母子撞死！
1694907286# #刘九月、余俊琪周末干农活。
1699335021# #女子称，男子向她索要高利贷，还要打她。
1696234471# #任前公示～恭喜张家飞同志。
1687082917# #鄂尔多斯城管局王队长和小三聊天记录被老婆曝光！
1688988319# #徐州伏羊节启动仪式。
1696324915# #泗县一婚礼上，这位丈母娘好口才。
1690870091# #泗州戏（罗刹海市）
1699356680# #泗县玉兰小区的香樟树等价值不菲的绿化树木被砍伐！
1699774648# #泗县美食推荐～御龙食府的开口汤、臭鳜鱼、羊肉汤味道不错。
1696766463# #泗县书法家张立志遗作欣赏。
1691275164# #泗县黑塔镇三甄村头，女子骑车带俩孩子钻进深沟，该村群众迅速救援，没有人受伤。
