1701835427# #清者自清
1699661620# #转发微博
1702023442# #【乌克兰爆发严重内斗！泽连斯基重获军权，扎卢日内实际被架空】这一次，乌克兰内部的严重矛盾和利益冲突还是没能成功化解，并最终爆发了一场空前激烈的内斗，乌克兰政府内部的局势，俨然已经到了一个你死我活的程度，最终必然以一方的彻底失败甚至是退出政治舞台为结束，为什么这么说呢？兵之佳的微
1702806322# #转发微博
1700096528# #苏大惠江苏医惠保，理赔少不了，平民又实惠，幸福之中宝。
1703758659# #作者：对外八次“亮剑”，历史岂会忘记！。毛爷爷，您对外这八次“亮剑”，振了中国魂，长了中国气！。1.1949年英国“紫石英”号军舰擅闯长江禁区，不听我军炮火警告，被我炮火击中搁浅，多舰救援失败，最终偷偷逃跑，连抗议也不敢。从而标志着帝国主义在中国肆无忌惮的“炮舰政策”已经一去不
1701481522# #转发微博
1703806693# #天下没有不散的宴席，哪怕有些落寞！郑强教授终究离开了太原，离开了山西……离开山西的郑教授，会去哪儿呢？一言以蔽之，郑强教授就是一个率真的大孩子而已！郑强教授郑强不再担任太原理工大学党委书记
1699155788# #挖机师傅遇老人填土20分钟帮填平【挖机师傅遇老人填土20分钟帮填平：他俩自己填估计一个月都填不完】近日，安徽蚌埠，计师傅开挖机时遇到陌生老人填土。大坑约2米深，老人想种菜，用大货车拉了100多吨土。计师傅花了20分钟忙填平。老人送饮料和烟表感谢，令他感动。梨视频
1702777319# #霍尊胜诉。今天一天飞机上6小时，。非常累了，还是想就这个事完整地说一下我的看法。。。希望它是一个信号，也是一个分水岭。。网络过去自媒体高度发育的七八年里，产生了很多传播的爆款。普通正规媒体都只能跟在自媒体后面捡屁吃。。。但那些爆款里有许多的带血的爆款，甚至是杀人的爆款。。在某一个热点事
1702008152# #国家安全部：《反间谍法》“破坏营商环境”的四大谬误。今年4月《反间谍法》修订后，境内外舆论高度关注，绝大多数声音尊重和支持中国正当立法活动，但也不乏恶意攻击抹黑。一些别有用心的境外势力煽风点火、推波助澜，散布《反间谍法》“破坏营商环境”的荒谬论调，污蔑中方“泛化国家安全”，渲染在华
1701145926# #中方宣布对马来西亚的“单方面”免签快速得到了良好的回应，马来西亚也宣布将对中国游客实施免签。这真是令人高兴的事情。
1701580279# #讲半天不如让你们看一下。就那个场合，韩国和沙特宣传片的对比
1702428209# #转发微博
1703649679# #美国想找人出头打胡塞武装。找不到啊。。自己动手打，既是打赢了也是正常，万一有艘军舰被打中，即使是没有被击沉，那可丢人丢大了。。美国打仗就喜欢用代理人，自己不损失什么，还能赚的盆满钵满，现在纠结的是10个国家组成了海上联军，其他国家不想为美国出头的去打胡塞武装，自己动手
1700093768# #转发微博
1699838144# #触目惊心！贪得无厌！9.795亿！我没看错吧，9.795亿！一名银行行长受贿折合人民币近十亿余元。这实在是金融行业中的奇葩！。。据消息：11月10日，中信银行原行长孙德顺因受贿9.795亿余元，被济南中院一审判处死缓、终身监禁。。。如此巨额贪污腐败，怎么都应该是枪毙几回都不为过。可现实就是现实，判的只
1702688076# #爱我们所爱无怨无悔。此情此景长留人民心间
1702851250# #马来西亚华人来杭州旅游，找非遗手艺人塑像留念。网友:捏得太像了，这个手艺一定要永久传承下去。非遗手艺人手工塑像
1702518172# #转发微博
1700094570# #你知道吗？央视著名美女主持人方琼在央视整整工作十五年，却一直是临时工，无法享受体制内的福利待遇，尽管他没有任何资源和人脉支持，但是他一直兢兢业业工作，然而她的上级领导却曾未有意将他转正，让方琼感到无比的失望，最终他心灰意冷，决定辞去央视工作，回了老家，担任河北卫视主持人，如今方琼
1702613974# #江苏无偿献血4000毫升可享三免政策【感谢你！南京献血爱心平台正式上线】为了给献血者提供更好的服务，12月14日，南京红十字血液中心献血爱心平台正式上线，可一站式查询献血点、献血记录、献血积分及兑换纪念品等。近年来，江苏推出多项措施服务无偿献血者：①江苏无偿献血4000毫升可享三免政策
1700524945# #转发微博
1699517417# #湖南益阳一小车坠江致4人溺亡，官方：正善后处置-搜狐新闻
1700354132# #对明家的通缉令及对五大村霸的劝降视频后，短短四天内，据说交了快7万人！口岸云集全国警察接人，本来两个警察押一个罪犯的,现在罪犯太多，只能一个警察押一个罪犯。原来果敢有十几万人在骗中国人(秒瓦底也差不多，一年骗中国老百姓高达2万亿人民币，这些都是中国老百姓的养老钱血汗钱救命钱，不灭他们
1699401714# #苏大惠 惠有一束光！是一束"我为人人，人人为我"的苏大爱的爱心之光、苏大帮的公益之光。这不仅是一种保险，更是一种人文关怀的体现，一种对社会责任的承担。它减轻了人们在大病医疗方面的负担，为了能让每个人都能享受到更好的医疗保障。.这一种精神才是值得我们大力宣传的重点，让它成为我们
1703808243# #72岁阿婆寒冬跳水救人称是本能【点赞！江苏一72岁阿婆跳入冰冷河水救幼童】近日，江苏常熟。4岁幼童不慎掉入河水，在水里拼命挣扎。当天气温已低至零下，路过的72岁阿婆邹水英不顾危险，扎进冰冷刺骨的河水中，将男孩救上了岸。此时小男孩双眼紧闭、嘴唇发紫，邹水英与村民忙对其进行了急救。随后
1701580895# #市监局回应美少女手办涉黄【市监局回应美少女手办涉黄：将依法依规调查处理】售卖美少女手办电商月售4.5万单12月1日，《焦点访谈》节目曝光了合肥一家电商网上销售适用年龄7-14岁的“美少女”人偶，记者网购后收到实物全裸。12月2日，红星新闻记者发现该电商销售页面显示，最近30天支付订单数4.
1703146891# #鬼子和汉奸们，为何用毒教材公然挑衅我们中国人？因为它们畸形扭曲野蛮丑恶认为日本侵华没有错。所以，必须清理它们。太扭曲太脏太恶。
1699053829# #转发微博
1700274985# #51岁的韩国第一夫人金建希出席亚太经合组织晚宴，一身白色西装楚楚动人，被32岁帅气的文莱王子马丁直勾勾眼睛看得有点害羞！
1703086102# #请不要批发“极左”的帽子，不但容易撕裂社会，还会暴露自己。青青子衿聊首发于《今日头条》。看到“极左”这两字，我就想到了湖北省原作协主席、女作家方方，她的《武汉日记》成为烫伤这个时代一簇火苗，当成千上万、乃至上百万人对批评质疑的时候，她对质疑者一律以“极左”、“左棍”回怼，并且将质疑
1700712883# #太原未交保护费中专生在事件曝光后受到威胁。上游新闻此前刊发的《太原一中专学生疑因不交“保护费”遭校园暴力，学校回应称警方已介入调查》报道显示，学生家长反映，山西省畜牧兽医学校两名学生多次在宿舍内遭同学群殴、被施暴者教唆互殴，起因系不交“保护费”。一名受害者曾在施暴者的要求下和另一
1703119064# #【刘强东回归一年，京东现在怎么样了】刘强东回归一年，从“收权”开始。自从刘强东于今年2月正式回国工作，京东便开始动作频频：上线百亿补贴、开放生态、组织变革、推动流量平权……不管怎么调整，核心的目标都是把价格降下去，重塑用户对京东的低价心智。之所以还未奏效，要么是方法错了，要么是执
1701988470# #江苏连云港海域发生地震，山东多地网友反映有震感。中国地震台网正式测定：12月07日23时01分在江苏连云港市赣榆区海域（北纬34.90度，东经119.86度）发生3.8级地震，震源深度8千米。央视新闻
1699169970# #"世界正在放弃加沙！"。活动人士发起运动，要求国际社会采取行动拯救加沙。以上内容素材来源于网络，如有侵权请联系本人删除，
1702511786# #一张老照片打脸了很多人，这才是真正的下基层。伟人的伟大总是在不经意间显露出来的，这张照片是伟人70多岁时去农村调研，咋一看也没什么特别的，但你再仔细一看就会有大发现了。伟人为了不踩坏田里的庄稼，老人家一只站在田埂上，另一只脚斜贴在田埂一侧的土坯上，干过农活的都知道，这样站着是很难受
1700353879# #1971年7月，中国大使张伟烈正在摩洛哥王宫参加盛宴，突然大批士兵冲进来猛烈扫射，瞬间死伤200多人，张大使满身是血危在旦夕。。在这混乱和绝望之中，张大使的头脑却异常清醒。。他知道，作为外交官，他不仅要保全自己的生命，更要尽可能地保护同胞和其他无辜的参宴者。他快速思索着逃生的策略，同时注意
1702441772# #任达华追忆周海媚：她身体一向不太好，不可以用力碰。港星周海媚11日因病离世，享年57岁。12日晚上9时许，周海媚工作室悲痛发文证实死讯：“海媚姐因病医治无效，于2023年12月11日离开了我们。”不少粉丝及艺人好友都纷纷发文怀念她，包括有：陈法蓉、张文慈及吕良伟等人亦有发文怀念。。据港媒报道，任
1703481912# #中疾控：当前新冠病毒活动处于今年以来最低水平。中新网北京12月24日电(记者李纯)中国疾控中心传染病管理处呼吸道传染病室主任彭质斌24日在北京表示，当前新冠病毒活动处于今年以来的最低水平。。。当天，国家卫生健康委员会举行新闻发布会，介绍冬季呼吸道疾病防治有关情况。彭质斌表示，根据12月11日
1701752045# #以色列驻联合国大使吉拉德·埃尔丹，在将联合国秘书长古特雷斯骂得体无完肤后，日前又将火力瞄准了索罗斯，指责这个犹太亿万富翁，却干出了资助“毁灭以色列”组织的勾当。
1701997476# #-热心无双书签：纪念伟人，引发了强烈的社会争议。背后的斗争和焦虑，难以掩...-今日头条
1700800123# #苏大惠苏大帮只要把老百姓的需求真正放在心里，粉丝众多就无需担心。今天看了江苏医惠保1号的微信公众号，链接🔗做的不错。实际预览观看，发现江苏医惠保1号确实体现了政府部门的真心诚心和爱心。为人民服务，让人民真正有幸福感安全感和获得感，这样的惠民措施才能叫得响，叫得远，得人心！“
1701133087# #胖哥畅谈天下事超话【湖南姑娘点赞陕西大叔！拍客无人机坠落村民连夜翻山找回】湖南长沙的曾莎是一名摄影爱好者，近日，她受邀来到陕西安康镇坪县参加红叶节摄影赛。傍晚时分，在拍摄取景过程中，曾莎的无人机不慎坠落山中，她一时束手无策，下山时遇到了当地村民柯其宗。了解情况后，柯其宗连夜
1703289921# #革命圣地鲜花鲜花鲜花鲜花
1701125164# #转发微博
1701594351# #没有抗美援朝的胜利，就没有中华民族的扬眉吐气！他是毛岸英，请别吝啬你的手，请为他点赞！纪念抗美援朝伟大胜利
1699237120# #【祝愿你健康快乐的成长】。牵动着万千网友心的加沙宝宝小沙姆，她还活着！醍醐军事巴以冲突来源新浪微博，如侵权联系删除
1699860005# #苏大惠"江苏医惠保1号"最新消息：大数据显示投保人数突破200w！超过6成的用户都是为家人投保的，续保用户也超过60%，真正做到“守护小家，温暖大家”，日前，苏大帮正在挖掘投保人的更多真实案例，希望把这份温暖，让更多的人感受到。
1701665849# #奥司他韦医院定价仅需20元【风暴眼丨奥司他韦被依赖的一年：年轻人的救命药，企业股价上涨的神药】奥司他韦医院定价仅需20元东阳光药上半年净利润同比增加3238.9%多家药店显示可以即时送达的奥司他韦颗粒有的价格超过上百元，奥司他韦胶囊售价有的高至339元。而同一厂家、同一剂量的奥司他韦，
1699940148# #缅甸明家4人因涉电诈被悬赏通缉“四大家族”成员忏悔劝说家族“铲除电诈”诈骗明学昌这是近一个月以来，中国警方第二次集中悬赏通缉缅甸电诈头目。10月16日，公安部刑侦局曾对缅甸佤邦建设部部长鲍岩板、勐能县县长何春田发出悬赏通缉，两人随后被佤邦当局宣布撤销职务、开除党籍和军籍。中国
1703581210# #3娃非亲生男子称3个孩子没一个理我【3娃非亲生男子称3个孩子没一个理我，自己给父母丢脸了】3娃非亲生男子称自己给父母丢脸了据潇湘晨报报道：12月25日，“结婚16年3娃不是亲生”事件当事人陈志显告诉记者，他起诉妻子及“第三者”的诉讼将于12月28日在江西省德兴市人民法院开庭审理。。。“我至
1700031276# #【山东一学校回应校服被质疑像寿衣：汉朝风格不会更换】11月14日，网传山东临沂罗庄区光耀实验学校冬季校服被指像寿衣。图片显示，有祥云和衣襟。网友称，确实有点瘆人。15日学校回应校服被质疑像寿衣：校服挺好看的，是汉朝风格，穿起来很漂亮。说像是寿衣属于个人看法，谁也阻止不了。事先征求过
1702442370# #火锅店给顾客吃“口水油”，被罚赔500余万。火锅店使用“口水油”，涉事人员不仅面临刑罚，还可能被巨额索赔。。安徽淮南中院近日二审宣判的一起生产、销售有毒、有害食品案例显示，一家火锅店将客人吃剩的废油提炼加工成“口水油”继续给客人食用，持续两年十个月之久，累计销售火锅锅底6.5万余个，销售
1700203793# #广西中医药大学让留学生进女宿舍楼洗澡，学校回应11月15日，广西南宁。大学生发文称学校让男生到女生宿舍洗澡，并张贴提示称“因留学生宿舍楼供应的热水温度不够，现提供7栋713、714为男生临时澡堂”。广西中医药大学宣传部老师回应称，当天留学生楼的热水泵突然坏了，留学生楼住有研究生和留学生，天
1699318409# #转发微博
1703206239# #转发微博
1699401136# #苏大惠这两天医惠保销售非常火爆，用过的人都说好，群众的眼睛是雪亮的
1700269937# #无情无义之徒
1703637179# #华春莹超话华春莹：世界很大，英国地方还比较小，这禁令阻止不了华为壮大！
