1693965133# #张艺谋这标题党写的真吓人，太无语了允悲
1699360245# #上世纪九十年代的上海老城厢！
1696158519# #鸡鸣寺的这只福猫确实善喜好可爱，再这样撸下去感觉是要被撸秃了嘻嘻嘻嘻
1693976740# #巴奴回应子品牌被指羊肉掺假现在市场上的牛羊肉大多有参假嫌疑，这个已经是餐饮街公开的秘密了。
1696423728# #他培养了多少家喻户晓的科学家？
1696140812# #近日，一乘客因行李问题与列车长争执，列车长喊来乘警称对方辱骂，男子全程条理清晰据理力争，一番话解除误会。国庆节泰山的第一缕阳光
1699233690# #这是一张让人心酸的照片，是1985年，12岁的奥马伊拉生命中最后的影像，此时她已经在泥浆中浸泡了多时，但她始终没有放弃，泡的发白的手依然抓着木头，但眼中已经几乎没有眼白了，生命力在渐渐离她而去。。。1985年11月13日，一个在我们看来稀松平常的日子，可是对于远在哥伦比亚的人来说却是一个记忆犹深
1695379927# #西方国家减排原来是“放空炮”，丁仲礼院士预言成真！丁仲礼院士预言成真建立中叙战略伙伴关系
1701680153# #女孩因无座发飙被怼后叫嚣杀人家庭教育出问题了。不懂得尊老爱幼的美德就算了，还对此在公共场合破口大骂，真是一点素质都没有。真希望女子能在社会上吃点苦头，能帮助她的成长。
1699860961# #听说还有几位企业家也约谈了，情况有点类似。一切必须依法办案，才能树立党的威信！
1702465167# #室友修床失误直接翻下床室友上铺勤劳修床，一个后空翻反摔在地，“脆脆鲨”室友命真大。
1702292130# #结婚3个月离婚106万彩礼被判返还80万短短3个月的时间，而这26万元的彩礼折算成月收入达到了6.5万元！这个数字会引发对婚姻、金钱和社会价值观念的深思。
1703816669# #上海宝格丽酒店跨年夜房费高达30余万每到这个时候，别说高档酒店，就是普通的酒店，价格基本上也要翻上几番。平时不到两百块的房，跨年夜价格要到四五百块。贵是真的贵，这年跨不跨也就无所谓了。
1692097169# #老板还在笑呢，还不知道事情的严重性，过两天就会爆满
1687137099# #南宁地铁推倒女站务员男子已被行拘不能喝就别喝，你却一定要喝成这操行，这下子凉凉了吧。但凡有点酒品，有点酒德，都做不出如此没德性的事，小酌可以舒心，喝大爱闹事的还是别喝了，丢人！警方通报男子地铁站赤裸上身将女子压身下
1701560068# #袁世凯家族到底多有钱。。1913年春，袁世凯自迁入中南海后，直至病逝的三年时间中，他仅出过三次中南海。一次是1913年10月10日，赴太和殿宣誓就任大总统；一次是1914年9月28日，赴孔庙祭孔；另一次是同年12月23日至天坛行祭天大礼。。。袁世凯每次出中南海，仪銮警卫与前清帝王并无二致。比如至天坛行祭天
1701827590# #昔日“白卷英雄”今成“财富英雄”。。一份普通的招股说明书，无意间披露了一段鲜活的历史。2012年证监会官方网站发布的辽宁禾丰牧业招股说明书显示，其第五大自然人股东是曾经的“白卷英雄”张铁生。从1973年高考交白卷被录取，到1983年被判有期徒刑15年，张铁生的人生可谓传奇。若此次企业顺利上市，其
1692496086# #下面这张照片拍摄于上世纪五十年代，一名男子拿出一个“大针管”，对着一名女子的头部，喷出白色的粉末。女子赶紧用手遮住了孩子的脸。他们这是在干什么？。。八零后的人可能已经不知道这是在干什么了，但是六零后和五零后倒是印象十分深刻。。。建国初期，我国不管是经济还是科技方面都比较落后，全国都处
1703385055# #女生回应被老鼠咬手后反咬老鼠头这姑娘也是个狠人，下的去嘴，非凡勇气也！！换上我，就不敢了。惭愧，惭愧啊！
1689905121# #近日，青岛一男子称海上钓鱼钓到“飞机”，“太沉位置已报海警处理”。可能是外军投放到我沿海收集情报的无人潜航器。郭京飞微博后缀连起来是圆周率
1691926701# #男子要女孩微信被拒后对其爸爸动手视频警情通报说白了，现在造谣的违法成本太低，以后但凡是构陷造谣上社交媒体热门的人，一律全网封号，再拘留半个月和罚款1万块，看看还有哪个为追逐流量想当网红的犯贱！
1693705652# #重庆警方通报母子3人家中去世生活平稳，老公很好，为什么就抑郁了呢？另外，千不该万不该不该带走子女，小孩是无辜的呀，可怜两个小孩了泪
1693192792# #取消了印花税都不是根本，关键是要规范上市公司的造假、套现、分红等等，只有把标的物搞好了，具有造血功能了，才具有投资价值。
1700185187# #娃娃们给大人们上了一堂生动课！
1687664071# #人为制造交通拥挤、混乱！这种所谓的调休小长假闹剧早就该取消了！让百姓重回正常生活轨道。旅游业已经充分市场化，过多的保护和促进措施反而导致旅游业畸形发展
1700803820# #大多数中国在泰乞讨者系正规渠道入境关键是全被毁容了。可见他们的手段极其残忍，必须要抓住这帮犯罪团伙。
1689830900# #49岁的“兄弟”想钱想疯了，不知道是不是刷抖音刷多了，被所谓的“懂哥”忽悠去起诉
1692847344# #我觉得核废水排海这件事的背后还隐藏着更坏的事。当初美国是怎么干掉苏联的，就是通过制造粮食危机来引发了苏联的通胀。
1702630497# #网红员工给CEO们上了一课看看老俞和小孙的道歉表情，一个像哄孩子，一个是照本宣科，两大身价过亿的老领导，堪称伯乐知己的贵人，真诚也罢、演戏也罢、战略也罢、形式也罢，主动也罢、被动也罢，情愿也罢、不情愿也罢，反正该做的都做了。
1690195376# #遇到建筑物坍塌时该如何自救遇到建筑物坍塌是一种危险情况，需要谨慎行事。以下是一些建议，以帮助您在这种紧急情况下保护自己：。。1.保持冷静：尽量保持镇定和冷静的状态，这样您可以更好地思考和采取适当的行动。。。2.寻找安全位置：迅速寻找离建筑物坍塌区域远的安全地点。如果可能，尽量选择开放
1692859134# #日本现首相是否知道小男孩？日本福岛核电站排放核污水这是让全世界人类陪他们重温小男孩，是有计划性的！
