1703061698# #-1# #759# #0.8334831781815589
1696485362# #0# #42# #0.01107674051492966
1701989145# #0# #48# #0.3565961253733004
1688984728# #0# #12# #0.05460816657725678
1699017299# #0# #18# #0.6449003707668749
1691222511# #0# #4# #0.7616756133586525
1699696257# #0# #45# #0.20584072596421935
1696732987# #0# #4# #0.23420952044046256
1703317978# #0# #82# #0.14765489850643762
1700316851# #0# #8# #0.4008304656622291
1696570958# #0# #13# #0.44154011100525403
1698651925# #0# #11# #0.2059494409583982
1703263350# #0# #44# #0.40793230871721803
1693735830# #0# #10# #0.017279226658991082
1689956714# #0# #51# #0.020870564913363983
1702609900# #0# #22# #0.12565870679048782
1699788251# #0# #15# #0.9991460942810952
1700290865# #0# #11# #0.20839602082466313
1697697535# #0# #4# #0.4693155272375195
1701660652# #0# #12# #0.11512765402123722
1690214691# #0# #97# #0.39493940732866245
1691427821# #0# #67# #0.009286960368467604
1696731275# #0# #18# #0.006583277946953381
1702045513# #0# #3# #0.5747415497731531
1701352093# #0# #4# #0.988614079383117
1690975890# #0# #68# #0.010083132784769524
1690907081# #0# #17# #0.4347513814493144
1699446775# #0# #74# #0.1729721956859264
1702660976# #0# #9# #0.010614589908983691
1690360713# #0# #23# #0.0875811583631369
1693879906# #0# #50# #0.03688160999810959
1701608589# #0# #20# #0.012837140928531337
1688468013# #0# #16# #0.19912250504097098
1689500293# #0# #106# #0.021045314350806955
1697437135# #0# #62# #0.01616561088276481
1693554313# #0# #11# #0.14483234242759935
1700145846# #0# #33# #0.5404311531751772
1692753079# #0# #148# #0.21453977514739236
1702812603# #0# #24# #0.12810238772599242
1690821175# #0# #475# #0.18910972965286796
1698216621# #0# #34# #0.5739705408084649
1689501064# #0# #12# #0.09883537822479621
1701343176# #0# #75# #0.3474703984175442
1689333936# #0# #34# #0.4384066901790708
1697937411# #0# #15# #0.19168027999614795
1695786590# #0# #20# #0.10992800887608847
1696321237# #0# #132# #0.012439593952368834
1691582206# #0# #25# #0.25590991266802793
1703507453# #0# #6# #0.06209904370745357
1689041093# #0# #59# #0.8568772494671624
1702317231# #0# #47# #0.3030320772631248
1693025473# #0# #897# #0.07491949086668376
1693459893# #0# #7# #0.09401631186773386
1692327356# #0# #35# #0.004788310561504383
1700745323# #0# #5# #0.048273045218593
1689603037# #0# #12# #0.0023907223268125636
1693301903# #0# #13# #0.2091925750774758
1690033479# #0# #7# #0.029257587005941457
1702389897# #0# #45# #0.009994605163413734
1701153921# #0# #9# #0.015308108150473893
1695813200# #0# #11# #0.0032857935085157906
1694059542# #0# #17# #0.29157460549868985
