1691821336# #盛总要不身先士卒再生一个吧，我给你个小目标——子女数量赶上产品数量哈哈
1697162446# #嘻嘻嘻嘻嘻嘻
1699508372# #我对不了解的事情不评价哈
1700118223# #基金超话。微盘股指数太火，万得都开专题电话会议了。。所以甭管你是价值投资还是XJBC，只要能靠实盘真金白银帮持有人赚到钱的事儿，大家都愿意参与。。只是这市场生态环境实在太差，能赚到钱的领域太少了........
1699109960# #基金超话。这周跑股债性价比数据，比较有意思的一点是国内10年期国债到期收益率还大幅下行了5个BP，导致这周小幅反弹后其实股债性价比分位数还进一步优化了。。以上不接地气文字按照“说人话”要求翻译过来就是——白涨了，A股比反弹前更便宜了.........
1697511756# #基金超话。通过8月中下旬至今的“相关性分散”操作，在昨天万得偏股混合型基金指数跌幅0.98%的情况下，《慢慢变富》跌幅控制在0.6%左右，最近两个月相对偏股混合型基金指数的超额也在显著扩大中。。在没有股指期货套保、同时严格遵循业绩基准的情况下，我能做的也只有这些了。。至于那些动不动问“今年
1698029434# #基金超话骑行超话。天天跌，还好我转型“骑行博主”了笑cry笑cry笑cry
1700806374# #因为我嘴上都在通知啊，而且我觉得对于这个产品了解之前，还是要谨慎，别把它当成保本保收益的了……
1701751517# #基金超话。今天继续买入10发短久期美元利率债，目前100发子弹还剩30发打完。。对比大A，还是很香的……。。【风险提示】。请根据自己的风险承受能力选择投资组合，市场有风险，投资需谨慎。
1694581449# #基金超话。为了防止你们开黑车，直接给你们“暂停”了，这方法绝吧……嘻嘻嘻嘻嘻嘻
1701603902# #死党：高圆圆这么多年了，好像从来没有老过啊。。不屑回应曰：a股这么多年3000点，不也青春永驻？我们骄傲过吗？
1697093683# #基金超话。确实市场人气堪忧，涨了1%大家都没啥水花，主要是之前几次胃口被吊高，之后被砸得太惨了吐
1691214745# #感谢男篮，让我知道原来佛得角也有篮球笑cry
1702546246# #骑行超话。天黑之前没骑到三林摆渡口，坍台允悲允悲允悲
1699334009# #小孩教育我管得比较少，但财商我是很关注的，总不能让他长大之后被《必胜战法》割韭菜吧
1702274194# #感觉郭奉孝下午出来上班了........
1693054124# #第二节全程看了，已经可以关上电视机了。差距主要还是在锋线上，这也是东亚人种的老问题了，对抗身高尺寸跟得上对手的周鹏，动作速率跟不上；动作速率和身高跟得上对手的张镇麟，对抗跟不上，历史上国内在尺寸、动作速率和对抗能和欧美人抗衡的锋线我只见过两个1、巅峰期丁彦雨航2、上海队的徐咏
1701085862# #基金超话。前两天在和40感慨，在机构里做投资研究的这帮人（营业部这种级别不算，虽然口头上都说自己是“做研究的”），学历是卷到天上去了。。比如我最近新看上的3个基金经理，三个人管理规模加起来也就10亿出头，但无一例外都是清华毕业的。。要是在其他行业来了个新同事，说自己“清华毕业”的，咱
1691728918# #基金超话。太平洋：让我带兄弟们再冲一次吧……
