1699076796# #3# #650# #0.024000662159815812
1703585882# #-1# #2# #0.006565080543720022
1703780476# #-1# #0# #0.004578907100932918
1703943261# #-1# #0# #0.004578907100932918
1703923652# #-1# #0# #0.693743872749513
1703670966# #2# #3# #0.3011843347079887
1703776171# #-1# #1# #0.004578907100932918
1703837887# #-1# #0# #0.022367635382197285
1703842466# #-1# #0# #0.004578907100932918
1703847826# #-1# #0# #0.12062587208190743
1703854671# #-1# #2# #0.062024878356958996
1703914965# #-1# #2# #0.021442083156995712
1703812051# #-1# #0# #0.9783020956941474
1703906413# #-1# #4# #0.004578907100932918
1703603211# #-1# #3# #0.04476594898500541
1703867623# #-1# #0# #0.1827333122102667
1703854266# #-1# #2# #0.39998931606062077
1703984217# #-1# #0# #0.007473310052291717
1703736371# #-1# #0# #0.004578907100932918
1703644443# #2# #1# #0.02017555240322106
1703946535# #-1# #4# #0.025426470724434984
1703633872# #-1# #0# #0.004578907100932918
1703810295# #-1# #5# #0.022367635382197285
1703716142# #-1# #0# #0.025357253253230544
1693727018# #0# #0# #0.19621677708449786
1692833812# #0# #0# #0.6864272042699083
1690361060# #0# #0# #0.6864272042699083
1693837577# #0# #0# #0.6864272042699083
1695108282# #0# #0# #0.17160523726904872
1689474097# #0# #3# #0.014087713317985208
1693270390# #0# #1# #0.3893774196332671
1701961832# #0# #3# #0.6864272042699083
1696153500# #0# #2# #0.48768954323715974
1691189253# #0# #0# #0.11819017623497276
1699170116# #0# #0# #0.6864272042699083
1693784179# #0# #0# #0.09996881183122751
1689347115# #0# #0# #0.6864272042699083
1690703223# #0# #3# #0.9984640616649207
1697708596# #0# #1# #0.6864272042699083
1689864337# #0# #6# #0.9960079360612172
1698716034# #0# #0# #0.14769293698190727
1687039911# #0# #2# #0.03604267200035555
1697073342# #0# #0# #0.6864272042699083
1693367517# #0# #0# #0.6864272042699083
1689427323# #0# #0# #0.6864272042699083
1688824981# #0# #2# #0.1480507184976483
1699915640# #0# #1# #0.9048655141685379
1698364764# #0# #0# #0.6864272042699083
1692861831# #0# #2# #0.004958172472790634
1692317840# #0# #3# #0.050406459865505675
1692016563# #0# #2# #0.6864272042699083
1691306097# #0# #2# #0.41792504831770677
1703811892# #0# #0# #0.5246821015692377
1691586219# #0# #0# #0.6864272042699083
1703230010# #0# #1# #0.012842493683337232
1693784601# #0# #4# #0.015085902784984097
1703846129# #0# #0# #0.9450275619111524
1693752756# #0# #2# #0.12471673770581632
1699174309# #0# #0# #0.6864272042699083
1699794144# #0# #3# #0.6240861050738918
1693812893# #0# #0# #0.6864272042699083
1703848025# #0# #2# #0.10429853110404018
1692834405# #0# #1# #0.6864272042699083
1693145735# #0# #2# #0.017798754346632424
1703839905# #0# #6# #0.9083818822654367
1690414023# #0# #0# #0.6864272042699083
1693611127# #0# #1# #0.8339838811914352
1691764818# #0# #0# #0.6864272042699083
1693306459# #0# #2# #0.869507401628917
1693697761# #0# #2# #0.4795615350495565
1701508886# #0# #0# #0.6864272042699083
1696247583# #0# #0# #0.6864272042699083
1698715124# #0# #0# #0.6864272042699083
