1700114003# #这联通服务越来越不靠谱了🙏🙏
1702640211# #心中的老师就应该是这样的。博学多才，传播国学，传播师道，传播正能量，传播爱国主义情怀，传播善良……
1699161589# #中医玩转阴阳超话。喉痒，喉中有易物沾喉中，这喉痒，喉是，胃和肺的通道，脾胃为戊己二土，肺为金，当戊己二土过热，土地就干裂扬土，土灰飞杨连起，沾于喉中，比如从前大马路是土路，干旱天气时，车水马笼过多了，土地上的灰土就飞扬空中，落于路两边的树叶上，这人的戊己二土在脾胃，当脾胃二土
1700186128# #中医玩转阴阳超话。信而不迷信。有自己的观点。前提是你的朋友在你的指导下自己调理好了痛风。🙏🙏
1702967840# #每日萌宠打卡。学识，悲悯，共情。从骨子里透露出的善良。有能力，全世界都会有你的舞台。🙏👏鲜花
1698117321# #中医玩转阴阳超话。你说这人为什么生病啊？。。看看以前书上写的笔记。。。1体内有热，内有邪阳。阳行外，邪阳就写在脸上，所以有些人脸上的妖红色是病态的外在表现。。2外头风一吹，受凉了，所以天气变化容易着凉。吹空调也一样道理啊。热胀冷缩，冷了毛孔收缩，体内邪阳排出去的大门就关起来了。。3大小
1690594286# #中医玩转阴阳超话。早上在群里看到网友分享的一段视频，今天咱们来就事论事的聊一聊。。。1，药对症半碗汤，吃了几个月不好的话，方向不对呀。。2，脸色青灰，身体虚寒上火，嘴吧里面起东西，湿热熏蒸，虚火上炎。等等。3，想彻底好就需要分几个层面解决问题。。1开鬼门，解决体内各种邪气的排出问题。。2
1696416623# #转发【派出所反诈骗提醒告知】。&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;近期电信网络诈骗案件频繁发生，各类诈骗手段层出不穷，为了确保广大群众的财产安全。。&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;警方提醒广大群众牢记十个“凡是”和反诈灵魂八问：。&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;一、凡是网上兼职刷单都是诈骗;。&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;二、凡是网上投资理财高回报高收益的都是诈骗;。&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;三、凡是网上办信
1700488323# #微博能搞一次现场解决问题的PK么？不管你是谁，有料，有能力你就来。期待玩点花样，有点新意。条条道路通罗马，中医拼的是解决问题的关键是出现往好的方向的转折点，拼的是用药，用料，用法的安全，快速，有效果，用量小，口感的好坏，身体反应的状况等等。搞点实际的呗，围绕支原体肺炎可以不🙏
1692576600# #从今年的挖呀挖呀挖，到刀郎的新歌又鸟，马户，到李玟被打，再到网友深挖电视台和媒体制作，到赞助商，最后挖到了默多克。666666666666666666。资本大佬没人敢惹啊，业内大佬轮翻站台。还有多少默多克，还有多少大牛人，还有多少大佬在中国挖呀挖呀挖？🙏🙏
1693703845# #中医玩转阴阳超话。网友的分析，怎么看？🙏鲜花
1701618857# #中医玩转阴阳超话徐文兵可能也真的是生气了🙏🙏
1693922115# #中医玩转阴阳超话。保护水源地。作为公用事业的水厂，公路，等如果出租，拍卖给外国资本管理，未来是不是很可怕的事情。🙏🙏。卖地，卖经营权，还有什么能卖的？为官一任……🙏🙏
1696221255# #转发微博
1697078925# #中医玩转阴阳超话。春木，经气初出，春天万物萌发。。秋金，经气正盛，咳喘寒热。
1695688558# #中医玩转阴阳超话。早上测了一下
1697963104# #中医玩转阴阳超话。西医用抗生素是寒热细菌斗争。打累了中场休息。一个不服气就再接着打。。中医是清场，清肠，排出体内垃圾，细菌，毒素。。可以这样理解么？。。时代进步了，2G也升级到5G了，绿皮火车也升级到高铁了。老牛拉破车的时代好像已经过去了是吧？如果打了这么久还不能解决问题，那就学习古
1701832726# #热门榜单超话
1693310693# #中医玩转阴阳超话。老人80岁，看到这个图片，想说什么🙏鲜花。感恩美女的分享。听说老妈妈今天晚上心情还不错🙏鲜花。疼痛是邪实，手法调动人体的水液灭火，清热，疏通，能量转移，等缺一不可。。清热的同时，调动体内阳气。昨天做手法的时候，摸到身体发凉，手法推过立刻发热。。头发凉的，
1695735450# #中医玩转阴阳超话。禅拍
1700728357# #单纯的排白痰，或者单纯的排黄痰等经典古方可以，但是目前情况比较复杂，多数寒热互结，下焦淤堵，体内有的可能是白痰，黄痰同时存在，目前情况下有的咳嗽后出现绿痰，不排除传染性病源。🙏🙏
1691733442# #中医玩转阴阳超话。用伍行手法，10ML一口清配合大量喝热水调理一次皮肤的变化。。。脸上妖色的红退了，皮肤的每个毛孔都在出汗。皮肤变的光泽，明亮，隐隐的黄。。舌头左边的肿也在消退。。。我们传播的是理念，把思路，方法和治则分享出去，每个人学会自救。林老师从几年前看到我们微博的分享开始关注我
1699463478# #🙏🙏
1700962964# #中医玩转阴阳超话。。自古先有民间中医，再有官方中医，双方共存了几千年，资本横行的今天就容不下民间中医存在了？。。法律法规的制定是以道德良知，国家政权的稳定为基础的，对不？。民间中医这个名称就说明他是中医对不，这个名称是不被官方认可的，但是是被老百姓认可的，被人民认可的，被几千年中
1695461623# #转发微博
1695429725# #尝过人间美味，难得遇见伍行原味鸡汤，沁入心脾，动物食材的杂味洗净铅华后的纯净，纯味。会成为心心念念的味道。🙏鲜花
1687841484# #中医玩转阴阳超话。网友的分享，这个怎么解释来？🙏鲜花
1699790616# #
1699942719# #中医玩转阴阳超话。尊敬的父母官们，那些通过专长考试的能上场解决问题么？如果不能解决问题的话，没有医师推荐证明，可以毛遂自荐么？可以把救急当成中医专长考试的现场考核么？。。如果国家的法律法规不是为人民服务的，那是干嘛用的呢？🙏🙏
1691982458# #中医玩转阴阳超话。网上看到的，转发分享。。认识中医西医。今天中午受邀和一个意大利家族老朋友一起吃午饭。期间我们一起回頋20多年的交往历程。。饭后回来休息，无论如何也睡不着，20多年的往事历历在目，索性不睡觉了，把回忆写出来让我的朋友们一起分享一下吧。。我是1999年来意大利行医，认识了这
1691551172# #中医玩转阴阳超话。最好的医生是自己。这话说的有道理啊。真的生病了你敢给自己医么？有位名中医就说过某西医专家，非典时期自己的子女找名中医治疗的事情。医不自医或许成了这位专家一生的软肋。。20多年没有犯过的痔疮前些时候犯病了，痛的坐板凳都痛，要是去医院说不定需要做一个小手术。于是网上
1700141457# #中医玩转阴阳超话。
1701652393# #中医玩转阴阳超话轉：向大家特别推荐一部关于武汉封城所拍摄的纪录短片，一共九集。我已经全部看完，看到第七集泪崩了……，因为封城没有车，普通看病出院的一对老夫妇，老爷爷推着老婆婆准备走3小时才能到家。。这场天灾，让无数普通百姓买了单，想想人类是多么脆弱。但在灾难来到时，又涌现
1692544810# #中医玩转阴阳超话。身体出现异味需要及时排毒。正常人身体不用香水也会有淡淡的体香。我们的身体如果出现异常的味道，一定要记得及时排毒。毒发于皮肤，我们肉眼可以看到。。毒在体内，可能会从里面腐烂，我们的眼睛是看不到的。气味异常就是身体发出去信号。。20多年前，同事得了砍头疮，名字听起来
1700751913# #中医玩转阴阳超话中医玩转阴阳超话。
1698404285# #转发微博
1687075611# #中医玩转阴阳超话。。我们的研发就在这里静静地接受时间的检验，好的东西一定是经得起岁月的沉淀对不？。。如果现代医学不能解决的问题，我们解决了。您需要，我们刚好有。安全快速有效，对人体没有伤害的中医养生，整体观自然调疗追求的是调理过程中的舒适，没有治病的感觉，身体却在悄悄的往好的方向
1699395085# #中医玩转阴阳超话。立冬谚语:。1.立冬晴，一冬晴；立冬雨，一冬雨。。2.立冬那天冷，一年冷气多。。3.立冬前犁金，立冬后犁银，立春后犁铁（指应早翻土）。。4.立冬北风冰雪多，立冬南风无雨雪。。5.重阳无雨看立冬，立冬无雨一冬干。。6.立冬那天冷，一年冷气多。。7.立冬有雨防烂冬，立冬无雨防春旱。。。
1700724003# #中医玩转阴阳超话。像这个情况，用温肺化痰的比如三拗片，基本上毛用没有，用消炎会加重内寒，强力镇咳只是缓解，就算是用了雾化也是加重内寒。反复发作，越治越严重。。这个治法真的没有问题吗？学术界为什么没有人站出来质疑呢？。这么多的专家院士，教授，医生，确有专长的，谁能站出来，拿出好的
1702438931# #人民的眼睛👀是雪亮的🙏🙏
1699793178# #中医玩转阴阳超话。
1687325303# #中医玩转阴阳超话。今天中午炒菜不小心手腕被被滚烫的锅边烫了，吱的一声，立刻就感觉到痛，想都没想，拿来京万红先敷上。水泡没有起来，疼痛慢慢消失。。。遇到问题第一时间快速解决，不能丝毫的拖泥带水，一般情况回头再敷点药基本就好了。处理不及时或者处理不当的话，水泡很快就起来，在愈合可能
1698135067# #打假打假，这些才是真正的假真正的恶才是真正需要打击的，没有底线的害人的道德败坏，是国家的败类，是人民的公敌。。不严厉打击最终会损害整个国家的信誉。损害国家的经济发展。。民间好的研发成果国家是不是应该给于帮助，支持研发成果转化，造福社会，造福人类呢？。。让老百姓吃上放心食品，让人民的智
1700238031# #转发微博
1700564479# #中医玩转阴阳超话。堂姐家的娃咳嗽的声音，有空洞的感觉，体内有热，才会燥。手法泻热，经络疏通解决淤堵问题。福建林老师做的非常好。
1693050681# #
1700745569# #中医玩转阴阳超话。我们在2020年武汉疫情的时候就在微博发文说未来可能会出现很多的肺部问题的病人。现在的情况大家都看到了。。问题出在哪里呢？我们还把分析分享出来，留给时间验证可以吗？。1干咳吐不出痰，痰液粘在肺部，吸痰也吸不出来，吐痰又很困难。。2病毒快速的攻击肺部，如果处理不正确或者
1688806815# #中医玩转阴阳超话。一口清加大麦茶一个月脸干净很多。额现在也这样用。排汗排毒排二便。消食积净化肠道，预防疾病。🙏
1701617291# #中医玩转阴阳超话。。刚才看了徐文兵老师的视频，骂娘了。他是真的生气了。感觉是对有些在其位不谋其政的人的不作为骂娘。不作为的人难道阳痿了？。。如果没有能力解决根本问题，那就不要在自欺欺人了可以么？中国这么大，民间中医就可以解决这些问题。不然呢？来个世纪大PK可以么？。。光用嘴巴不停的强
1700406208# #中医玩转阴阳超话。辛苦了，如果实在忙不过来，有需要的话，吱一声，民间中医可以支援。前提是师出无名的事情不能做🙏鲜花赞赞。冒昧的问一下，国家可以组建能解决问题的民间中医医疗队伍支援全国各地医疗资源紧张情况么？。如果可以，咱们希望可以有这个为国家效力，为人民服务，为儿童健康
1703045161# #每日萌宠打卡。宇辉老师，。不是专家，不是学者，不是象牙塔的顶流，不是领导，不是权贵，一个读过书的带货主播。把平凡的世界说成了诗情画意，阳春白雪。把中国的文化中的风华绝代的文人墨客展示。把中国山水的美丽，灵气用最美的语言诠释。把中国食物美味与纯正与世人分享。在这个浮躁的社会，以利益
1689226789# #中医玩转阴阳超话。7月12日去江苏省药物研究所开会，顺带请刘院长体验一下伍行开穴手法调理。。冰凉的后背，用手法开穴通脉以后变温，在然后来，腰椎发热，发烫，再然后整个后背热起来。小肚子凉吧，手法开穴通脉后，肚子温温的。短时间做过手法后全身出汗。。最后给外敷了黄豆点大的中药。。玩转阴阳
1700100949# #中医玩转阴阳超话。不要说什么没有特效药呀，什么药材不地道啊，科学家面对科学难道是这个样子么？只要不是假药，就应该有效果对不？如果学界过多的强调药材不地道，能说明什么呢？。好的效果来源于组方的科学性。知难而上才是中华民族的传统美德对吧？。如果真如大咖所说，能不能来一次全国性的中医
1693239840# #预感和善意的提醒，昨天早上能做的也就这些了。活着不易，且行且珍惜🙏🙏
1697368835# #中医玩转阴阳超话。从吃药止咳。到输液止咳，再到雾化止咳，是这样的吧？。咳嗽为什么反复发作呢？为什么咳嗽越来越多？为什么咳嗽越来越重，越来越难治？。国家标准的治疗方案非常完美？没有一点点漏洞？为什么没有专家出来质疑呢？。🙏🙏
1698195675# #中医玩转阴阳超话。委中主下肢萎痹，行步不利，半身不遂，腰背强痛等，专门刺络放血的要穴。能排掉通身瘀滞血毒，还可以解烟酒毒。委中疗疮痈，去流注。腰背委中求，委中是人体下游开关，通经络，散瘀止血，又是缓解压力的重要穴道。
1698291725# #转发微博
1696335569# #中医玩转阴阳超话。网友的看法。你以为不是认知的问题么？人各有志，每个人都相信自己走的路是对的，结局不一样而已。一条道走到黑，万劫不复，一条道走到健康，每一天看着阳光健康生活。答案就是错或者对。错了或许需要付出生命的代价的。🙏鲜花
1687445416# #没有科技与狠活的粽子鲜花🙏
1688218865# #中医玩转阴阳超话。手法前后对比，。手法点按以后，肚子立刻发热。看看下图右手做过有没有变化。🙏鲜花。额每天就是这样琢磨，研究。感觉还挺好玩。想跟额一起玩手法么？2分钟是多久呢？
1696570371# #中医玩转阴阳超话。网上什么人都有啊🙏🙏。
1702473403# #中医玩转阴阳超话。古代官方中医是为达官贵人服务的。有权有钱的人信任官方中医，这没毛病啊。。民间中医是为老百姓服务的。神医喜来乐是为老百姓服务的，但是他有绝活，皇帝相信他对不？。同仁堂的创始人也是帮助皇帝治好了官方中医治不好的皮肤病，从而名扬天下对不？古代的中医大家也多是从民间为
1699846913# #中医玩转阴阳超话。
1700840300# #中医玩转阴阳超话。。
1699850654# #中医玩转阴阳超话。经过20多年对咳嗽的研究观察。我们发现过度使用抗生素和止咳药治疗，没有从根本上解决问题，肺部的痰液垃圾如果不能及时排出，后期会反复发作，。咳嗽越来越难治。。。当下的根本问题是肺部痰液粘在肺部。雾化等手段还是停留在输入层面上。只有排出肺部的痰液垃圾，或许才是解决问题
1693132319# #网上看到的🙏🙏
1704090129# #祝愿2024年中国人民平平安安！健健康康！心想事成！万事顺意，祝愿我们的国家国泰民安，风调雨顺🙏🙏🌹🌹
1698378615# #中医玩转阴阳超话。转发分享。《中医故事会》普陀山理佛调腰痛。和马颖老师一起继续前行，讲一位与我们特别有缘的长春大哥一家的故事笑脸中午就餐的时候，同桌的这位长春大哥说他腰痛（以前有过车祸）连着左腿痛已不敢走路，因为腿疼昨天下午连南海观音都没能去拜，昨夜腿疼不已.痛得今天一早就不得
1700487678# #中医是有解决问题的绝招绝技，有绝活的。到了一定程度，就是在玩中医，不断的玩出新意，不断的出现各种的奇迹。今天我们做手法有再次看到把身体内的火传播出来，然后又用导引之法把燥火导出去，这位老师亲身经历后直竖大拇指
1695559833# #转发微博
1693053098# #一斤的食物放2两的小沙包，洗干净的藕包上泥巴说是保鲜。。如果不好，就应该打击，不然呢，会有越来越多人效仿，短斤少两不去管，最后很多人都去效仿。法不责众，说的是不是这些呢？道德底线如果可以被轻易击破，管理者的作用呢？。农民卖瓜，摆地摊都是为了谋生活，如果不是破坏道德底线，被作为管理对
1692423790# #中医玩转阴阳超话。宿便是癌症的种子⚠️⚠️。人要没病，肠要干净；。人要白净，肠要清净！。肠寿=长寿。常做脾胃养护，。帮助排净宿便，。做一个体内清如水的人！
1698366785# #中医玩转阴阳超话。早上起床看到这篇文章，转发分享。。
1698940819# #中医玩转阴阳超话。抓把红枣，放点莲子，百合。桂圆，薏米，红糖等熬水喝。既是食材，也是药材是不？无证，假药？无证，所以非法。自己吃可以，其它都是非法。可以这样理解么？。跟地沟油，科技与狠活等的合法相比。哪个是害人的呢？。人民的智慧和没有道德底线的败坏，是坏了人心。还是法律法规的漏
1699916072# #转发微博
1689391214# #中医玩转阴阳超话。疑问肠道息肉是怎么引起的：。1、饮食因素，如常吃刺激性、烟熏、腌制食物，可能会引起肠道息肉；。2、遗传因素，部分肠道息肉跟遗传因素有关，且癌变几率较大；。3、肠道大便刺激，炎性因素引起，如经常腹泻、大便不规律、大便干燥引起肠道炎性息肉！。引起肠道息肉的原因很多，平
1697715666# #中医玩转阴阳超话。。咱用伍行止咳哪里有这些麻烦事情啊。如果国家有需要，咱们愿意提供无偿支援。🙏鲜花。欢迎卫健委的领导考察检验我们的伍行止咳项目。都是娃娃一口一口喝出来验证过的。。我们在3月17日已经上报了民间项目申报，并且配有PPT资料。。。记得新冠疫情初期网上有一幅九连图。第六张
1699845986# #中医玩转阴阳超话。一般是长期使用清热药可能会形成这个情况。。再或者长期清热也有可能出现这个情况。。多年以前肾结石积液便血，连续喝4盒**堂排石颗粒后出现每天小便10次，严重到爬不起床。温补肾阳就可以快速解决。。当然了要想从根本上解决问题，年纪大的老人啊最好做全系统修复，恢复的更好一些
