1692014555# #7.28
1693875816# #很多人抱怨为什么只有A股实行T+1？为什么只有A股设置涨跌幅限制……为什么不能改？。。其实，不只是A股，哪里有不公获益的地方，哪里就有强大的阻力
1700033880# #方星海：将大力推进投资端改革加快打造一支强大的内资投资者队伍。。怎么样去打造呢？打造的时候，A股制度不需要完善吗？
1687916954# #关于A股，还是保持谨慎。。反正我没看到一条我想看到的信息
1696487243# #这个行业鲜有常胜将军，成为一时的弄潮儿已经足够幸运，不管基民如何亏损，她不亏。。除了个人的技术水准，A股制度漏洞、跌多涨少也要为投资者损失负责
1695602211# #中国恒大在港交所发布公告称，鉴于附属公司恒大地产集团正在被立案调查，集团目前的情况无法满足新票据的发行资格。。越来越近了…
1702256931# #那些人最搞笑，天天说八国联军，却不知道八国联军里面出兵第二多的是大鹅。。辛丑条约之后，赖在东北不走的也是大鹅，最后在日俄战争中完败才灰溜溜撤出东北
1697322199# #环球时报：租房比失业更容易让人变老。。这个报纸是很多哈粉获取外部世界信息的来源…哈哈
1697014801# #95岁以上先试点哈哈
1699502292# #确实是，欧美人不在乎你说什么，更在乎实实在在的利益。。司马南经常骂美国，但对美国的实际伤害为零。。司马南在中国赚钱，在美国交房产税，这可是实实在在的给美国做贡献。。用司马南粉丝的逻辑来说，司马南为美国交的每一分房产税，都可能被美国造成子弹、导弹来对付我们
1700274356# #终究还是投资者扛下了所有。。作为A股投资者，感觉很自豪啊允悲
1687746351# #现在的媒体，普遍可信度不高
1694915642# #哈哈
1692760364# #等待上涨的股票有4267只。。。
1703039617# #特别喜欢《让子弹飞》里的这句台词
1702951955# #国防部：坚决反对
1697589910# #拜登和普京都在国外访问，美俄较量，最终会获胜的是谁？
1701152364# #女儿上半年得过一次支原体肺炎，最近又发烧了三天，最高39.7，不咳嗽。。前天刚高烧去医院看，医生说怀疑是支原体肺炎初级阶段，开了阿奇霉素和小儿豉翘清热颗粒（之前开过，60多一盒），我说孩子实在受不了中成药豉翘颗粒那味，能不能开西药？她说没有，她说可以换了一个口味好点的中成药小儿青翘颗粒（
1690942608# #全部清仓止盈了，感谢这几天行情，全仓十六个点盈利，比上半年六个月还赚的多。。止盈原因是对没实质的消息有点失望，不过话说回来，从一开始我就不信降印花税和暂缓IPO
1691022545# #看不到就是没发生。
1697074381# #指数高开对妖股暂时是一个利空，不过这行情持续不了多久。。下来了继续做妖股
1687750206# #今天A股依旧没参与，继续吃瓜看戏。。大俄那边感觉大戏没有落幕
1689564654# #中午收盘，大校底又被捅破了哈哈
1694606691# #外交部：中国没有出台禁止购买和使用苹果等外国品牌手机的法律法规和政策文件
1697669425# #我们都是抛开事实不讲，屁股决定💩脑袋的。大师能拿我们有办法？
1698067982# #上次是5亿，这次是几亿？
1694924878# #人民民警的职责是维护人民群众的安全，保护人民群众的利益。
1696296896# #难以置信，刊登他的文章允悲
1698726222# #连万科都传言四起，地产股真的碰不得
1699505513# #苏州雷丁学校引发“有毒”地块调查，相关部门多次批准改变土地性质
1700381345# #出借个人股票账户，被罚款7万。。财报造假，公开谴责允悲
1691218265# #允悲
1687612964# #莫斯科直飞伊斯坦布尔等地机票已售罄。。估计大部分都是某些人家属
1697287091# #有利于投资者的提议一般都比难落地。。谁会为了没权没势的投资者去得罪有权有势的利益链条呢？
1693979176# #这一波地产的政策感觉都比较实在，毕竟，楼市价格上涨的最大受益者是地方财政。。A股就不一样了，先来一堆虚的，最后没人气了再来点实的。有些人总是怕涨多了、涨快了，形成股灾，费事、费神、费人……最后可能还要牺牲几个月的IPO，所以A股牛短熊长
1697679293# #不是越出政策越跌，主要是最近量化、限售股转融通、浙江国祥等新闻一直出现，A股病根全部暴露了。。但是现在开的政策药方，一不对症，二量不够，有些媒体还在无脑洗白，投资研报也每天看涨，已经失去了投资参考意义，投资者失望之下，只能躺平。。所以指数负上涨更明显了，每天待涨的股票也更显眼了。。一切
1701666282# #她如果造谣有处罚，早就被封号100次了
1687419878# #工业机器人概念股梳理
1701505355# #靠煤吃煤、靠金融吃金融、靠足球吃足球、靠钢吃钢、靠体吃体……。。他们都靠得赢麻了……。。只有散户倒霉，靠A股吃大亏允悲
1692668562# #果然，卖掉之后就拉升了
1703472207# #看和谁做邻居了，如果梵蒂冈、摩纳哥、加拿大和大鹅做邻居，你看看他们的领土会不会完整？
1697019730# #就巴勒斯坦土地问题，特拉维夫大学张平教授在几年前就对相关的7大谬论进行了一一驳斥：。。有些人为了支持哈马斯博流量，造了不少谣
1691990158# #高位再盘整两天，太平洋主力出货就差不多了
1689907701# #家电下乡已经很多轮了，能不能让钱下乡？
1693276981# #今年，两次栽在券商上。。每次梦想大一点的行情的时候就会遭遇当头一棒。。之前下跌行情做的还蛮好的允悲
1698716770# #只有傻子才会认为世界工厂不需要世界
1694995797# #始作俑者是谁？
1693131910# #重要通告：请所有骑手停止接单，牛回，速归！哈哈哈哈哈哈
1694565370# #有些蠢、有些坏的人说诺贝尔奖没用哈哈
1700984206# #不管是不是颜宁说的，其实这个道理其实很浅显。。但偏偏有很多麻木不仁的人在别人受到不公的时候信奉社会达尔文主义，觉得理所当然，并觉得自己沉默是明哲保身，觉得仗义执言的人不聪明、太偏激。。等到不公到他自己身上的时候，嗷嗷直叫，觉得每个人都欠他二百吊钱，不公过了之后，又恢复了之前鸡贼的模样
1701744211# #一人花近10万买彩票中2亿。。一群不劳而获的人，虚构了一群不劳而获的人，去欺骗一群想不劳而获的人
1703122321# #江平：我的中国梦就是法治天下，我只向真理低头。。易中天谨致挽联如次:。。江流千古求真理，法治天下开太平
