1688819764# #身无屎，就无事啦
1700097426# #分享视频
1690683436# #未来的日子，需要这样的。
1693454918# #微博VLOG大赛微博热门影集
1689767790# #分享视频
1696466924# #炸榴莲，好吃，更香
1692083872# #这才是自驾游的效果。
1688044653# #
1688011105# #小程序:
1700539634# #砖家说了，就是需要这样子的效果呀，同世界接轨，人权问题呀。小程序:
1690303483# #
1693844150# #微博VLOG大赛微博热门影集
1687004280# #小程序:
1688908943# #分享图片
1689377599# #分享视频
1687003537# #小程序:
1693442882# #天下乌鸦一般黑，没有一个养老院是好到哪里去。小程序:
1699248775# #带娃带出了灾难
1699248713# #被拔的光光的
1693565677# #.&nbsp;速转！十万火急❗❗❗❗❗❗&nbsp;各群免踢&nbsp;:不管多忙，请转发到你的另外群。&nbsp;各位朋友：中央电视台《焦点访谈》已经播出，务必把这条信息发给你知道的群。&nbsp;康师傅方便面含有日本禁用农药「多菌灵」，多菌灵可致脑麻痺、肝脏腫瘤等癌症。包括正在销售的（果粒橙），康师傅矿泉水，康师傅冰红茶，绿茶，雪
1694609066# #分享视频
1700033851# #分享视频
1692691815# #小程序:
1693368049# #一张门票，断了众生的信仰之路。。世界各地，没有一座教堂是收费的。。全国各地，几乎没有几座庙宇是免费的。。近日普陀山传出筹备上市的消息，峨眉山九华山已经上市，五台山也在积极准备登陆资本市场。。佛教名山卷入这个经营大潮，可以想到，不远的将来，泰山、华山、武当山、以及其他名山，将无
1700097380# #分享视频
1692444295# #这些民族的败类。小程序:
1687440159# #
1689529020# #分享视频
1687650894# #小程序:
1688876377# #感恩共产党的对联！。上联打打牌，散散心，退休工资不担心。。下联旅旅游，会会友，养老费用月月有。横批吃饭挣钱。。上联活一岁，算一岁，岁岁去领退休费。下联过一年，是一年，年年在涨养老钱。横批好好活着。共产党给每位退休老人派送了3个儿子。拥抱庆祝老大退休卡、
1693020910# #
1687956455# #
1690030390# #全民免费医疗。
1688550295# #
1688202777# #还有什么东西是安全的。
1688455187# #小程序:
1693970043# #听了多年，现才有机会读《牛耕田、马食谷》全文。这是一首绝妙粤谚,是广东话的至高境界。。。牛耕田,马食谷,老窦揾钱仔享福;象行田,马行日,过河卒仔无退缩;兵杀敌,将闪缩,功成身退享俸禄;男善变,女易哭,贫贱夫妻难和睦;流水清,死水浊,人望高处无满足;冰易化,钱难蓄,巧妇难煲无米粥;
1692667454# #小程序:
1699238717# #小程序:
1689497717# #分享视频
1700376236# #就是要这样子的花钱，靠孩子活受罪
1688553925# #感恩共产党的对联！
1693489007# #妖孽出没，闹剧开始！就在日本于24日排放核污水之后，我国立即停止进口所有来自日本的水产品。然而，令人大跌眼镜的是，欧盟与挪威、冰岛等国家在26日全面解除了对日本海产品长达12年的禁令。别以为他们是为了自己吃，他们比谁都怕死。实际上，他们只是换了个包装，改变了进口国家，然后又想转手卖给中
1703819933# #分享视频
1700188863# #分享视频
1692875848# #完蛋了
1688603812# #
1688202258# #小程序:
1700376218# #分享视频
1687932480# #小程序:
1688011154# #转发微博
1688550530# #小程序:
1695056456# #分享视频
1689497652# #
1699327471# #小程序:
1692416749# #砖家没法活了。小程序:
1693103064# #砖家说了，老百姓最有钱，就是需要这样子的蛋黄，能捞到钱是本事，是智商高。至于老百姓有没有吃，商家看不见。小程序:
1687314301# #小程序:
1688909221# #好大的乌龟
1687493196# #
1700376214# #分享视频
1687683823# #
1690225007# #分享视频
1692083832# #这才是自驾游的效果
1692479161# #瓜分完了的结果。
1688202028# #小程序:
1691973259# #分享视频
1699100049# #分享视频
1694512128# #砖家说了，没有那么多为什么。砖家说这是时代的进步，知道吗？你懂的。
1694676045# #小程序:
1700189176# #离婚容易，再婚更难。
1689215678# #
1703595067# #各方人士、名人，政要怎样评价毛主席：。1，“公者千古，私者一时。”（雷洁琼参观韶山毛主席纪念馆时题词）。2.“如果丢掉了毛泽东思想和公有制，中国就会完蛋。”（钱学森）。3，毛泽东同志比我厉害的多，将来他一定能让美国人看他的脸色行事，美国人绝不敢在他面前而为所欲为。（斯大林）。4，世界上不
1703387182# #小程序:
1695397765# #分享视频
1700097410# #分享视频
1687955797# #
1695366386# #分享视频
1693454971# #在日本的朋友拍的
1699155826# #大国晚宴
