1697431784# #哈哈哈哈异地恋的人都懂&amp;nbsp;&amp;nbsp;【搞笑】
1695790172# #女主：终究还是一个人扛下了所有。
1694770868# #网友投稿：被学校的留学生搭讪，聊了几句就要加微信，聊天内容让人作呕。提醒大学的女生警惕外国留学生的搭讪，以免受到不必要的伤害！
1697454351# #情侣间没话题了怎么办
1694600811# #男生愿意在大庭广众之下为女生系鞋带吗？情感恋爱
1694784406# #看完就问你服不服？？？
1700200472# #掌声有请课代表【搞笑】
1696845148# #你不是来相亲的，你就是来蹭饭的，哈哈哈。
1697436290# #兄弟，你这么皮会被我打的【搞笑】
1702469783# #有没有什么单词让你心里一动？
1702038759# #给不会做饭的朋友几条小忠告
1702016196# #台湾妹子养的一只小柴，小家伙虽然是女生但每天坚持站着尿尿，主人怕它摔倒特意给它买了防滑垫搞笑公转
1698416305# #鱼：今天这水怎么有股淡淡的味儿允悲
1698124953# #猫得到心爱的胡萝卜后，笑的好开心....搞笑迷惑
1698393750# #这大龙虾吃起来太爽了吧，看着就要流口水了！
1698143002# #你的女朋友是用什么做的???【搞笑】
1698411767# #这同学的思想觉悟真高
1694748315# #严谨的德国工人修复事故车。看得我一愣一愣的。搞笑视频
1694610845# #男朋友知道我用棉条以后，要和我分手！
1694588243# #这样的女司机我想送她一辆宝马，随便撞
1699855052# #大爷玩了六十年也没整出这一套动作心里想还是姑娘花样多呀搞笑视频
1699864101# #哈哈哈哈这配音笑死我了允悲
1696827082# #老司机
1697427264# #吴承恩：其实当时我真没想那么多doge走心视频
1694664509# #纹身不能成为评判一个人的标准，这句话你认同吗？。。迷惑行为大赏奇趣视频
1696840619# #过于真实我简直无力反驳【搞笑】
1695803716# #治愈的感觉真的好好，太爽了！
1702442732# #等着瞧好吧！奇闻趣闻
1702451749# #：这智商基本也就告别开车了哈哈哈哈！
1698420789# #哈哈这就是你和别人的差距！扎铁了，老心
1700218502# #考研失败是什么体验？
1694761837# #当一个女人当街被男人打和当一个男人当街被女人打的时候，路人们不同的反应
1702465275# #走一趟西藏，对人的改变有多大？搞笑
