1693693199# #我们想念毛主席…鲜花🙏鲜花🙏鲜花
1697071442# #生活，生活，苦中取乐。日子，日子，甜酸苦辣。幸福，幸福，因人而异。命运，命运，皆是天意。🙏阿弥陀佛🙏阿弥陀佛🙏
1699748241# #我的团长我的团，早已入心情难忘。抗战老兵真豪杰，此画眼神最出彩。鲜花微风作揖音乐心
1696200867# #自作多情路迷茫，星夜兼程为那番。酒局之后有活动，不醉不归常上头。允悲允悲允悲允悲允悲
1703212775# #人之常情性本善，北京严寒也很冷。献出爱心救援者，恢复正常再放生。鲜花作揖鲜花作揖鲜花
1691877813# #日思夜想梦情人，人入聊斋也思春。春夏秋冬仙四季，季风吹醒板爷们。哈哈挤眼哈哈挤眼哈哈
1700094650# #时代变迁太快，到处都是网红。追星时尚潮流，个性十足发展。哈哈哈哈哈哈哈哈哈哈
1687136757# #明月清风几时有，绿松奇石山流水。古典绘画艺术美，继往开来传承者。鲜花微风作揖音乐心
1694936626# #工作休息巧安排，起早贪黑忙碌中。难得今天透会气，商场放风解个馋。作揖作揖作揖作揖作揖
1703806275# #养生堂.。作揖作揖作揖
1694731720# #转眼之间好几年，看着天书走过来。梦醒时分云中物，只知识得人半仙。哈哈挤眼哈哈挤眼哈哈
1698355143# #烧香拜佛读经书，感恩戴德情有缘。集少成多自方圆，千条江河归大海。🙏阿弥陀佛🙏
1693797320# #早看东南晚西北，农村谚语代相传。今日天空火烧云，明天又是艳阳天。鲜花作揖鲜花作揖鲜花
1693614617# #千年古城落西安，留下传奇故事多。文化遗产长安夜，世博园区草木深。鲜花微风作揖音乐心
1694132128# #养生堂…作揖作揖
1700775421# #走过路过（六）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1688945277# #莫谈信仰聊闲篇，人生无常本独行。过路是客烟火色，斯文散尽苦终生。🙏阿弥陀佛🙏
1695197010# #不蒸馒头争口气，今天下厨露一手。谁说咱家没贤妻，美丽天仙掌中宝。鲜花微风作揖音乐心
1693002264# #磨刀不误砍柴工，山雨欲来风满楼。呼闻倭国排核毒，害人不浅天下诛。
1697842409# #罗娜超话。金秋将过露成霜，飞雁南迁叶已黄，中午还好早晚凉，出门别忘添衣裳，适当保暖为健康，清晨一语送吉祥。美丽娜妹早上好！🌹咖啡🧡😄微风
1700956764# #上联：东门摆酒西门庆下联？允悲允悲：取了媳妇忘了娘.。
1695773015# #养生堂…作揖作揖
1700956148# #春夏秋冬四条屏，心中蓝图绘出来。花开富贵人吉祥，事事如意手留香。🙏阿弥陀佛🙏
1695684281# #养生堂…作揖作揖
1687211429# #今年夏天真热，。酷暑难耐望着。。气候变化极至，。自然环境生变。。允悲允悲允悲允悲允悲
1700955766# #秦岭山脉大话题，自从远古说到今。南北气候分界线，一方水土一方人。🙏阿弥陀佛🙏
1694908779# #老师这次说对了，不光坏人何其多，贼喊抓贼灯下黑，你说可笑不可笑。挤眼允悲挤眼允悲挤眼
1695598950# #到现在，我都不相信，他是清白无辜的…允悲允悲允悲
1700179528# #一撇画猫养性，过早进入冬眠。今日谁家鸟叫，吵醒提笔就画。哈哈允悲哈哈允悲哈哈
1700171029# #“人生苦短，在變老的路上善待自己，糊塗一點不較真，大度一點不生氣，凡事看淡，一切隨缘，人生本過客，何必千千结。”。我們怎樣做也有人會說三道四，真的假不了，假的真不了，別貪婪，不害人，做事只要憑良心做人，不需要作任何解釋！心音乐作揖微风鲜花
1689204967# #睡梦之中突然醒，疑似灵魂出了窍。摆脱躯体夜游症，飘浮不定落何方。🙏阿弥陀佛🙏
1694648832# #秋趣芳草地，百花香如蜜。引来翩翩舞，猫咪蝶恋花。鲜花鲜花鲜花鲜花
1694388164# #国内影视谍战剧，笑傲江湖柳云龙。教主出品取其精，期待早日来相会。鲜花微风作揖音乐心
1703540690# #罗娜超话。今年最火的一句话，照顾好自己，世界才会属于你！。风雨由天，快乐由己，保重身体，健康第一！。美丽的娜妺早安！太阳鲜花咖啡心
1698701177# #人生近百年，转眼即成空。。阴晴天作主，悲喜由心定。。看得透，想得开，放得下，你就是快乐星。。人生，因淡然而优雅，因优雅而从容。。想那荣华富贵，皆如镜中花，水中月，虽然令人垂涎，却非永恒。。看那世间名利权钱，虽然人人欲得，却终为一梦。。人们啊，与其争争抢抢，终生不得安宁，不如开开心心，轻
1697842688# #武当山庆典（下）。鲜花🙏鲜花🙏鲜花。师父升座面微笑。紫气东升有缘人。庆典仪式众生灵。天上人间渡红尘。。鲜花🙏鲜花🙏鲜花。德被天下实名归，。恭祝恩师中国道。。教协李光富会长，。武当方丈升座堂。。大典圆满礼成就，。众人仰望拜天地。。普天同庆善有缘，。自有天歌对九州。。鲜花🙏
1703287471# #我们的祖先。也总是从这一天开始“数九”。记录冬至到来年春分的物候变化。“一九二九不出手，。三九四九冰上走，。五九六九沿河看柳，。七九河开，八九雁来，。九九加一九，耕牛遍地走”。。“数九”数的是希望。心中装着对春的期盼不疾不徐，。就这样日日数到暖静候春日来…
1692658382# #养生之道与大家分享…作揖作揖
1700262157# #人走江湖实不易，身不由己花边多。九袋公主平天下，一杆清洞大开门。鲜花作揖鲜花作揖鲜花
1694177198# #白露节气养生：湿土之令，终于白露。。原创陈允斌允斌顺时生活2023-09-0806:50发表于上海。今天是白露节气了。。。古人说：“湿土之令，始于大暑，终于白露”。。。一年中湿气最重的一个半月，从大暑开始，到了白露，终于结束。。。白露节气之后，天气的转换会很明显，外界的湿气逐渐降低。。。如果您在大
1690146572# #人生就是一场‬因果‬修行。。想得善果，。必种‬善因；。想得‬善报，。必作善行。‎͏ ‎͏ ‎͏ 。希望‬我们在未来‬的日子里，。不执‬著于“果”，。只努‬力于“因”。。常思‬己过，。时时‬警醒，。多善行‬事，。常常‬自勉，。收获自‬己想要‬的善果与善报！。🙏🙏🙏🙏🙏🙏🙏🙏?
1697843876# #养生之道…作揖作揖
1698449025# #养生堂…作揖作揖
1695513565# #养生堂.。作揖作揖
1694218932# #养生堂…作揖作揖
1694815498# #走进新疆和田玉，。珠光宝气洒金皮。。青玉碧玉羊脂玉，。遍地黄金眼迷茫。。哈哈挤眼哈哈挤眼哈哈
1703543521# #走过路过（七）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1687391512# #儿时梦回归，归来钢铁侠。侠客风云传，传说在童年。作揖作揖作揖作揖
1689390469# #美丽的才女妹妹，周六快乐哦！鲜花鲜花看到我的小玩意儿啦，紫檀小摆件（老子下山）…挤眼挤眼挤眼
1687728425# #走过路过（六）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1700698972# #都市高楼平地起，抬头望天入云端。远看钢铁影成像，幻想未来梦从前。🙏阿弥陀佛🙏
1687567595# #海边市场逛过来，各式各样宝贝多。钟情此物是我心，四大名罗家收藏。作揖作揖作揖作揖作揖
1702338064# #读书学习明事理，知识改变人命运。平时养成好习惯，书中自有颜如玉。哈哈挤眼哈哈挤眼哈哈
1687215200# #雕塑的寓言，漂亮的线条。自然的流畅，完美的女人。鲜花作揖鲜花作揖
1696466106# #放宽心就宅在家，不出屋门看世界。活得自在最重要，吃喝玩乐小洞天。哈哈挤眼哈哈挤眼哈哈
1689547049# #养生堂…作揖作揖
1702683885# #养生堂…作揖作揖
1692831796# #走过路过（一）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1700606681# #喝早茶聊闲篇，食为先百家乐。常走动情无价，串肠过留下根。鲜花作揖鲜花作揖鲜花
1700092098# #养生堂…作揖作揖
1700994154# #上联：醉卧残阳诗入梦下联？作揖作揖：对酒当歌人几何。
1688077756# #夏季太炎热，
1689199449# #走过路过（一）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1690930323# #天灾人祸泪无声，回首前尘造孽多。自然世界地球村，和谐相处求生存。🙏阿弥陀佛🙏
1702675493# #罗娜超话。新理念：。健康是富人，糊涂是高人；无事是仙人，知足是圣人；。微博问好的都是知心人。。美丽的娜妹早上好！鲜花咖啡心
1698272107# #罗娜超话。用纯真的心，。去问候珍惜的人。。把满满的祝福送给牵挂的人。。心静无虑，惦记无声，。隔屏如面，乐在其中。。美丽的娜妹早上好！🌷🌷🌷
1700711859# #又受到表扬，天天都开心。跟着妹妹走，千山万水情。鲜花作揖鲜花作揖
1701301452# #中医教学课.。作揖作揖
1703025835# #走过路过（六）。哈哈哈哈哈哈哈哈哈哈。天上人间缘相遇，。万物丛生草木深。。似是星辉斑斓处，。众生好度皆风景。。🙏阿弥陀佛🙏
1703811002# #阿弥陀佛🙏🙏🙏
1690766495# #总想立地成佛，饭菜五谷杂粮。早餐用心良苦，老夫老妻秀爱。哈哈哈哈哈哈哈哈哈哈
