1703934834# #小梅童年:农村生活笑死人不偿命太幽默了万万没想到个个都是高手
1704014256# #独狼善其身:科目三拖鞋版科目三科目三舞蹈一笑江湖dj
1702370741# #转发微博
1703602684# #十几年没过生日了今年过个生日30号的生日也不知道怎么过没什么想法。玉米芯洗洁精浸泡一分钟清水透两次很干净。种了两天蘑菇鸡腿菇和灰平菇。还是提水累呀玉米芯5层肥料土壤
1702394318# #6个症状提示脑供血不足做好4件事预防脑梗塞。1.经常感觉头晕或者是注意力不集中。2.感觉记忆力减退对近期发生的事情容易忘记比如出门忘记锁门炒菜忘记关煤气灶感觉记忆力明显不如以前3.出现眼前一过性的黑矇4.睡眠质量差或者入睡困难或者夜间容易醒。5.出现一过性的语言功能障碍。6.出现一过
1702473944# #血管膜分为外膜中膜内膜一般低危型斑块狭窄程度＜50%颈动脉中层内膜（IMT）≤1.5mm。。中危型斑块狭窄程度＜50%颈动脉中层内膜（IMT）大于1.5mm小于2.5mm。。高危型斑块狭窄程度≥50%颈动脉中层内膜（IMT）≥2.5mm
1702720233# #转发微博
1702574260# #《16岁女孩和班主任开房5次后自杀，聊天记录曝光引哗然：太可怜了》16岁女孩和班主任开房5次后自杀，聊天记录曝光引哗然：太可怜了
1703567117# #搜狐新闻:【日本冈山县部分居民血检异常，疑因自来水污染-搜狐新闻】
1703603988# #安徽富豪26亿出售游戏公司40岁投资饮料产业资产350亿
1703212794# #青海海东遇难31青海海东遇难31人
1703863660# #《「致敬热爱！92岁舞蹈教师依旧坚守教学一线」近日，内蒙古艺术学院，92岁的舞蹈老师斯琴塔日哈仍坚持给同学们亲自示范动作。蒙古舞结业课考试从上午8点持续到晚上8点，斯琴塔日哈老师每天都坚持观摩考试，并针对问题进行交流与讲评。网友：当92岁老师走上舞台，内心的敬佩油然而生！内》
1703065952# #《我90后，得罕见病21年，每月药费七八万，靠摆摊续命，男友不嫌弃》我叫向晨曦，是个患罕见病21年的气切女孩。我靠着并不灵活的双手，做粘土手办，不仅为自己挣出了医药费，还俘获了一枚上海帅哥的心，拥有了甜蜜的爱情。
1703591201# #《云南8岁小学生被老师用戒尺打破头当地回应：严肃处理涉事教师》25日深夜，会泽县教育体育局发布情况通报称，对孩子受伤表示道歉，该局根据相关规定对涉事教师进行严肃处理。
1704094767# #今天拔了两个烟炉才擦好桌子扫完地板。此刻重新洗了脸要梳个头发冷了一个早上的房间才收拾好才生活又要拆洗了。门帘子沙发巾我洗简单些。又烦又累也没人帮忙
1702380717# #身高和父母遗传了基因有关吧
1703850404# #晋中通报一小区上百居民呕吐腹泻：部分患者检出诺如病毒Ⅱ型
1702899191# #飞翔海鸥ET:家庭情感故事婚姻家庭真实故事
1703934437# #优雅比莉4g0d:“好浪漫啊公主陛下请看
1702917419# #转发微博
1703436263# #《河北：女子带娃流浪街头，曾是跨国公司董事长，身家过亿的女老板》河北：女子带娃流浪街头，曾是跨国公司董事长，身家过亿的女老板
1703230142# #《烟台威海遭遇极端暴雪：积雪超70厘米破历史极值市民出行宛如“北极科考”》烟台威海遭遇极端暴雪：积雪超70厘米破历史极值市民出行宛如“北极科考”
1702917732# #《每天连吃三顿，二孩宝妈确诊癌症晚期》播放量：2.5万。点赞量：112
1702558753# #《生了1个女儿后，25岁女孩怀着3胎被离婚，前夫：每娃每月给200块》播放量：55万。点赞量：3.8万渣男一家该死绝
1703136910# #转发微博
1703768913# #《12月27日，甘肃，这位母亲三个孩子不幸遇难，爱心人士送来善款来抚慰她》12月27日，甘肃，这位母亲三个孩子不幸遇难，爱心人士送来善款来抚慰她
1703841841# #《92岁老人拾荒13年，养大一名弃婴，13年不舍吃一顿早饭》92岁老人拾荒13年，养大一名弃婴，13年不舍吃一顿早饭
1703327913# #丛小吖:女儿在家用水果做的水果软糖，好看又好吃水果糖软糖人类幼崽成长计划
1702906206# #《6岁女孩被人砍下手指和耳朵，连下体也不放过》6岁女孩被人砍下手指和耳朵，连下体也不放过
1702371677# #转发微博
1703773519# #《29岁那年，我失去了健康，让我毁容，被判定只有两年生存期的我》29岁那年，我失去了健康，让我毁容，被判定只有两年生存期的我
1702369641# #转发微博
1703262622# #完整版荒野建造：大火烧出坚固庇护所，与大山完美融为一体
1703599889# #三观正企图心温柔体贴高情商智商高共同成长认知和沟通顺利学习的速度墨水的脑袋富人思维方式
1703229509# #花800万整成范冰冰，进入演艺圈，后嫁给主刀医生，何承熹现如何来自
1702564908# #《竟连孩子父亲是谁都不知是谁，00后女孩怀孕抽烟喝酒泡吧》竟连孩子父亲是谁都不知是谁，00后女孩怀孕抽烟喝酒泡吧
1702796626# #甲状腺激素是多种维生素代谢的必需激素甲亢时B族维生素维生素C以及维生素A的消耗量明显增多在组织中含量均会减少必要时可选择多种维生素补充剂相辅相成加速机体恢复
