1693634315# #大众网潍坊的笔记男子带退役43的父亲来射击馆，网友：这是来表演的吧（分享自
1691835785# #麦浪视频的笔记8月11日，黑龙江洪灾过后，农民大姐哭诉：家里种大米的没有一粒大米，真的没有那么坚强&nbsp;...（分享自
1694685579# #米杨在河北为海洋发声的笔记美日韩，现在三国报团，这个预制菜比之国内预制菜危害有过之而无不及。预制菜核污水...（分享自这群大汉奸在干什么？
1697984054# #阿布（揭秘骗局）的笔记取款机取一万吐两万，怎么办（分享自
1687302236# #起名字神马的不好玩的笔记我不要沉默这是我唯一能做的日本核污水日本核废水南京大屠殺（分享自
1693834368# #位卑不敢忘忧国的笔记听到过一种说法蚂蚁一次杀不死大象所以它们在大象的每一个毛孔处注卵慢慢的渗入，慢慢的...（分享自
1689733168# #神马东西
1693103725# #明追流火的笔记蓝星唯一的圣母我真的哭死中国（分享自
1689085003# #压力兔🐰的笔记与其让外国人来留学，倒不如让专家去非洲支教外国留学生支教讨论（分享自
1693047963# #西部决策网D视频的笔记8月26日，河北唐山，张兔兔女士（化名）因有学习日语的需要，下载了一款APP，使用时遇到...（分享自
1694879068# #是糖宝🍃的笔记核废水的影响力去哪里了（分享自花西子好像不是国货吧？
1693525381# #神龙国潮的笔记画画的日常1、裕仁带来的侵华战争，从918到日本投降14年的时间里，给中国军民带来...（分享自
1690970663# #宁波晚报的笔记洪水中救援队员坚守，拿着饼干的手不断颤抖（分享自
1689209303# #许君闲乘月的笔记1937年四行仓库保卫战中，八百壮士机枪扫射日军的真实录像。历史保家卫国...（分享自
1688779890# #尚品的笔记救救美香一家（分享自
1689733050# #桂林生活网的笔记“扶起的是安全，留下的是人品！”赞R赞R赞R传递正能量外卖小哥...（分享自
1695478896# #bilibili网络安全-派蒙的视频
1687068687# #㛠七實饰業的笔记为什么外国人的东西一发就火，中国建盏千年的历史文化却没人关注，大家支持一下吧建盏...（分享自
1691417796# #转发微博
1691308337# #纵观天下趣的笔记英雄魂归故里！8月5日，山东籍烈士冯振“回家”了，奶奶得知孙子牺牲后泣不成声！烈士...（分享自
1690849614# #酒店管理郑叫兽的笔记4月9号，发生了一件让人气愤的酒店事件。四川一酒店电梯因为停电出现了故障，一位父亲的女儿...（分享自
1687242557# #学历小能手的笔记爱国英雄军人老照片铭记历史（分享自
1691156509# #小哥好车的笔记这样的执法人员才是老百姓想要的（分享自
1693868590# #山野漫漫的笔记海鲜最好就戒了进口的吧生气R生气R生气R生气R打倒日本鬼子日本...（分享自
1692973718# #读特新闻的笔记自2021年12月开始，日本全国多地的学校收到政府配发的传单，向学生宣传核污染水“安全”...（分享自
1696504191# #杜峥在旅行的笔记第二轮核污水排海首日，日本东南海域连发两次强震日本日本核污水海鲜日...（分享自
