1688844731# #挨打的是乌军第23机械化旅
1698395548# #俄乌局势新进展巴以冲突。26日，叙利亚军队在俄军驻叙部队电子战分队帮助下，击落8架土系自由军无人机
1697470991# #疯狗状态
1698632336# #俄乌局势新进展巴以冲突。“时间”：。俄罗斯计划在冬季结束前夺取战场主动权。。俄罗斯武装部队沿着整个顿巴斯前线，从库皮扬斯克到扎波罗热方向开始积极进攻行动。。。此外，据“时间”观察家报道，俄罗斯空天军增加了在冬季前摧毁乌克兰基础设施的潜力，就像去年的情况一样。。。“时间”说，有
1690363739# #俄罗斯俄乌局势新进展。长脸！中国高端赞，红旗H9成为俄罗斯～非洲峰会期间非洲各国元首和政要的官方用车。。画面为非洲代表团乘坐中国豪华轿车红旗H9游览圣彼得堡。
1700844281# #转发微博
1697275130# #以色列将对巴勒斯坦加大攻势。以军又给了巴勒斯坦人6个小时从加沙地带北部撤离到南部的时间。。。显然，以色列国防军正准备在不久的将来对这片巴勒斯坦领土发动军事入侵。。。此前，以色列空军对一支从北向南涌来的难民队伍发动空袭，造成多名平民死伤。
1699410172# #俄乌局势新进展巴以冲突。巴赫穆特方向，别尔霍夫卡村附近乌克兰武装部队据点遭到打击的镜头。。。阵地被AGS的火力覆盖后，乌军被迫撤退。视频中还展示了一辆受损并废弃的瑞典CV9040C步兵战车
1698561986# #巴以冲突。信号。伊朗总统莱西：。“犹太复国主义政权已经跨越了红线，可以促使我们所有人采取行动。美国要求我们不要采取任何行动，但继续广泛支持以色列。美国向抵抗轴心发出了威胁信号，但它们已在战场上得到了明确的回应。”
1697333799# #俄乌局势新进展巴以冲突。俄罗斯FBS解密前苏克格勃档案文件。。并首次向世人公开。。1942年8月26日至27日，盖世太保在乌克兰民族主义者的积极参与下，在乌克兰西部组织了大规模屠杀活动，摧毁了几乎所有犹太人口。。。这是从解密且先前未公开的克格勃档案中得知的。。。处决是在盖世太保的直接监督下严格
1689928928# #乌克兰日常
1694050032# #俄乌局势新进展。克列谢耶夫卡附近，一辆乌军M113被俄军反坦克导弹击中，视频车不管不顾撒丫子跑路
1700231311# #转发微博
1694754237# #俄乌局势新进展。走投无路的乌军海步选择向俄军海步投降。。前天，5名乌军海步在新马约尔斯克地区被俘虏。过程：乌军步兵战车遭到俄军猛烈炮火打击后无法动弹，随后，走头无路的第35海军陆战旅的军人决定通过手台联系伏特加，自愿放下武器投降。在录音中，可以听到第40近卫海军陆战队呼号为StormZ的
1689148518# #方脑壳为了能在在前排中间位，这一年多来着实嘴拼
1689994553# #俄乌局势新进展俄罗斯。大波波外交部将就普京称斯大林将波兰西部领土交给波兰人的言论召见俄罗斯大使。。"波兰总理马特乌什-莫拉维茨基在推特上写道："俄罗斯联邦大使将被传唤到外交部。。。俄大使拎着一大包历史文件和地图去讲事实摆道理，当面打脸。脑补一下画面感哈哈
1702307147# #其实选了很多家，还是这家让人放心@WAN出品工作室
1691545101# #俄乌局势新进展。俄媒。中国外交部长王毅在与俄罗斯外长拉夫罗夫通话时表示，莫斯科和北京最重要的任务是“落实地方领导人共识”并发展关系。中国外交部网站对此作出了说明。。。王毅告诉拉夫罗夫，中方将在乌克兰冲突上“保持独立立场”，并将积极邀请莫斯科和基辅坐到谈判桌前。北京再次主张和平解决
1689843065# #俄乌局势新进展俄乌局势新进展。今天凌晨被俄军摧毁的敖德萨海港管理局及Восток银行。。。坏消息：没地方上班了。。好消息：恰钱证据都没了，见不得光的账都被俄军平掉了
1691997955# #俄乌局势新进展。赶尽杀绝！。俄第2集团军第5旅连续施放FPV打击乌军阵地，在乌军遭到杀伤后，前来救援的BMP载满伤员离开途中，再遭俄军FPV追杀
1703011823# #我去。。罗蒙加绒裤一条40。。。
1696684244# #转发微博
1695262775# #亚美尼亚与阿塞拜疆爆发军事冲突俄乌局势新进展。在俄罗斯驻亚美尼亚大使馆前，亚美尼亚人示威性地撕毁俄罗斯护照。。。“向西看”促销活动已经持续好几天了。昨天，抗议者们提醒吃瓜群众，在纳戈尔诺-卡拉巴赫地区再次爆发冲突的背景下，俄罗斯大使馆完全被封锁，外交使团无法开展工作。。他们情绪激
1690629657# #鬼子知道被威胁了，这很好👍
1696527393# #俄乌局势新进展。乌友心碎了系列之：我乌被端一大窝。卧槽，这一枚伊斯坎德尔砸下去后收获大了！。。俄军一枚伊斯坎德尔导弹在库切罗夫亚尔村附近的训练场击毙了一群正在训练的乌军。。乌军第77空突旅在外国雇佣兵带领下训练的场所被俄太空和空中侦察部队发现后，俄军立刻动用了伊斯坎德尔进行了打击。。。
1691495840# #俄乌局势新进展。❗️中国对沙特阿拉伯乌克兰问题会谈发表评论-路透社。。。中国外交部表示，他们的代表李辉“与各方进行了广泛的接触和沟通”，听取了各方的意见和建议，“为进一步凝聚国际共识作出了贡献”。。。声明称，各方欢迎李辉到访，全力支持中方为劝和促谈发挥的积极作用。。。不过，中国外交
1692858728# #嘻嘻
1696158412# #老邱这观点远远超过很多……人
1695205230# #俄乌局势新进展亚美尼亚与阿塞拜疆爆发军事冲突。为投降找借口，“纳卡共和国国防部”公布：。“纳卡共和国”军队在阿塞拜疆军队发起进攻当天就损失了近一半的武装力量。。。冲突爆发前，纳卡武装约有2500人，昨天阿塞拜疆军队发起进攻的白天就损失了约1000名战士--与此同时，阿塞拜疆方面用于军
1697018790# #以色列巴勒斯坦冲突。今天，以色列再次轰炸加沙大学，该大学在连日轰炸中已基本不复存在。。以色列给出的轰炸理由：这所大学培养哈马斯工程师
1695649994# #俄乌局势新进展。补充：。俄罗斯内政部将国际刑事法院院长列入全球通缉名单，并发出逮捕令。。。除了法院院长彼得·霍夫曼斯基外，俄内政部的通缉名单还包括他的副手卢兹·德尔·卡门·伊巴涅斯·卡兰祖和法官伯特伦·施密特。
1698687112# #俄乌局势新进展巴以冲突。九月底，乌军在索莱达附近发起反击后被暴打的画面。
1699038769# #巴以冲突。游戏画面？在哈马斯反坦克导弹打击下，在加沙城外熊熊燃烧的梅卡瓦们
1688429380# #第三张评论里，也是被打上思想钢印的傻子了，说我国历史上经历过无数次改朝换代，社会也不进步挖鼻，首先这个是真没文化，不懂历史，大量生产工艺进步他们是看不见的，从举孝廉，九品中正制到科举制形成，他们是无视的，西欧在罗马崩塌后长期处于蛮荒，他们觉得一直领先挖鼻
1703499331# #这可是卡士啊！！超好喝的我先冲了！
1695289351# #俄乌局势新进展。阿利耶夫向普京道歉，并对俄罗斯军事人员在卡拉巴赫的死亡表示深切哀悼。。阿塞拜疆总统伊利哈姆·阿利耶夫和俄罗斯总统弗拉基米尔·普京通电话-克里姆林宫。阿利耶夫还表示愿意向阵亡俄罗斯维和人员家属提供经济援助。阿塞拜疆总统表示将对事件进行彻底调查
1698811309# #马老板目光如炬
1695548718# #俄乌局势新进展。大麻国与三哥因“暗杀事件”撕逼情况越来越激烈。。三哥电视节目怒斥加拿大，嘉宾呼吁对大麻国实施核打击嘻嘻。这个必须旗帜鲜明滴站三哥啊！
1694510332# #气死个人
1697018643# #以色列巴勒斯坦冲突。以色列国防军公布其在加沙边境附近军事封闭区的范围
