1695327288# #《雍吉，藏族女孩在舞蹈中快乐无止尽》播放量：5.4万。点赞量：1.1万
1695420235# #《迪拜富婆中的佼佼者，优美的舞姿，让人美不胜收》播放量：3.3万。点赞量：210
1691929861# #《开国将帅中竟隐藏八位武术高手，许世友只能排末位，第一实至名归》开国将帅中竟隐藏八位武术高手，许世友只能排末位，第一实至名归
1692916251# #《这是一个好消息，又一国家拒绝禁用华为，美国阴谋宣告破产》播放量：2619。作者：想想前沿
1700255756# #《刘伯温预言将有圣人降临，并说出了圣人的身份，到底可不可信？》刘伯温预言将有圣人降临，并说出了圣人的身份，到底可不可信？
1689192158# #《多家银行限额5000交易，是要发生什么大事？》播放量：4.6万。点赞量：536
1701493231# #现在的社会真奇怪，值得我们反思社会刘杨年轻人-今日头条
1699062874# #“五百人都不止，拦都拦不住”药材遭村民哄抢主家坐地哭喊：“这是明抢啊”
1696766123# #《大门盖好了，房也卖光了，结果忘记盖楼了》播放量：5.6万。点赞量：2452
1691204423# #《台风卡努转向日本！神准网友预言成真，小日子可要好好享受》播放量：14万。点赞量：946
1691622394# #《脚上穿草鞋的川军，他们让日寇闻风丧胆》播放量：4.6万。点赞量：5741
1692502892# #《沉睡16年的真相被揭开！湖南新晃操场埋尸案2》沉睡16年的真相被揭开！湖南新晃操场埋尸案2
1691357596# #《“核心技术”或落入美国人手中？宁德时代“遭调查”，果然翻脸了》对一辆新能源车来说，电池是重中之重，它代表了车的续航、安全以及最大行驶里程。
1688168796# #《印度网友急了，说美国芯片出口限制，不能卖给中国》播放量：3.5万。点赞量：167
1688821657# #《中方提议成立上合银行，伊朗总统呼吁去除美元，拜登这回不好受了》近日，上合组织新德里峰会以视频方式举办。峰会上中方提议成立上合银行，伊朗总统呼吁去美元，美国这回坐不住了。
1688548019# #《9岁溥仪下朝后，猛扑向王连寿，掀起衣襟大口吃奶，引得一片惊诧》王连寿，溥仪的乳母，也是溥仪心中最温暖的港湾。1886年，王焦氏出生，乳名“狗盼”。1908年3月，3岁的溥仪继承帝位，奉命入宫。
1693611173# #元音老人预言：百年一龙、姓吞天下，2024年圣人出世，到底真假？
1701918759# #《刘伯温烧饼歌有多牛？为何说“头戴四两羊绒帽”究竟指的是什么？》刘伯温烧饼歌有多牛？为何说“头戴四两羊绒帽”究竟指的是什么？
1687374733# #《无权无势的人，要记住这5个电话》无权无势的人，要记住这5个电话
1701569081# #8集，又被历史老师片啦！Si诸葛吓退活仲达？原来是这样..历史
1697850141# #《金刀令公杨继业塔，至今千年历史之久》播放量：1.1万。点赞量：74
1696471932# #《音乐泰斗付林老师评价刀郎：经典老歌北方的天空下》播放量：4.1万。点赞量：1.8万
1701504441# #省心追剧:下集更精彩因为一个片段看了整部剧一定要看到最后哦
1699091110# #《三亚“观音帝”建海上观音像，成为地标，但死因谜团待解》播放量：3万。点赞量：1162
1694402401# #《美国利用候鸟向我们释放病毒，手段阴、毒、损、坏》播放量：3.6万。点赞量：1874
1693776035# #《重磅消息！土耳其背叛俄罗斯出卖军事信息给美国》重磅消息！土耳其背叛俄罗斯出卖军事信息给美国
1695161308# #《生5个小孩不多吗》播放量：4.7万。点赞量：4801
1692214705# #《全国铁路暑运累计发送旅客突破6亿人次》7月1日开始至8月15日，全国铁路暑运已累计发送旅客6.14亿人次。全国铁路日均开行旅客列车达10578列，较2019年同期增长18.9%。
1701490641# #自由行影视:日本科学家们正在投奔中国影视畅聊季影视影视解说
1690326680# #《世界公认的六大元帅，麦克阿瑟垫底，我国有两位将军上榜！》世界公认的六大元帅，麦克阿瑟垫底，我国有两位将军上榜！
1698082982# #《圣人出世拯救世界》圣人出世拯救世界
1688238695# #《60秒了解一下历史皇帝之最》60秒了解一下历史皇帝之最
1694848331# #《隐士预言2024年：不行风雨，十磨九难，龙蛇伏丹田，出离末劫苦》播放量：5.1万。点赞量：2911
1695436639# #《人民日报编辑马立诚：南京大屠杀根本就不存在，日本不应道歉！》人民日报编辑马立诚：南京大屠杀根本就不存在，日本不应道歉！
1687374307# #《今年有文曲星现世了》播放量：6276。点赞量：161
1698082851# #《朝鲜摊牌，首个核打击目标浮出水面？韩国打退堂鼓，美国功亏一篑》朝鲜摊牌，首个核打击目标浮出水面？韩国打退堂鼓，美国功亏一篑
1690911246# #《诗词每天学习一首诗》播放量：3.1万。点赞量：568
1702034459# #美军6艘航母同时出动，俄罗斯提了个醒，希望中国保持克制。
1702735227# #企业家园:广西柳州男孩路过午托班推了一下玻璃门，遭到男老师当街追着踢踹
1697892134# #勇者弗朗西斯7e0:美国不仅仅向乌克兰出口了大量武器
1695061481# #《搞笑配音：东方大国要搞光刻厂，让芯片实现“白菜价”老拜很头痛》播放量：2.2万。点赞量：364
1700431403# #《中国油橄榄之乡：到武都了解油橄榄的故事秒懂百科》秒懂百科：短视频涨知识，世界如此简单。
1691219592# #《开国上将的女婿被当街打死，邓小平震怒，当即下达一道铁令》开国上将的女婿被当街打死，邓小平震怒，当即下达一道铁令
1697792651# #书接上回，纸人借粮（大结局）
1692738620# #《国际发生两件大事，美债暴雷近在咫尺！》播放量：4.6万。点赞量：709
1693034647# #《98年印尼黑色五月排华，华人女性被当街侮辱，数万华人惨遭屠杀3》98年印尼黑色五月排华，华人女性被当街侮辱，数万华人惨遭屠杀3
1691967360# #《搞笑配音：小本子2842亿美债到期，老美却想赖账表示说先欠着》播放量：781。作者：小酷搞笑i
1697845905# #《53.美元彻底废了狂购人民币18国绕过美国加入中国银联，中》这是一个你不想错过的视频，快来看看吧！
1696494113# #《中国最接地气的皇陵，守护麦田千年，无人打理，荒废至今》中国最接地气的皇陵，守护麦田千年，无人打理，荒废至今应该考虑保护成为旅游景点
1692625162# #《《黄檗禅师诗》详解》“黄檗禅师诗”是黄檗所作的预言诗，共十四首，黄檗禅师生活在唐朝，但他的预言却不是从唐朝开始，而是从明朝开始。
1691203315# #《甘肃牛人造出“吞沙巨兽”，一天能消灭40亩沙漠，被称为治沙神器》播放量：2424。点赞量：61
1703600906# #拒绝援助非洲难民，韩红打响第一枪
1691961772# #《你再伟大能比过历代的帝王吗？》你再伟大能比过历代的帝王吗？
1687457835# #《广东一男子花费7天时间准备，1500架无人机演绎“飞龙在天”！》播放量：22万。点赞量：4131
1695525269# #《为什么成吉思汗的将士们都那么勇猛？》为什么成吉思汗的将士们都那么勇猛？成吉思汗成功的密密
1692446295# #《一个比一个厉害！北大培养的3位女天才，却都加入了美国籍？》播放量：5057。作者：晚霞侃侃聊
1702761282# #《刘伯温的神奇预言》刘伯温的神奇预言
1694199742# #分享图片
1691143410# #《田震与刀郎合唱《罗刹海市》，精彩！》播放量：4835。点赞量：118
1701489938# #用户956591363410:印度总理莫迪强势发声。
1692444029# #《《燕纷飞》刀郎的这首歌听哭了多少人》播放量：3222。点赞量：89
1692449098# #《美国神婆预言几乎全中？预知总统死期临终透露东方圣人拯救世界》播放量：87。作者：科普wu舍
1695509443# #《中欧班列有多厉害，从无人问津到订单暴涨，中欧班列就是强（2）》播放量：14万。点赞量：5765
1694117090# #《拉布拉多犬街头偶遇机器狗，立刻展开攻击穷追不舍，网友：机器狗该升级自卫模式了》播放量：2.3万。作者：九派新闻
1698083577# #《90岁老妇人预言：世界末日四个阶段，第三次世界大战即将爆发！》90岁老妇人预言：世界末日四个阶段，第三次世界大战即将爆发！
1700602907# #《中药药性之最还不快记下来》播放量：2841。作者：中医脾胃教授杨洪涌
1688817669# #《你期待圣人的出现吗》播放量：1.2万。点赞量：317
1688892991# #《私搭浮桥获刑当事人：没架桥前溺亡22位乡亲，桥拆后又溺亡10余人》私搭浮桥获刑当事人：没架桥前溺亡22位乡亲，桥拆后又溺亡10余人
1689191700# #《全球粮食危机现在有多严重，看完你就知道了》播放量：264。作者：三妹讲农资
1696471876# #《曾仕强：十年之内，很多地方都不适合人类居住！》播放量：1.2万。点赞量：1003
1690657552# #《1961年陈赓病逝，蒋介石在台湾亲设灵堂痛哭：没有他哪有我啊》1961年陈赓病逝，蒋介石在台湾亲设灵堂痛哭：没有他哪有我啊
1690685099# #《1979年深圳一把手无人敢当，邓公派出一人，让深圳五年变天1》1979年深圳一把手无人敢当，邓公派出一人，让深圳五年变天1
1704058558# #《湖南长沙一家庭新买特斯拉刹车失灵》播放量：254。作者：绫彩音风2n
1689945483# #《老祖宗的文化，为何国人不认可？》播放量：2.1万。点赞量：1610
1690475219# #《中国银行三任行长联手盗取银行资金40亿！随后外逃美国逍遥自在》中国银行三任行长联手盗取银行资金40亿！随后外逃美国逍遥自在
1692297004# #《37年徐向前回到延安，有人骂还有脸回来，毛主席一句话他泪流不止》37年徐向前回到延安，有人骂还有脸回来，毛主席一句话他泪流不止
1700161918# #《不希望中美缓和关系，日本公然搅局》不希望中美缓和关系，日本公然搅局
1700170928# #《分享视频》播放量：1779。作者：国医的传承
1694852623# #《六七十年代，我国全民皆兵时代的真实影像，一个县能有2000个连》六七十年代，我国全民皆兵时代的真实影像，一个县能有2000个连
1701491943# #潇洒强者心态:富豪移民到底该不该收税财税老板企业
1693035530# #《世界十大伟人，“主办方”老美只有一人上榜，毛主席影响世界2》世界十大伟人，“主办方”老美只有一人上榜，毛主席影响世界2
1698471027# #《中东第6条战线打响，拜登下令动手，美军正式开打，伊朗收到噩耗》中东第6条战线打响，拜登下令动手，美军正式开打，伊朗收到噩耗
1692932742# #分享图片
1687434430# #《日本要在我国海域军演？还警告我国不得靠近，想重演七七事变？》日本要在我国海域军演？还警告我国不得靠近，想重演七七事变？
1700960486# #合力聚鑫网络工作室:解读秦始皇历史鬼谷子
1700435753# #《推背图预言2024：离火运将至？或开启一场20年危机？巨大转变？》播放量：4377。点赞量：202
1691534957# #《韩先楚将军的一生,创造了太多的经典战役》播放量：4.8万。点赞量：1284
1692912894# #《中科院开启气象武器》播放量：6029。点赞量：72
1690646464# #《歌曲《罗刹海市》田震》播放量：3.7万。点赞量：855
1701907936# #《河南牛人造出空气发电机，不烧煤不用油，就有“花”不完的电》播放量：1352。作者：S级档案馆
1701568152# #为什么现在的孩子越来越自卑！越来越不喜欢和父母沟通！越来越叛逆！正确的引导孩子陪伴孩子育儿
1690474909# #《肯尼亚撕毁合约，向中国索要43亿赔偿》肯尼亚撕毁合约，向中国索要43亿赔偿
1689066550# #看看历史
1687812829# #《中国要小心了！美国开出了让印度难以拒绝的10个条件！》中国要小心了！美国开出了让印度难以拒绝的10个条件！
1702406803# #爱生活的百香果vHz:传统文化传承中医文化发扬传统文化传播正能量
1701494017# #韬光养晦才能成功上位财税老板刘杨-今日头条
1696967789# #《美军翻倍涌入南海，中美战机永兴岛附近交锋，美方犯下低级错误》美军翻倍涌入南海，中美战机永兴岛附近交锋，美方犯下低级错误
1690589319# #《4K超高清彩色修复！1950年中国人民志愿军俘获美军的原声珍贵影像》4K超高清彩色修复！1950年中国人民志愿军俘获美军的原声珍贵影像
1690362517# #《1958年，8岁的富士康创始人郭台铭与母亲初永真的一张珍贵合影。》1958年，8岁的富士康创始人郭台铭与母亲初永真的一张珍贵合影。
1691929384# #《泰国二王子王者归来！为继承权不结婚，他与提帮功谁更名正言顺？》泰国二王子王者归来！为继承权不结婚，他与提帮功谁更名正言顺？
1694021609# #《山东邹城山上有个藏宝洞，当年土匪抢来的钱财和宝贝都藏在里面！》播放量：1028。作者：大小周的脚步
1692517759# #《搞笑配音，老拜说莫迪薅羊毛，莫迪回怼：我是谋财，你是谋财害命》播放量：3246。作者：快乐的宇啊
1692442877# #《尹锡悦宣布对乌克兰援助增至1.5亿元称乌局势让人想起70多年前的韩国尹锡悦韩国援助乌克兰国际局势》播放量：1534。作者：大众日报
1694115075# #《这个卖不出去也没人骑，就连成本都收不回来，全都被当垃圾扔了！》播放量：6204。作者：雨露爱生活高校区附近多配些，浪费可耻
1689895286# #《松山战役有多惨烈？上千名“娃娃兵”为国捐躯，最小的只有9岁秒懂百科》秒懂百科：短视频涨知识，世界如此简单。
1695062267# #《史上最直白的圣旨，朱元璋对倭寇就是这么简单粗暴、直接明了。勿忘历史吾辈自强》史上最直白的圣旨，朱元璋对倭寇就是这么简单粗暴、直接明了。勿忘历史吾辈自强
1700420459# #《我和我的祖国！听青年华侨华人讲述“根”“魂”“梦”》11月15日至17日，由湖北省政府、国务院侨办共同主办的第二十三届华侨华人创业发展洽谈会在武汉举行。
